ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.09,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.39,0.18
0.79,0.35,0.32,0.03,0.11,0.06,0.26,0.02,0.05,0.04,0.15,0.95,0.05,0.73,0.26,0.95,0.04,0.85,0.14,0.89,0.04,0.46,0.14
0.8,0.42,0.36,0.1,0.12,0.13,0.31,0.15,0.06,0.14,0.18,0.94,0.06,0.68,0.31,0.53,0.33,0.86,0.12,0.48,0.33,0.48,0.12
0.8,0.47,0.39,0.13,0.14,0.16,0.36,0.17,0.07,0.17,0.21,0.93,0.07,0.62,0.36,0.55,0.31,0.88,0.11,0.5,0.31,0.51,0.11
0.81,0.49,0.41,0.14,0.14,0.18,0.37,0.18,0.07,0.18,0.22,0.92,0.07,0.6,0.37,0.57,0.29,0.89,0.1,0.52,0.29,0.52,0.1
0.81,0.52,0.43,0.13,0.16,0.18,0.41,0.15,0.09,0.16,0.25,0.91,0.09,0.55,0.41,0.63,0.25,0.9,0.09,0.57,0.25,0.55,0.09
0.81,0.5,0.41,0.15,0.14,0.21,0.36,0.18,0.07,0.2,0.21,0.92,0.07,0.6,0.36,0.64,0.25,0.89,0.1,0.56,0.25,0.51,0.1
0.81,0.5,0.41,0.15,0.14,0.22,0.36,0.18,0.08,0.2,0.22,0.92,0.08,0.6,0.36,0.64,0.25,0.89,0.1,0.56,0.25,0.52,0.1
0.81,0.51,0.42,0.14,0.15,0.21,0.38,0.15,0.08,0.18,0.23,0.92,0.08,0.58,0.38,0.69,0.21,0.89,0.1,0.6,0.21,0.53,0.1
0.81,0.54,0.44,0.12,0.17,0.2,0.42,0.12,0.1,0.16,0.26,0.9,0.1,0.54,0.42,0.76,0.16,0.9,0.09,0.67,0.16,0.55,0.09
0.81,0.51,0.42,0.12,0.15,0.21,0.37,0.12,0.08,0.16,0.23,0.91,0.08,0.59,0.37,0.78,0.15,0.89,0.1,0.68,0.15,0.52,0.1
0.81,0.51,0.42,0.12,0.15,0.21,0.37,0.11,0.08,0.16,0.23,0.91,0.08,0.59,0.37,0.8,0.14,0.89,0.1,0.7,0.14,0.52,0.1
0.81,0.55,0.44,0.09,0.18,0.17,0.44,0.08,0.11,0.12,0.28,0.89,0.11,0.51,0.44,0.86,0.1,0.91,0.08,0.78,0.1,0.57,0.08
0.81,0.54,0.44,0.07,0.18,0.16,0.43,0.04,0.11,0.1,0.27,0.89,0.11,0.53,0.43,0.94,0.05,0.9,0.09,0.86,0.05,0.56,0.09
0.82,0.55,0.45,0.08,0.18,0.16,0.45,0.05,0.11,0.11,0.28,0.89,0.11,0.51,0.45,0.97,0.02,0.91,0.08,0.94,0.02,0.58,0.08
