ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.59,0.45,0.04,0.33,0.05,0.82,0.02,0.36,0.04,0.59,0.64,0.36,0.15,0.82,0.7,0.15,0.98,0.01,0.77,0.15,0.86,0.01
0.71,0.57,0.43,0.03,0.38,0.05,0.91,0.02,0.51,0.04,0.71,0.48,0.51,0.05,0.91,0.81,0.08,0.93,0.06,0.87,0.08,0.37,0.06
0.76,0.59,0.44,0.0,0.34,0.0,0.86,0.0,0.38,0.0,0.62,0.62,0.38,0.14,0.86,0.41,0.29,0.98,0.02,0.64,0.29,0.84,0.02
0.79,0.3,0.28,0.07,0.08,0.13,0.19,0.08,0.04,0.11,0.12,0.96,0.04,0.81,0.19,0.74,0.18,0.83,0.16,0.64,0.18,0.4,0.16
0.81,0.51,0.41,0.24,0.14,0.29,0.34,0.31,0.07,0.3,0.21,0.92,0.07,0.6,0.34,0.5,0.33,0.89,0.1,0.51,0.33,0.48,0.1
0.81,0.51,0.41,0.19,0.14,0.27,0.34,0.24,0.07,0.26,0.21,0.93,0.07,0.62,0.34,0.59,0.28,0.88,0.11,0.54,0.28,0.47,0.11
0.78,0.6,0.47,0.19,0.24,0.24,0.6,0.16,0.23,0.2,0.41,0.75,0.23,0.26,0.6,0.6,0.22,0.98,0.02,0.68,0.22,0.82,0.02
0.78,0.11,0.19,0.15,0.02,0.3,0.05,0.27,0.0,0.29,0.03,1.0,0.0,0.95,0.05,0.75,0.21,0.8,0.18,0.42,0.21,0.36,0.18
0.81,0.58,0.46,0.04,0.23,0.08,0.6,0.03,0.18,0.06,0.39,0.82,0.18,0.37,0.6,0.85,0.09,0.94,0.05,0.82,0.09,0.65,0.05
0.79,0.23,0.26,0.04,0.05,0.12,0.13,0.02,0.02,0.07,0.07,0.98,0.02,0.86,0.13,0.91,0.08,0.82,0.17,0.65,0.08,0.39,0.17
0.79,0.29,0.3,0.26,0.05,0.59,0.08,0.3,0.02,0.44,0.05,0.98,0.02,0.91,0.08,0.84,0.12,0.82,0.17,0.64,0.12,0.37,0.17
