ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.0,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.8,0.38,0.33,0.0,0.12,0.01,0.31,0.0,1.0,0.01,0.66,0.0,1.0,0.69,0.31,0.0,1.0,0.85,0.13,0.0,1.0,0.44,0.13
0.8,0.58,0.45,0.05,0.25,0.06,0.65,0.05,0.21,0.06,0.43,0.79,0.21,0.33,0.65,0.56,0.25,0.95,0.04,0.63,0.25,0.71,0.04
0.79,0.59,0.45,0.11,0.25,0.1,0.65,0.11,0.22,0.11,0.43,0.78,0.22,0.29,0.65,0.44,0.31,0.97,0.03,0.58,0.31,0.76,0.03
0.8,0.57,0.43,0.17,0.21,0.17,0.54,0.18,0.16,0.17,0.35,0.84,0.16,0.4,0.54,0.46,0.32,0.93,0.06,0.56,0.32,0.63,0.06
0.81,0.54,0.43,0.18,0.17,0.2,0.44,0.23,0.1,0.22,0.27,0.89,0.1,0.5,0.44,0.48,0.33,0.91,0.08,0.52,0.33,0.54,0.08
0.81,0.52,0.43,0.16,0.15,0.22,0.37,0.2,0.08,0.21,0.23,0.92,0.08,0.58,0.37,0.59,0.28,0.89,0.1,0.53,0.28,0.49,0.1
0.81,0.49,0.41,0.11,0.14,0.17,0.36,0.13,0.07,0.15,0.21,0.93,0.07,0.61,0.36,0.66,0.24,0.88,0.11,0.56,0.24,0.48,0.11
0.81,0.47,0.4,0.06,0.14,0.09,0.37,0.07,0.07,0.08,0.22,0.93,0.07,0.62,0.37,0.65,0.25,0.88,0.11,0.54,0.25,0.48,0.11
0.82,0.49,0.43,0.04,0.15,0.08,0.4,0.03,0.07,0.06,0.24,0.93,0.07,0.58,0.4,0.89,0.08,0.89,0.1,0.78,0.08,0.5,0.1
0.82,0.52,0.44,0.03,0.17,0.06,0.45,0.02,0.09,0.04,0.27,0.91,0.09,0.54,0.45,0.98,0.02,0.9,0.09,0.95,0.02,0.53,0.09
0.82,0.54,0.45,0.02,0.18,0.03,0.5,0.01,0.1,0.02,0.3,0.9,0.1,0.49,0.5,0.88,0.08,0.91,0.08,0.8,0.08,0.56,0.08
0.82,0.56,0.46,0.02,0.19,0.04,0.53,0.01,0.12,0.03,0.33,0.88,0.12,0.46,0.53,0.95,0.03,0.92,0.07,0.91,0.03,0.59,0.07
