ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.78,0.34,0.29,0.4,0.06,0.34,0.17,0.77,0.01,0.56,0.09,0.99,0.01,0.81,0.17,0.29,0.5,0.82,0.16,0.38,0.5,0.36,0.16
0.77,0.04,0.1,0.79,0.0,0.94,0.0,0.26,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.37,0.56,0.77,0.21,0.16,0.56,0.31,0.21
0.77,0.16,0.17,0.75,0.01,0.63,0.05,0.25,0.03,0.44,0.04,0.97,0.03,0.94,0.05,0.37,0.52,0.78,0.2,0.26,0.52,0.3,0.2
0.78,0.27,0.25,0.67,0.02,0.88,0.02,0.68,0.01,0.78,0.01,0.99,0.01,0.97,0.02,0.42,0.45,0.8,0.19,0.34,0.45,0.31,0.19
0.77,0.19,0.19,0.64,0.02,0.49,0.11,0.21,0.03,0.35,0.07,0.97,0.03,0.88,0.11,0.4,0.49,0.78,0.2,0.26,0.49,0.28,0.2
0.79,0.55,0.41,0.56,0.09,0.8,0.11,0.73,0.04,0.77,0.07,0.96,0.04,0.81,0.11,0.5,0.32,0.86,0.13,0.53,0.32,0.33,0.13
0.79,0.4,0.33,0.6,0.04,0.87,0.04,0.96,0.0,0.92,0.02,1.0,0.0,0.95,0.04,0.48,0.38,0.82,0.17,0.42,0.38,0.31,0.17
0.8,0.4,0.35,0.29,0.08,0.45,0.16,0.46,0.03,0.46,0.1,0.97,0.03,0.81,0.16,0.54,0.34,0.83,0.16,0.44,0.34,0.35,0.16
0.81,0.56,0.45,0.19,0.17,0.29,0.4,0.21,0.1,0.25,0.25,0.89,0.1,0.53,0.4,0.57,0.28,0.89,0.1,0.56,0.28,0.46,0.1
0.81,0.54,0.43,0.29,0.13,0.43,0.29,0.38,0.07,0.41,0.18,0.93,0.07,0.63,0.29,0.54,0.31,0.87,0.12,0.51,0.31,0.4,0.12
0.79,0.34,0.3,0.7,0.02,0.88,0.03,0.73,0.01,0.8,0.02,0.99,0.01,0.96,0.03,0.52,0.37,0.8,0.19,0.38,0.37,0.29,0.19
0.79,0.38,0.33,0.66,0.03,0.98,0.01,0.79,0.01,0.89,0.01,0.99,0.01,0.99,0.01,0.5,0.38,0.81,0.18,0.39,0.38,0.3,0.18
0.78,0.17,0.24,0.22,0.03,0.54,0.04,0.45,0.0,0.49,0.02,1.0,0.0,0.95,0.04,0.78,0.19,0.79,0.19,0.37,0.19,0.32,0.19
0.81,0.55,0.43,0.5,0.1,0.8,0.1,0.62,0.04,0.71,0.07,0.95,0.04,0.82,0.1,0.57,0.29,0.86,0.13,0.54,0.29,0.32,0.13
0.79,0.31,0.28,0.91,0.01,0.61,0.12,0.57,0.02,0.59,0.07,0.98,0.02,0.86,0.12,0.57,0.34,0.79,0.2,0.4,0.34,0.27,0.2
0.81,0.52,0.42,0.46,0.09,0.71,0.13,0.67,0.03,0.69,0.08,0.97,0.03,0.81,0.13,0.53,0.33,0.85,0.14,0.48,0.33,0.34,0.14
0.79,0.36,0.32,0.89,0.01,0.63,0.13,0.57,0.02,0.6,0.07,0.98,0.02,0.83,0.13,0.56,0.34,0.79,0.19,0.38,0.34,0.26,0.19
