ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.24,0.39,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,0.18,0.0,1.0,0.79,0.18,0.0,1.0
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.01,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.06,0.3,0.0,0.5,0.01,0.52,0.0,0.51,0.01,1.0,0.0,0.99,0.01,0.65,0.27,0.79,0.18,0.46,0.27,0.39,0.18
0.76,0.09,0.12,0.85,0.0,0.56,0.03,0.49,0.01,0.53,0.02,0.99,0.01,0.97,0.03,0.59,0.31,0.79,0.18,0.45,0.31,0.38,0.18
0.77,0.24,0.22,0.94,0.0,0.8,0.04,0.62,0.02,0.71,0.03,0.98,0.02,0.96,0.04,0.53,0.34,0.81,0.17,0.46,0.34,0.37,0.17
0.77,0.06,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.78,0.24,0.23,0.86,0.01,0.52,0.12,0.54,0.02,0.53,0.07,0.98,0.02,0.86,0.12,0.64,0.27,0.8,0.18,0.5,0.27,0.34,0.18
0.62,0.51,0.33,0.9,0.04,0.83,0.16,0.7,0.17,0.76,0.17,0.73,0.17,0.12,0.16,0.4,0.29,0.89,0.11,0.65,0.29,0.06,0.11
0.5,0.49,0.32,0.9,0.04,1.0,0.0,0.89,0.08,0.95,0.04,0.81,0.08,1.0,0.0,0.46,0.21,0.99,0.01,0.75,0.21,0.25,0.01
0.77,0.41,0.29,0.65,0.06,0.59,0.2,0.29,0.11,0.44,0.15,0.88,0.11,0.71,0.2,0.4,0.44,0.82,0.17,0.37,0.44,0.3,0.17
0.74,0.58,0.42,0.57,0.13,0.81,0.14,0.51,0.15,0.66,0.15,0.82,0.15,0.64,0.14,0.66,0.17,0.92,0.08,0.74,0.17,0.43,0.08
0.78,0.51,0.37,0.95,0.01,0.78,0.13,0.58,0.07,0.68,0.1,0.92,0.07,0.75,0.13,0.48,0.35,0.85,0.14,0.49,0.35,0.3,0.14
0.66,0.22,0.0,0.04,0.34,0.05,0.92,0.0,0.49,0.03,0.71,0.51,0.49,0.04,0.92,0.22,0.74,0.71,0.28,0.07,0.74,0.03,0.28
0.65,0.22,-0.0,0.04,0.35,0.05,0.92,0.0,0.52,0.03,0.72,0.48,0.52,0.04,0.92,0.22,0.72,0.71,0.28,0.1,0.72,0.03,0.28
0.77,0.1,0.19,0.19,0.01,0.47,0.03,0.26,0.0,0.36,0.01,1.0,0.0,0.97,0.03,0.96,0.04,0.8,0.18,0.58,0.04,0.4,0.18
0.75,0.6,0.47,0.56,0.14,0.76,0.2,0.51,0.16,0.64,0.18,0.8,0.16,0.44,0.2,0.64,0.19,0.96,0.04,0.72,0.19,0.59,0.04
