ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.08,0.09,0.0,0.24,0.01,0.0,1.0,0.12,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.77,0.05,0.12,0.15,0.01,0.37,0.02,0.16,0.0,0.27,0.01,1.0,0.0,0.98,0.02,0.95,0.05,0.8,0.18,0.77,0.05,0.39,0.18
0.79,0.31,0.29,0.17,0.07,0.22,0.18,0.27,0.03,0.24,0.1,0.97,0.03,0.81,0.18,0.54,0.33,0.84,0.14,0.46,0.33,0.44,0.14
0.79,0.27,0.28,0.16,0.06,0.27,0.14,0.21,0.02,0.24,0.08,0.98,0.02,0.85,0.14,0.71,0.21,0.83,0.15,0.55,0.21,0.43,0.15
0.79,0.37,0.32,0.41,0.06,0.49,0.15,0.7,0.01,0.59,0.08,0.99,0.01,0.83,0.15,0.5,0.36,0.84,0.14,0.43,0.36,0.43,0.14
0.8,0.51,0.4,0.26,0.14,0.33,0.33,0.32,0.08,0.33,0.21,0.92,0.08,0.61,0.33,0.57,0.28,0.89,0.1,0.56,0.28,0.52,0.1
0.79,0.34,0.31,0.44,0.05,0.6,0.1,0.78,0.01,0.69,0.06,0.99,0.01,0.89,0.1,0.56,0.33,0.83,0.15,0.42,0.33,0.41,0.15
0.8,0.44,0.37,0.23,0.1,0.35,0.23,0.31,0.04,0.33,0.14,0.96,0.04,0.73,0.23,0.65,0.25,0.86,0.12,0.54,0.25,0.47,0.12
0.81,0.48,0.4,0.07,0.15,0.16,0.35,0.04,0.08,0.1,0.21,0.92,0.08,0.62,0.35,0.95,0.04,0.88,0.1,0.87,0.04,0.52,0.1
0.8,0.42,0.35,0.57,0.05,0.73,0.09,0.99,0.0,0.86,0.04,1.0,0.0,0.89,0.09,0.52,0.35,0.85,0.14,0.43,0.35,0.41,0.14
0.8,0.56,0.43,0.11,0.21,0.17,0.5,0.09,0.16,0.13,0.33,0.84,0.16,0.44,0.5,0.79,0.13,0.93,0.06,0.76,0.13,0.63,0.06
0.81,0.51,0.42,0.08,0.16,0.17,0.39,0.05,0.1,0.11,0.24,0.9,0.1,0.57,0.39,0.99,0.01,0.9,0.09,0.97,0.01,0.54,0.09
0.79,0.3,0.31,0.25,0.05,0.51,0.1,0.29,0.01,0.4,0.06,0.99,0.01,0.89,0.1,0.86,0.11,0.83,0.15,0.63,0.11,0.41,0.15
0.79,0.54,0.4,0.53,0.1,0.65,0.19,0.65,0.05,0.65,0.12,0.94,0.05,0.71,0.19,0.55,0.28,0.89,0.1,0.57,0.28,0.46,0.1
0.8,0.47,0.39,0.38,0.09,0.54,0.18,0.53,0.03,0.54,0.1,0.97,0.03,0.77,0.18,0.62,0.27,0.86,0.12,0.51,0.27,0.45,0.12
0.8,0.47,0.39,0.48,0.07,0.71,0.11,0.67,0.02,0.69,0.07,0.98,0.02,0.85,0.11,0.63,0.26,0.86,0.13,0.52,0.26,0.42,0.13
0.8,0.45,0.38,0.38,0.08,0.54,0.17,0.57,0.02,0.55,0.1,0.98,0.02,0.79,0.17,0.61,0.29,0.86,0.13,0.48,0.29,0.44,0.13
0.8,0.53,0.41,0.49,0.1,0.68,0.16,0.6,0.05,0.64,0.11,0.95,0.05,0.76,0.16,0.61,0.26,0.88,0.11,0.57,0.26,0.44,0.11
0.79,0.3,0.29,0.73,0.02,0.91,0.02,0.63,0.01,0.77,0.01,0.99,0.01,0.98,0.02,0.59,0.33,0.82,0.17,0.36,0.33,0.37,0.17
0.78,0.2,0.25,0.58,0.02,0.85,0.02,0.99,0.0,0.92,0.01,1.0,0.0,0.98,0.02,0.8,0.17,0.8,0.17,0.46,0.17,0.38,0.17
0.79,0.36,0.32,0.74,0.02,0.98,0.01,0.65,0.01,0.81,0.01,0.98,0.01,0.99,0.01,0.56,0.35,0.83,0.16,0.37,0.35,0.38,0.16
0.81,0.46,0.4,0.23,0.1,0.37,0.24,0.29,0.04,0.33,0.14,0.96,0.04,0.72,0.24,0.71,0.21,0.87,0.12,0.56,0.21,0.47,0.12
0.8,0.5,0.4,0.32,0.11,0.46,0.24,0.38,0.06,0.42,0.15,0.94,0.06,0.7,0.24,0.65,0.24,0.88,0.11,0.58,0.24,0.48,0.11
0.79,0.29,0.31,0.24,0.05,0.57,0.08,0.2,0.01,0.39,0.04,0.99,0.01,0.91,0.08,0.98,0.02,0.82,0.16,0.9,0.02,0.41,0.16
0.8,0.42,0.35,0.85,0.02,0.84,0.06,0.62,0.02,0.73,0.04,0.97,0.02,0.92,0.06,0.56,0.34,0.83,0.16,0.41,0.34,0.35,0.16
0.79,0.25,0.28,0.67,0.02,0.83,0.03,0.78,0.0,0.8,0.01,1.0,0.0,0.97,0.03,0.71,0.24,0.81,0.17,0.41,0.24,0.37,0.17
0.79,0.25,0.28,0.7,0.01,0.8,0.04,0.71,0.0,0.76,0.02,1.0,0.0,0.96,0.04,0.71,0.24,0.81,0.17,0.39,0.24,0.37,0.17
0.81,0.5,0.41,0.33,0.1,0.5,0.21,0.41,0.05,0.45,0.13,0.95,0.05,0.73,0.21,0.68,0.23,0.87,0.11,0.57,0.23,0.46,0.11
0.8,0.31,0.33,0.17,0.06,0.4,0.12,0.12,0.02,0.26,0.07,0.98,0.02,0.86,0.12,0.99,0.01,0.83,0.15,0.97,0.01,0.42,0.15
0.79,0.29,0.32,0.17,0.05,0.42,0.11,0.1,0.01,0.26,0.06,0.99,0.01,0.88,0.11,0.97,0.03,0.83,0.15,0.83,0.03,0.42,0.15
0.78,0.21,0.27,0.3,0.03,0.74,0.03,0.26,0.0,0.5,0.01,1.0,0.0,0.96,0.03,0.98,0.01,0.81,0.17,0.89,0.01,0.39,0.17
0.81,0.41,0.38,0.13,0.09,0.34,0.21,0.07,0.04,0.21,0.12,0.96,0.04,0.77,0.21,0.91,0.07,0.85,0.13,0.69,0.07,0.45,0.13
0.81,0.52,0.43,0.09,0.16,0.23,0.37,0.03,0.09,0.13,0.23,0.91,0.09,0.59,0.37,0.83,0.14,0.89,0.09,0.56,0.14,0.53,0.09
0.81,0.44,0.39,0.07,0.12,0.18,0.29,0.03,0.05,0.1,0.17,0.95,0.05,0.69,0.29,0.87,0.12,0.87,0.12,0.54,0.12,0.49,0.12
0.81,0.55,0.44,0.26,0.15,0.42,0.31,0.25,0.09,0.33,0.2,0.9,0.09,0.6,0.31,0.77,0.15,0.9,0.09,0.7,0.15,0.52,0.09
0.81,0.45,0.4,0.21,0.1,0.43,0.2,0.18,0.04,0.3,0.12,0.96,0.04,0.76,0.2,0.91,0.06,0.86,0.12,0.8,0.06,0.45,0.12
0.8,0.31,0.34,0.19,0.06,0.49,0.11,0.1,0.02,0.29,0.07,0.98,0.02,0.88,0.11,0.94,0.05,0.83,0.15,0.68,0.05,0.42,0.15
0.79,0.26,0.31,0.25,0.04,0.64,0.06,0.16,0.01,0.4,0.03,0.99,0.01,0.94,0.06,0.98,0.02,0.82,0.16,0.84,0.02,0.4,0.16
0.79,0.25,0.3,0.29,0.03,0.72,0.04,0.2,0.01,0.46,0.03,0.99,0.01,0.95,0.04,0.99,0.01,0.82,0.16,0.91,0.01,0.39,0.16
0.8,0.3,0.34,0.21,0.05,0.52,0.1,0.14,0.01,0.33,0.06,0.99,0.01,0.89,0.1,0.98,0.01,0.83,0.15,0.9,0.01,0.41,0.15
0.8,0.35,0.36,0.11,0.07,0.29,0.18,0.06,0.02,0.17,0.1,0.98,0.02,0.81,0.18,0.94,0.05,0.84,0.14,0.7,0.05,0.44,0.14
0.82,0.56,0.46,0.29,0.13,0.53,0.24,0.27,0.07,0.4,0.15,0.92,0.07,0.67,0.24,0.82,0.12,0.89,0.1,0.72,0.12,0.48,0.1
0.82,0.53,0.45,0.23,0.12,0.48,0.23,0.18,0.06,0.33,0.15,0.94,0.06,0.7,0.23,0.95,0.03,0.88,0.11,0.89,0.03,0.47,0.11
