ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.08,0.09,0.0,0.24,0.01,0.0,1.0,0.12,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.04,0.11,0.1,0.01,0.2,0.02,0.17,0.0,0.18,0.01,1.0,0.0,0.98,0.02,0.79,0.18,0.8,0.18,0.46,0.18,0.4,0.18
0.78,0.28,0.27,0.16,0.06,0.21,0.16,0.26,0.02,0.23,0.09,0.98,0.02,0.83,0.16,0.54,0.33,0.83,0.15,0.45,0.33,0.43,0.15
0.78,0.25,0.27,0.14,0.06,0.25,0.13,0.19,0.02,0.22,0.07,0.98,0.02,0.86,0.13,0.73,0.2,0.83,0.15,0.55,0.2,0.42,0.15
0.79,0.34,0.3,0.41,0.06,0.5,0.13,0.72,0.01,0.61,0.07,0.99,0.01,0.85,0.13,0.5,0.36,0.84,0.14,0.43,0.36,0.43,0.14
0.8,0.51,0.4,0.29,0.13,0.36,0.31,0.36,0.07,0.36,0.19,0.93,0.07,0.63,0.31,0.57,0.28,0.89,0.1,0.55,0.28,0.51,0.1
0.79,0.34,0.31,0.51,0.04,0.66,0.08,0.96,0.0,0.81,0.04,1.0,0.0,0.9,0.08,0.53,0.36,0.83,0.15,0.4,0.36,0.41,0.15
0.8,0.43,0.36,0.27,0.09,0.39,0.21,0.38,0.04,0.39,0.12,0.96,0.04,0.76,0.21,0.62,0.27,0.86,0.13,0.51,0.27,0.46,0.13
0.81,0.46,0.39,0.08,0.13,0.17,0.33,0.07,0.07,0.12,0.2,0.93,0.07,0.65,0.33,0.94,0.04,0.88,0.11,0.87,0.04,0.51,0.11
0.79,0.4,0.34,0.6,0.04,0.75,0.08,0.92,0.0,0.83,0.04,1.0,0.0,0.9,0.08,0.51,0.36,0.84,0.14,0.42,0.36,0.41,0.14
0.8,0.55,0.42,0.12,0.2,0.18,0.47,0.11,0.14,0.14,0.3,0.86,0.14,0.47,0.47,0.74,0.16,0.92,0.07,0.71,0.16,0.61,0.07
0.81,0.5,0.41,0.09,0.15,0.19,0.37,0.06,0.09,0.12,0.23,0.91,0.09,0.59,0.37,0.96,0.03,0.89,0.1,0.93,0.03,0.53,0.1
0.79,0.29,0.31,0.25,0.05,0.53,0.09,0.29,0.01,0.41,0.05,0.99,0.01,0.9,0.09,0.87,0.11,0.83,0.15,0.64,0.11,0.41,0.15
0.79,0.53,0.4,0.56,0.09,0.68,0.17,0.71,0.04,0.7,0.11,0.96,0.04,0.74,0.17,0.53,0.29,0.88,0.11,0.56,0.29,0.45,0.11
0.8,0.46,0.38,0.42,0.08,0.57,0.16,0.64,0.02,0.6,0.09,0.98,0.02,0.79,0.16,0.58,0.3,0.86,0.12,0.48,0.3,0.44,0.12
0.8,0.46,0.38,0.54,0.06,0.78,0.08,0.82,0.01,0.8,0.04,0.99,0.01,0.88,0.08,0.6,0.29,0.85,0.13,0.49,0.29,0.41,0.13
0.8,0.43,0.37,0.46,0.07,0.64,0.12,0.73,0.01,0.69,0.07,0.99,0.01,0.85,0.12,0.59,0.3,0.85,0.13,0.46,0.3,0.42,0.13
0.8,0.51,0.39,0.6,0.07,0.8,0.09,0.82,0.02,0.81,0.06,0.98,0.02,0.86,0.09,0.57,0.29,0.87,0.12,0.54,0.29,0.41,0.12
0.79,0.29,0.28,0.92,0.0,0.78,0.05,0.43,0.02,0.6,0.04,0.98,0.02,0.94,0.05,0.55,0.38,0.81,0.17,0.31,0.38,0.37,0.17
0.78,0.19,0.25,0.69,0.01,0.74,0.04,0.7,0.0,0.72,0.02,1.0,0.0,0.96,0.04,0.78,0.19,0.8,0.18,0.38,0.19,0.37,0.18
0.79,0.32,0.3,0.9,0.01,0.81,0.05,0.47,0.02,0.64,0.04,0.98,0.02,0.94,0.05,0.54,0.37,0.82,0.17,0.33,0.37,0.36,0.17
0.8,0.43,0.38,0.32,0.08,0.49,0.17,0.47,0.02,0.48,0.1,0.98,0.02,0.8,0.17,0.66,0.26,0.85,0.13,0.49,0.26,0.44,0.13
0.81,0.49,0.4,0.35,0.1,0.51,0.2,0.47,0.04,0.49,0.12,0.96,0.04,0.74,0.2,0.64,0.26,0.87,0.12,0.54,0.26,0.46,0.12
0.79,0.29,0.31,0.26,0.05,0.57,0.08,0.28,0.01,0.42,0.04,0.99,0.01,0.91,0.08,0.91,0.07,0.82,0.16,0.71,0.07,0.41,0.16
0.8,0.4,0.34,0.87,0.01,0.8,0.07,0.59,0.02,0.7,0.05,0.97,0.02,0.91,0.07,0.57,0.34,0.83,0.16,0.4,0.34,0.35,0.16
0.78,0.25,0.27,0.81,0.01,0.78,0.04,0.51,0.01,0.65,0.03,0.99,0.01,0.95,0.04,0.63,0.32,0.81,0.17,0.32,0.32,0.37,0.17
0.78,0.23,0.26,0.81,0.01,0.73,0.05,0.53,0.01,0.63,0.03,0.99,0.01,0.94,0.05,0.67,0.28,0.81,0.17,0.33,0.28,0.37,0.17
0.81,0.44,0.39,0.4,0.07,0.63,0.13,0.6,0.02,0.61,0.07,0.98,0.02,0.84,0.13,0.65,0.26,0.85,0.13,0.49,0.26,0.42,0.13
0.79,0.29,0.32,0.2,0.05,0.49,0.1,0.17,0.01,0.33,0.06,0.99,0.01,0.89,0.1,0.98,0.01,0.83,0.15,0.93,0.01,0.41,0.15
0.79,0.25,0.3,0.19,0.04,0.49,0.08,0.12,0.01,0.3,0.04,0.99,0.01,0.91,0.08,0.96,0.03,0.82,0.16,0.78,0.03,0.41,0.16
0.78,0.19,0.26,0.31,0.02,0.73,0.03,0.35,0.0,0.54,0.01,1.0,0.0,0.97,0.03,0.95,0.05,0.81,0.17,0.67,0.05,0.39,0.17
0.8,0.31,0.33,0.16,0.06,0.39,0.13,0.09,0.02,0.24,0.07,0.98,0.02,0.86,0.13,0.96,0.03,0.83,0.15,0.8,0.03,0.42,0.15
0.81,0.39,0.38,0.1,0.09,0.25,0.22,0.04,0.03,0.14,0.12,0.97,0.03,0.76,0.22,0.9,0.09,0.86,0.13,0.57,0.09,0.46,0.13
0.8,0.32,0.34,0.08,0.07,0.2,0.19,0.03,0.02,0.12,0.1,0.98,0.02,0.81,0.19,0.92,0.07,0.84,0.14,0.58,0.07,0.45,0.14
0.81,0.45,0.41,0.13,0.11,0.34,0.24,0.06,0.05,0.2,0.14,0.95,0.05,0.73,0.24,0.89,0.09,0.86,0.12,0.63,0.09,0.47,0.12
0.81,0.39,0.38,0.18,0.08,0.46,0.15,0.1,0.03,0.28,0.09,0.97,0.03,0.82,0.15,0.94,0.05,0.85,0.14,0.74,0.05,0.43,0.14
0.79,0.28,0.32,0.23,0.05,0.59,0.07,0.13,0.01,0.36,0.04,0.99,0.01,0.92,0.07,0.96,0.04,0.82,0.16,0.75,0.04,0.4,0.16
0.79,0.23,0.3,0.31,0.03,0.78,0.03,0.24,0.01,0.51,0.02,0.99,0.01,0.96,0.03,1.0,0.0,0.81,0.17,0.99,0.0,0.39,0.17
0.79,0.21,0.28,0.4,0.02,0.99,0.0,0.37,0.0,0.68,0.0,1.0,0.0,1.0,0.0,0.98,0.02,0.81,0.17,0.84,0.02,0.38,0.17
0.79,0.22,0.29,0.39,0.02,0.92,0.01,0.44,0.0,0.68,0.01,1.0,0.0,0.99,0.01,0.96,0.04,0.81,0.17,0.67,0.04,0.38,0.17
0.79,0.23,0.29,0.32,0.03,0.77,0.03,0.32,0.0,0.55,0.01,1.0,0.0,0.96,0.03,0.97,0.03,0.81,0.17,0.76,0.03,0.39,0.17
0.8,0.29,0.33,0.29,0.04,0.66,0.06,0.31,0.01,0.48,0.03,0.99,0.01,0.93,0.06,0.93,0.06,0.82,0.16,0.71,0.06,0.4,0.16
0.8,0.31,0.34,0.29,0.05,0.67,0.07,0.28,0.01,0.48,0.04,0.99,0.01,0.92,0.07,0.95,0.04,0.83,0.16,0.77,0.04,0.4,0.16
