ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.8,0.46,0.37,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.11,0.0,1.0,0.51,0.11
0.69,0.57,0.41,0.09,0.37,0.08,0.88,0.06,0.52,0.07,0.7,0.47,0.52,0.05,0.88,0.57,0.19,0.93,0.07,0.75,0.19,0.39,0.07
0.66,0.55,0.38,0.24,0.32,0.18,0.79,0.17,0.5,0.17,0.65,0.45,0.5,0.03,0.79,0.44,0.24,0.92,0.08,0.71,0.24,0.29,0.08
0.73,0.59,0.44,0.28,0.26,0.21,0.71,0.25,0.31,0.23,0.51,0.66,0.31,0.12,0.71,0.39,0.3,0.96,0.03,0.63,0.3,0.68,0.03
0.8,0.53,0.41,0.39,0.12,0.34,0.35,0.59,0.05,0.46,0.2,0.95,0.05,0.57,0.35,0.37,0.42,0.9,0.09,0.44,0.42,0.53,0.09
0.79,0.31,0.3,0.61,0.03,0.72,0.06,0.55,0.01,0.64,0.03,0.99,0.01,0.93,0.06,0.45,0.47,0.82,0.17,0.25,0.47,0.38,0.17
0.76,0.09,0.16,0.82,0.0,0.81,0.01,0.24,0.01,0.53,0.01,0.99,0.01,0.99,0.01,0.55,0.41,0.79,0.19,0.16,0.41,0.36,0.19
