ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.63,0.7,0.26,1.0,0.0,0.97,0.03,0.98,0.01,0.97,0.02,0.97,0.01,0.87,0.03,0.91,0.06,0.87,0.09,0.84,0.06,0.78,0.09
0.56,0.42,0.22,0.9,0.02,0.88,0.04,0.65,0.04,0.77,0.04,0.95,0.04,0.95,0.04,0.88,0.1,0.87,0.07,0.64,0.1,0.87,0.07
0.6,0.56,0.23,0.84,0.04,0.79,0.11,0.68,0.09,0.74,0.1,0.89,0.09,0.82,0.11,0.88,0.09,0.84,0.09,0.74,0.09,0.82,0.09
0.6,0.57,0.23,0.81,0.06,0.75,0.14,0.64,0.11,0.7,0.12,0.87,0.11,0.77,0.14,0.88,0.09,0.83,0.1,0.74,0.09,0.81,0.1
0.63,0.63,0.27,0.8,0.07,0.69,0.2,0.71,0.1,0.7,0.15,0.87,0.1,0.63,0.2,0.92,0.05,0.77,0.15,0.83,0.05,0.71,0.15
0.63,0.65,0.26,0.87,0.05,0.78,0.16,0.79,0.08,0.79,0.12,0.88,0.08,0.66,0.16,0.92,0.06,0.79,0.14,0.84,0.06,0.72,0.14
0.63,0.67,0.25,0.88,0.05,0.8,0.15,0.77,0.12,0.79,0.14,0.81,0.12,0.61,0.15,0.9,0.07,0.79,0.14,0.81,0.07,0.71,0.14
0.62,0.69,0.23,0.92,0.03,0.86,0.11,0.84,0.1,0.85,0.11,0.8,0.1,0.61,0.11,0.89,0.07,0.81,0.13,0.82,0.07,0.71,0.13
0.61,0.72,0.23,0.95,0.02,0.97,0.03,0.81,0.16,0.89,0.1,0.51,0.16,0.64,0.03,0.83,0.11,0.99,0.01,0.76,0.11,0.96,0.01
0.56,0.71,0.14,0.96,0.02,0.0,1.0,0.85,0.15,0.42,0.57,0.09,0.15,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.54,0.7,0.04,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.04,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.04,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.04,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.6,0.7,0.19,0.85,0.07,0.82,0.17,0.62,0.31,0.72,0.24,0.38,0.31,0.3,0.17,0.81,0.13,0.84,0.11,0.71,0.13,0.72,0.11
0.59,0.68,0.16,0.72,0.13,0.65,0.33,0.44,0.45,0.55,0.39,0.3,0.45,0.18,0.33,0.78,0.15,0.74,0.19,0.66,0.15,0.6,0.19
0.58,0.66,0.14,0.54,0.21,0.47,0.49,0.25,0.6,0.36,0.54,0.25,0.6,0.13,0.49,0.73,0.21,0.7,0.22,0.54,0.21,0.57,0.22
0.55,0.61,0.09,0.28,0.33,0.22,0.72,0.1,0.71,0.16,0.71,0.23,0.71,0.1,0.72,0.71,0.23,0.62,0.28,0.47,0.23,0.5,0.28
0.55,0.53,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,0.23,0.0,1.0,0.61,0.23
0.54,0.55,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.62,0.25,0.0,1.0,0.57,0.25
0.52,0.57,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.56,0.33,0.0,1.0,0.44,0.33
0.53,0.57,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.31,0.0,1.0,0.47,0.31
