ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.56,0.71,0.11,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.62,0.72,0.25,0.9,0.05,0.87,0.12,0.81,0.15,0.84,0.14,0.6,0.15,0.27,0.12,0.92,0.05,0.86,0.11,0.88,0.05,0.68,0.11
0.62,0.72,0.24,0.91,0.04,0.87,0.12,0.82,0.14,0.84,0.13,0.61,0.14,0.25,0.12,0.92,0.05,0.85,0.12,0.87,0.05,0.64,0.12
0.65,0.7,0.29,0.85,0.06,0.83,0.15,0.71,0.18,0.77,0.16,0.67,0.18,0.47,0.15,0.96,0.03,0.98,0.02,0.92,0.03,0.95,0.02
0.64,0.72,0.27,0.89,0.05,0.86,0.13,0.76,0.18,0.81,0.15,0.6,0.18,0.35,0.13,0.94,0.04,0.93,0.05,0.91,0.04,0.84,0.05
0.64,0.71,0.27,0.86,0.06,0.85,0.14,0.71,0.21,0.78,0.17,0.59,0.21,0.41,0.14,0.96,0.02,0.98,0.02,0.94,0.02,0.95,0.02
0.66,0.69,0.3,0.84,0.07,0.85,0.12,0.66,0.19,0.76,0.15,0.7,0.19,0.62,0.12,0.99,0.01,0.94,0.04,0.98,0.01,0.91,0.04
0.65,0.72,0.29,0.88,0.05,0.86,0.13,0.78,0.15,0.82,0.14,0.69,0.15,0.42,0.13,0.94,0.04,0.93,0.05,0.89,0.04,0.85,0.05
0.66,0.71,0.32,0.88,0.05,0.89,0.09,0.74,0.15,0.81,0.12,0.74,0.15,0.64,0.09,0.97,0.02,0.96,0.03,0.94,0.02,0.92,0.03
0.65,0.69,0.3,0.85,0.06,0.86,0.11,0.68,0.18,0.77,0.14,0.72,0.18,0.65,0.11,0.99,0.01,0.93,0.04,0.97,0.01,0.89,0.04
0.66,0.71,0.32,0.9,0.04,0.91,0.08,0.77,0.13,0.84,0.11,0.78,0.13,0.7,0.08,0.96,0.03,0.94,0.04,0.92,0.03,0.89,0.04
0.66,0.7,0.3,0.9,0.04,0.92,0.06,0.76,0.13,0.84,0.1,0.78,0.13,0.79,0.06,0.97,0.02,0.9,0.07,0.95,0.02,0.83,0.07
0.66,0.71,0.31,0.9,0.04,0.93,0.06,0.77,0.12,0.85,0.09,0.79,0.12,0.78,0.06,0.97,0.02,0.91,0.06,0.94,0.02,0.84,0.06
0.65,0.68,0.29,0.94,0.02,0.99,0.01,0.82,0.08,0.91,0.04,0.87,0.08,0.98,0.01,0.97,0.02,0.85,0.1,0.94,0.02,0.78,0.1
0.66,0.72,0.31,0.92,0.04,0.93,0.06,0.82,0.11,0.88,0.08,0.8,0.11,0.73,0.06,0.95,0.03,0.94,0.04,0.9,0.03,0.88,0.04
0.66,0.71,0.3,0.94,0.03,0.97,0.03,0.85,0.08,0.91,0.06,0.86,0.08,0.89,0.03,0.95,0.04,0.89,0.07,0.9,0.04,0.81,0.07
0.66,0.71,0.31,0.92,0.03,0.95,0.04,0.82,0.09,0.89,0.07,0.85,0.09,0.86,0.04,0.96,0.03,0.9,0.07,0.91,0.03,0.83,0.07
0.66,0.71,0.31,0.92,0.03,0.95,0.04,0.82,0.09,0.89,0.07,0.84,0.09,0.84,0.04,0.95,0.03,0.9,0.07,0.91,0.03,0.83,0.07
0.66,0.69,0.31,0.94,0.02,0.99,0.01,0.84,0.07,0.92,0.04,0.89,0.07,0.98,0.01,0.96,0.03,0.87,0.09,0.92,0.03,0.79,0.09
0.66,0.7,0.31,0.92,0.03,0.95,0.04,0.84,0.08,0.9,0.06,0.87,0.08,0.87,0.04,0.95,0.03,0.9,0.06,0.9,0.03,0.84,0.06
0.66,0.71,0.31,0.94,0.03,0.96,0.03,0.87,0.07,0.92,0.05,0.88,0.07,0.88,0.03,0.94,0.04,0.91,0.06,0.89,0.04,0.84,0.06
0.66,0.71,0.31,0.95,0.02,0.96,0.03,0.9,0.05,0.93,0.04,0.91,0.05,0.88,0.03,0.93,0.05,0.92,0.06,0.87,0.05,0.85,0.06
0.66,0.7,0.31,0.94,0.02,0.98,0.02,0.88,0.06,0.93,0.04,0.9,0.06,0.93,0.02,0.94,0.04,0.89,0.07,0.89,0.04,0.82,0.07
0.66,0.7,0.31,0.93,0.03,0.96,0.03,0.85,0.07,0.91,0.05,0.87,0.07,0.88,0.03,0.95,0.04,0.9,0.07,0.9,0.04,0.83,0.07
0.66,0.71,0.31,0.94,0.02,0.94,0.04,0.9,0.05,0.92,0.04,0.91,0.05,0.82,0.04,0.92,0.05,0.94,0.04,0.85,0.05,0.89,0.04
0.66,0.71,0.31,0.93,0.03,0.95,0.04,0.85,0.08,0.9,0.06,0.86,0.08,0.84,0.04,0.95,0.04,0.91,0.06,0.89,0.04,0.84,0.06
0.65,0.71,0.3,0.94,0.03,0.96,0.03,0.85,0.08,0.91,0.06,0.85,0.08,0.87,0.03,0.94,0.04,0.9,0.07,0.9,0.04,0.82,0.07
0.66,0.71,0.31,0.92,0.03,0.95,0.04,0.84,0.08,0.9,0.06,0.86,0.08,0.84,0.04,0.95,0.04,0.91,0.06,0.9,0.04,0.84,0.06
0.66,0.7,0.31,0.93,0.03,0.94,0.04,0.87,0.06,0.91,0.05,0.89,0.06,0.84,0.04,0.93,0.05,0.92,0.05,0.87,0.05,0.87,0.05
0.66,0.69,0.31,0.95,0.02,0.98,0.01,0.9,0.05,0.94,0.03,0.93,0.05,0.95,0.01,0.94,0.04,0.89,0.07,0.88,0.04,0.82,0.07
0.66,0.71,0.31,0.95,0.02,0.97,0.02,0.88,0.06,0.93,0.04,0.89,0.06,0.91,0.02,0.94,0.04,0.9,0.07,0.89,0.04,0.82,0.07
0.67,0.71,0.33,0.95,0.02,0.98,0.01,0.92,0.04,0.95,0.03,0.94,0.04,0.95,0.01,0.93,0.05,0.9,0.07,0.87,0.05,0.82,0.07
