ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.09,0.0,1.0,0.84,0.09
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.61,0.71,0.24,0.86,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.56,0.7,0.16,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.64,0.68,0.28,0.64,0.17,0.6,0.38,0.36,0.53,0.48,0.46,0.25,0.53,0.09,0.38,0.95,0.03,0.82,0.14,0.91,0.03,0.62,0.14
0.57,0.39,0.25,0.78,0.03,0.65,0.1,0.85,0.01,0.75,0.06,0.99,0.01,0.87,0.1,0.98,0.01,0.78,0.12,0.92,0.01,0.77,0.12
0.66,0.67,0.32,0.85,0.06,0.87,0.09,0.73,0.12,0.8,0.1,0.83,0.12,0.75,0.09,0.94,0.04,0.9,0.06,0.87,0.04,0.84,0.06
0.63,0.59,0.28,0.75,0.08,0.83,0.1,0.51,0.18,0.67,0.14,0.78,0.18,0.82,0.1,0.97,0.02,0.83,0.1,0.92,0.02,0.79,0.1
0.63,0.63,0.27,0.74,0.09,0.61,0.27,0.64,0.13,0.62,0.2,0.83,0.13,0.53,0.27,0.91,0.07,0.71,0.2,0.8,0.07,0.62,0.2
0.57,0.69,0.14,0.82,0.09,0.81,0.19,0.54,0.44,0.68,0.32,0.1,0.44,0.05,0.19,0.73,0.18,0.75,0.21,0.62,0.18,0.43,0.21
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.58,0.45,0.23,0.16,0.21,0.13,0.42,0.07,0.16,0.1,0.29,0.83,0.16,0.55,0.42,0.83,0.15,0.68,0.2,0.44,0.15,0.66,0.2
0.56,0.61,0.1,0.29,0.32,0.21,0.73,0.11,0.65,0.16,0.69,0.29,0.65,0.1,0.73,0.72,0.22,0.57,0.33,0.51,0.22,0.41,0.33
0.55,0.61,0.08,0.28,0.34,0.21,0.76,0.11,0.72,0.16,0.74,0.21,0.72,0.05,0.76,0.71,0.22,0.53,0.38,0.52,0.22,0.32,0.38
0.48,0.56,-0.07,0.0,0.49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.55,0.63,0.08,0.42,0.28,0.33,0.64,0.17,0.72,0.25,0.68,0.16,0.72,0.05,0.64,0.69,0.24,0.58,0.34,0.5,0.24,0.36,0.34
0.56,0.7,0.14,0.85,0.07,0.0,1.0,0.58,0.41,0.29,0.7,0.04,0.41,0.0,1.0,0.74,0.18,0.0,1.0,0.64,0.18,0.0,1.0
0.56,0.68,0.11,0.76,0.12,0.7,0.3,0.47,0.51,0.58,0.41,0.09,0.51,0.01,0.3,0.73,0.18,0.59,0.39,0.62,0.18,0.11,0.39
0.58,0.53,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6,0.27,0.0,1.0,0.54,0.27
0.59,0.59,0.18,0.16,0.34,0.13,0.72,0.05,0.5,0.09,0.61,0.49,0.5,0.2,0.72,0.71,0.25,0.58,0.3,0.36,0.25,0.47,0.3
0.57,0.7,0.16,0.88,0.06,0.86,0.14,0.67,0.31,0.77,0.23,0.19,0.31,0.06,0.14,0.77,0.15,0.72,0.25,0.69,0.15,0.32,0.25
0.65,0.71,0.31,0.95,0.02,0.9,0.09,0.83,0.09,0.86,0.09,0.83,0.09,0.65,0.09,0.86,0.1,0.82,0.14,0.74,0.1,0.66,0.14
0.61,0.63,0.21,0.41,0.24,0.32,0.58,0.19,0.45,0.26,0.52,0.49,0.45,0.2,0.58,0.77,0.18,0.61,0.29,0.54,0.18,0.46,0.29
0.57,0.58,0.13,0.07,0.4,0.05,0.84,0.02,0.6,0.04,0.72,0.4,0.6,0.13,0.84,0.71,0.24,0.54,0.35,0.41,0.24,0.4,0.35
0.58,0.48,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.64,0.23,0.0,1.0,0.6,0.23
0.58,0.48,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.64,0.23,0.0,1.0,0.61,0.23
0.59,0.59,0.17,0.17,0.34,0.12,0.74,0.05,0.52,0.08,0.63,0.47,0.52,0.17,0.74,0.73,0.23,0.57,0.32,0.42,0.23,0.44,0.32
0.59,0.65,0.17,0.56,0.2,0.46,0.49,0.28,0.52,0.37,0.51,0.35,0.52,0.15,0.49,0.74,0.19,0.64,0.27,0.56,0.19,0.46,0.27
0.61,0.58,0.23,0.28,0.26,0.22,0.57,0.13,0.33,0.17,0.45,0.65,0.33,0.32,0.57,0.79,0.17,0.63,0.26,0.5,0.17,0.54,0.26
0.58,0.68,0.15,0.73,0.13,0.66,0.33,0.45,0.48,0.56,0.41,0.21,0.48,0.07,0.33,0.75,0.18,0.65,0.3,0.62,0.18,0.35,0.3
0.59,0.63,0.16,0.39,0.27,0.31,0.62,0.16,0.56,0.23,0.59,0.37,0.56,0.14,0.62,0.73,0.22,0.6,0.31,0.49,0.22,0.43,0.31
0.57,0.56,0.14,0.01,0.4,0.0,1.0,0.01,0.53,0.01,0.77,0.47,0.53,0.0,1.0,0.0,1.0,0.55,0.33,0.0,1.0,0.44,0.33
0.59,0.55,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.58,0.3,0.0,1.0,0.49,0.3
0.59,0.55,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.58,0.3,0.0,1.0,0.49,0.3
0.57,0.49,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.63,0.24,0.0,1.0,0.6,0.24
0.58,0.53,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6,0.27,0.0,1.0,0.54,0.27
0.58,0.56,0.18,0.01,0.38,0.0,1.0,0.01,0.43,0.01,0.71,0.57,0.43,0.0,1.0,0.0,1.0,0.56,0.31,0.0,1.0,0.47,0.31
0.59,0.53,0.21,0.15,0.28,0.11,0.59,0.07,0.31,0.09,0.45,0.68,0.31,0.36,0.59,0.82,0.15,0.63,0.24,0.56,0.15,0.58,0.24
0.58,0.52,0.18,0.01,0.34,0.01,0.68,0.02,0.35,0.01,0.52,0.64,0.35,0.32,0.68,0.77,0.15,0.61,0.26,0.69,0.15,0.56,0.26
0.59,0.55,0.19,0.03,0.36,0.02,0.75,0.01,0.42,0.01,0.58,0.58,0.42,0.24,0.75,0.86,0.11,0.57,0.3,0.7,0.11,0.49,0.3
0.58,0.48,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.64,0.23,0.0,1.0,0.6,0.23
0.57,0.63,0.14,0.34,0.3,0.25,0.7,0.15,0.6,0.2,0.65,0.33,0.6,0.09,0.7,0.75,0.19,0.55,0.36,0.56,0.19,0.35,0.36
0.58,0.63,0.15,0.39,0.27,0.29,0.65,0.17,0.58,0.23,0.61,0.34,0.58,0.1,0.65,0.74,0.2,0.57,0.34,0.54,0.2,0.37,0.34
0.56,0.65,0.11,0.51,0.23,0.44,0.55,0.21,0.69,0.33,0.62,0.15,0.69,0.04,0.55,0.68,0.24,0.58,0.36,0.49,0.24,0.3,0.36
0.57,0.66,0.13,0.61,0.19,0.54,0.45,0.3,0.6,0.42,0.53,0.18,0.6,0.06,0.45,0.71,0.21,0.63,0.31,0.55,0.21,0.37,0.31
