ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.59,0.7,0.19,0.88,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.05,0.0,1.0,0.89,0.05,0.0,1.0
0.62,0.7,0.25,0.77,0.11,0.75,0.25,0.51,0.46,0.63,0.35,0.1,0.46,0.02,0.25,0.98,0.01,0.75,0.23,0.98,0.01,0.31,0.23
0.64,0.7,0.28,0.73,0.13,0.7,0.29,0.46,0.46,0.58,0.38,0.23,0.46,0.06,0.29,1.0,0.0,0.81,0.16,1.0,0.0,0.53,0.16
0.64,0.7,0.29,0.69,0.15,0.65,0.34,0.43,0.47,0.54,0.41,0.26,0.47,0.06,0.34,1.0,0.0,0.76,0.21,1.0,0.0,0.42,0.21
0.65,0.69,0.3,0.63,0.17,0.58,0.4,0.36,0.49,0.47,0.45,0.32,0.49,0.06,0.4,0.98,0.02,0.74,0.22,0.95,0.02,0.41,0.22
0.65,0.7,0.29,0.7,0.14,0.65,0.34,0.45,0.43,0.55,0.39,0.33,0.43,0.08,0.34,0.98,0.01,0.77,0.19,0.97,0.01,0.46,0.19
0.66,0.7,0.32,0.66,0.16,0.61,0.38,0.41,0.43,0.51,0.41,0.4,0.43,0.09,0.38,1.0,0.0,0.76,0.2,0.99,0.0,0.44,0.2
0.66,0.7,0.32,0.67,0.15,0.63,0.35,0.43,0.41,0.53,0.38,0.42,0.41,0.11,0.35,0.99,0.01,0.78,0.18,0.98,0.01,0.5,0.18
0.66,0.7,0.32,0.68,0.15,0.64,0.35,0.43,0.4,0.54,0.38,0.42,0.4,0.11,0.35,0.99,0.01,0.79,0.17,0.98,0.01,0.51,0.17
0.66,0.7,0.32,0.67,0.15,0.63,0.35,0.42,0.41,0.53,0.38,0.42,0.41,0.14,0.35,1.0,0.0,0.82,0.14,1.0,0.0,0.6,0.14
0.66,0.7,0.32,0.69,0.14,0.65,0.33,0.46,0.38,0.56,0.35,0.44,0.38,0.13,0.33,0.98,0.01,0.8,0.16,0.96,0.01,0.54,0.16
0.67,0.71,0.33,0.72,0.13,0.69,0.3,0.48,0.37,0.58,0.33,0.45,0.37,0.16,0.3,0.98,0.01,0.84,0.13,0.97,0.01,0.63,0.13
0.67,0.7,0.33,0.72,0.13,0.69,0.29,0.49,0.34,0.59,0.32,0.5,0.34,0.21,0.29,0.97,0.02,0.87,0.1,0.95,0.02,0.72,0.1
0.66,0.7,0.32,0.74,0.11,0.71,0.26,0.53,0.31,0.62,0.29,0.53,0.31,0.25,0.26,0.96,0.02,0.9,0.07,0.93,0.02,0.8,0.07
0.67,0.7,0.33,0.77,0.1,0.75,0.22,0.57,0.26,0.66,0.24,0.61,0.26,0.37,0.22,0.95,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.66,0.69,0.32,0.75,0.11,0.73,0.23,0.55,0.27,0.64,0.25,0.6,0.27,0.37,0.23,0.96,0.03,0.97,0.02,0.92,0.03,0.95,0.02
0.66,0.7,0.32,0.79,0.09,0.77,0.2,0.62,0.22,0.7,0.21,0.65,0.22,0.4,0.2,0.94,0.04,0.98,0.01,0.88,0.04,0.96,0.01
0.66,0.7,0.32,0.8,0.09,0.78,0.19,0.64,0.2,0.71,0.2,0.68,0.2,0.44,0.19,0.93,0.05,0.99,0.01,0.87,0.05,0.97,0.01
0.67,0.71,0.33,0.83,0.07,0.82,0.15,0.69,0.17,0.75,0.16,0.72,0.17,0.49,0.15,0.92,0.05,0.99,0.01,0.85,0.05,0.97,0.01
0.66,0.71,0.32,0.85,0.07,0.83,0.15,0.73,0.15,0.78,0.15,0.74,0.15,0.48,0.15,0.91,0.06,0.99,0.01,0.83,0.06,0.98,0.01
0.67,0.71,0.33,0.84,0.07,0.83,0.15,0.73,0.14,0.78,0.15,0.77,0.14,0.51,0.15,0.91,0.06,1.0,0.0,0.82,0.06,1.0,0.0
0.67,0.71,0.33,0.85,0.06,0.84,0.14,0.77,0.12,0.8,0.13,0.8,0.12,0.53,0.14,0.9,0.07,1.0,0.0,0.8,0.07,1.0,0.0
0.67,0.71,0.34,0.84,0.06,0.83,0.14,0.74,0.13,0.78,0.14,0.79,0.13,0.53,0.14,0.91,0.07,0.99,0.0,0.82,0.07,0.99,0.0
0.67,0.71,0.33,0.85,0.06,0.84,0.14,0.74,0.14,0.79,0.14,0.77,0.14,0.51,0.14,0.91,0.07,1.0,0.0,0.82,0.07,1.0,0.0
0.66,0.71,0.32,0.86,0.06,0.84,0.13,0.77,0.13,0.8,0.13,0.78,0.13,0.51,0.13,0.9,0.07,1.0,0.0,0.81,0.07,0.99,0.0
0.66,0.71,0.32,0.87,0.06,0.86,0.12,0.78,0.12,0.82,0.12,0.78,0.12,0.54,0.12,0.9,0.07,0.99,0.01,0.81,0.07,0.97,0.01
0.66,0.71,0.33,0.87,0.05,0.86,0.12,0.79,0.11,0.82,0.11,0.8,0.11,0.56,0.12,0.9,0.07,0.98,0.01,0.81,0.07,0.96,0.01
0.67,0.71,0.33,0.87,0.05,0.86,0.12,0.8,0.1,0.83,0.11,0.83,0.1,0.59,0.12,0.89,0.08,0.98,0.02,0.8,0.08,0.95,0.02
0.67,0.71,0.33,0.87,0.05,0.87,0.11,0.79,0.11,0.83,0.11,0.81,0.11,0.6,0.11,0.9,0.07,0.96,0.03,0.81,0.07,0.93,0.03
0.67,0.71,0.33,0.87,0.06,0.86,0.12,0.79,0.11,0.82,0.11,0.81,0.11,0.56,0.12,0.9,0.07,0.98,0.01,0.8,0.07,0.97,0.01
0.67,0.71,0.33,0.87,0.05,0.87,0.11,0.78,0.11,0.82,0.11,0.81,0.11,0.59,0.11,0.9,0.07,0.97,0.02,0.81,0.07,0.93,0.02
0.66,0.71,0.33,0.87,0.06,0.84,0.14,0.78,0.12,0.81,0.13,0.77,0.12,0.46,0.14,0.89,0.08,0.97,0.02,0.8,0.08,0.93,0.02
0.67,0.72,0.33,0.85,0.07,0.83,0.15,0.73,0.16,0.78,0.15,0.73,0.16,0.42,0.15,0.91,0.07,0.96,0.03,0.83,0.07,0.91,0.03
0.67,0.71,0.33,0.86,0.06,0.84,0.14,0.76,0.14,0.8,0.14,0.75,0.14,0.47,0.14,0.9,0.07,0.98,0.01,0.82,0.07,0.96,0.01
0.66,0.71,0.32,0.87,0.06,0.84,0.14,0.79,0.12,0.81,0.13,0.78,0.12,0.47,0.14,0.89,0.08,0.97,0.02,0.8,0.08,0.94,0.02
0.67,0.72,0.33,0.86,0.06,0.84,0.14,0.79,0.12,0.81,0.13,0.79,0.12,0.47,0.14,0.89,0.08,0.97,0.02,0.8,0.08,0.93,0.02
0.67,0.72,0.34,0.87,0.06,0.85,0.13,0.79,0.11,0.82,0.12,0.81,0.11,0.51,0.13,0.89,0.08,0.99,0.01,0.8,0.08,0.97,0.01
0.67,0.72,0.34,0.87,0.05,0.85,0.13,0.82,0.1,0.83,0.12,0.83,0.1,0.51,0.13,0.88,0.08,0.98,0.01,0.78,0.08,0.96,0.01
0.67,0.71,0.34,0.87,0.06,0.86,0.12,0.79,0.11,0.82,0.11,0.81,0.11,0.55,0.12,0.9,0.07,0.99,0.01,0.8,0.07,0.98,0.01
0.67,0.71,0.33,0.88,0.05,0.86,0.12,0.82,0.1,0.84,0.11,0.83,0.1,0.54,0.12,0.89,0.08,1.0,0.0,0.79,0.08,1.0,0.0
0.67,0.71,0.33,0.87,0.05,0.85,0.13,0.81,0.1,0.83,0.12,0.82,0.1,0.51,0.13,0.89,0.08,0.98,0.01,0.79,0.08,0.96,0.01
0.67,0.71,0.33,0.87,0.05,0.86,0.13,0.81,0.1,0.83,0.12,0.81,0.1,0.52,0.13,0.89,0.08,0.99,0.01,0.79,0.08,0.97,0.01
0.67,0.71,0.33,0.87,0.05,0.86,0.13,0.8,0.11,0.83,0.12,0.81,0.11,0.52,0.13,0.89,0.08,0.99,0.01,0.79,0.08,0.98,0.01
