ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.79,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.79,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.79,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.79,0.11,0.0,1.0
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.11,0.0,1.0,0.83,0.11
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.11,0.0,1.0,0.83,0.11
0.64,0.65,0.28,0.98,0.01,0.8,0.13,0.8,0.08,0.8,0.11,0.88,0.08,0.72,0.13,1.0,0.0,0.68,0.21,0.99,0.0,0.61,0.21
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.79,0.11,0.0,1.0
0.64,0.66,0.28,0.78,0.09,0.85,0.11,0.51,0.28,0.68,0.2,0.6,0.28,0.72,0.11,0.97,0.02,0.77,0.15,0.95,0.02,0.71,0.15
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.11,0.0,1.0,0.83,0.11
0.49,0.12,0.12,0.82,0.01,0.9,0.01,0.39,0.02,0.65,0.01,0.98,0.02,0.99,0.01,0.88,0.1,0.78,0.11,0.61,0.1,0.81,0.11
0.47,0.02,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.82,0.11
0.52,0.27,0.17,0.29,0.09,0.21,0.18,0.37,0.04,0.29,0.11,0.96,0.04,0.81,0.18,0.97,0.02,0.73,0.15,0.91,0.02,0.75,0.15
0.56,0.44,0.19,0.3,0.17,0.23,0.34,0.23,0.15,0.23,0.24,0.84,0.15,0.62,0.34,0.89,0.08,0.69,0.18,0.72,0.08,0.69,0.18
