ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.56,0.58,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.33,0.0,1.0,0.46,0.33
0.56,0.44,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.67,0.2,0.0,1.0,0.67,0.2
0.51,0.62,-0.03,0.36,0.32,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.67,0.25,0.0,1.0,0.49,0.25,0.0,1.0
0.47,0.03,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.48,0.08,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.82,0.11
0.55,0.59,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.51,0.38,0.0,1.0,0.36,0.38
0.57,0.45,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.66,0.21,0.0,1.0,0.66,0.21
0.53,0.63,0.02,0.36,0.31,0.29,0.7,0.12,0.83,0.2,0.76,0.06,0.83,0.02,0.7,0.65,0.28,0.55,0.38,0.42,0.28,0.31,0.38
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.63,0.58,0.29,0.46,0.16,0.38,0.37,0.22,0.2,0.3,0.29,0.79,0.2,0.52,0.37,0.82,0.16,0.69,0.2,0.47,0.16,0.64,0.2
0.65,0.62,0.32,0.83,0.05,0.75,0.14,0.62,0.09,0.69,0.12,0.89,0.09,0.75,0.14,0.87,0.1,0.78,0.14,0.64,0.1,0.72,0.14
0.61,0.72,0.26,0.94,0.03,0.95,0.05,0.82,0.16,0.89,0.11,0.38,0.16,0.23,0.05,0.9,0.06,0.98,0.02,0.86,0.06,0.9,0.02
0.62,0.63,0.24,0.24,0.3,0.17,0.68,0.09,0.43,0.13,0.56,0.55,0.43,0.2,0.68,0.77,0.2,0.57,0.32,0.45,0.2,0.43,0.32
0.61,0.72,0.26,0.98,0.01,0.99,0.01,0.96,0.03,0.97,0.02,0.88,0.03,0.86,0.01,0.87,0.09,0.92,0.06,0.8,0.09,0.75,0.06
0.61,0.55,0.27,0.61,0.1,0.54,0.23,0.32,0.15,0.43,0.19,0.84,0.15,0.68,0.23,0.83,0.15,0.75,0.15,0.49,0.15,0.72,0.15
0.6,0.55,0.22,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.59,0.28,0.0,1.0,0.54,0.28
0.6,0.59,0.21,0.04,0.36,0.04,0.75,0.0,1.0,0.02,0.88,0.0,1.0,0.22,0.75,0.0,1.0,0.56,0.31,0.0,1.0,0.47,0.31
0.6,0.6,0.21,0.03,0.39,0.02,0.82,0.0,1.0,0.01,0.91,0.0,1.0,0.16,0.82,0.0,1.0,0.53,0.36,0.0,1.0,0.39,0.36
0.6,0.52,0.23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.61,0.26,0.0,1.0,0.57,0.26
0.58,0.6,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.52,0.37,0.0,1.0,0.39,0.37
0.6,0.59,0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.54,0.34,0.0,1.0,0.43,0.34
0.56,0.6,0.11,0.01,0.44,0.01,0.91,0.0,1.0,0.01,0.96,0.0,1.0,0.09,0.91,0.0,1.0,0.51,0.39,0.0,1.0,0.35,0.39
0.52,0.59,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.47,0.44,0.0,1.0,0.26,0.44
0.6,0.55,0.23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.59,0.28,0.0,1.0,0.54,0.28
0.65,0.69,0.3,0.61,0.16,0.53,0.4,0.28,0.38,0.41,0.39,0.56,0.37,0.26,0.4,0.76,0.2,0.67,0.26,0.47,0.2,0.48,0.26
0.62,0.65,0.23,0.33,0.28,0.25,0.65,0.11,0.48,0.18,0.56,0.48,0.48,0.17,0.65,0.73,0.22,0.57,0.33,0.41,0.22,0.41,0.33
0.54,0.6,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.47,0.46,0.0,1.0,0.24,0.46
0.57,0.71,0.18,0.94,0.03,0.95,0.05,0.76,0.22,0.85,0.14,0.19,0.22,0.12,0.05,0.78,0.15,0.87,0.12,0.7,0.15,0.5,0.12
0.58,0.7,0.16,0.78,0.11,0.75,0.24,0.46,0.49,0.6,0.36,0.15,0.49,0.06,0.24,0.72,0.2,0.71,0.25,0.57,0.2,0.38,0.25
