ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.62,0.73,0.23,0.87,0.06,0.87,0.13,0.67,0.32,0.77,0.23,0.09,0.32,0.03,0.13,0.95,0.03,0.84,0.13,0.92,0.03,0.56,0.13
0.64,0.72,0.27,0.76,0.12,0.71,0.28,0.52,0.39,0.61,0.34,0.3,0.39,0.08,0.28,0.97,0.02,0.78,0.18,0.94,0.02,0.53,0.18
0.64,0.7,0.26,0.72,0.13,0.67,0.31,0.48,0.41,0.57,0.36,0.35,0.41,0.17,0.31,0.98,0.01,0.88,0.08,0.96,0.01,0.8,0.08
0.63,0.69,0.25,0.69,0.14,0.63,0.35,0.46,0.42,0.55,0.39,0.36,0.42,0.16,0.35,0.97,0.02,0.86,0.09,0.95,0.02,0.78,0.09
0.63,0.67,0.24,0.68,0.15,0.6,0.36,0.47,0.38,0.53,0.37,0.44,0.38,0.22,0.36,0.95,0.03,0.89,0.07,0.91,0.03,0.84,0.07
