ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.59,0.71,0.18,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.63,0.72,0.27,0.8,0.1,0.79,0.21,0.55,0.42,0.67,0.32,0.14,0.42,0.02,0.21,0.96,0.02,0.75,0.23,0.94,0.02,0.27,0.23
0.66,0.71,0.31,0.7,0.14,0.68,0.31,0.42,0.47,0.55,0.39,0.29,0.47,0.11,0.31,0.99,0.01,0.86,0.1,0.98,0.01,0.7,0.1
0.66,0.71,0.32,0.7,0.14,0.67,0.31,0.43,0.42,0.55,0.36,0.38,0.42,0.15,0.31,1.0,0.0,0.87,0.1,1.0,0.0,0.72,0.1
0.67,0.71,0.32,0.7,0.14,0.69,0.29,0.43,0.41,0.56,0.35,0.4,0.41,0.2,0.29,1.0,0.0,0.93,0.05,0.99,0.0,0.86,0.05
0.67,0.7,0.32,0.69,0.14,0.68,0.3,0.43,0.41,0.56,0.35,0.41,0.41,0.21,0.3,1.0,0.0,0.93,0.05,1.0,0.0,0.85,0.05
0.67,0.7,0.33,0.68,0.14,0.66,0.31,0.42,0.41,0.54,0.36,0.43,0.41,0.21,0.31,1.0,0.0,0.92,0.06,0.99,0.0,0.84,0.06
0.67,0.71,0.33,0.72,0.13,0.7,0.27,0.48,0.35,0.59,0.31,0.48,0.35,0.24,0.27,0.98,0.01,0.93,0.05,0.96,0.01,0.85,0.05
0.68,0.71,0.35,0.74,0.12,0.72,0.25,0.51,0.3,0.61,0.28,0.56,0.3,0.28,0.25,0.96,0.03,0.93,0.05,0.92,0.03,0.85,0.05
0.68,0.72,0.36,0.75,0.11,0.75,0.23,0.52,0.3,0.64,0.27,0.56,0.3,0.3,0.23,0.97,0.02,0.95,0.04,0.94,0.02,0.89,0.04
0.68,0.72,0.35,0.77,0.1,0.76,0.21,0.55,0.28,0.66,0.24,0.59,0.28,0.34,0.21,0.96,0.03,0.97,0.02,0.92,0.03,0.94,0.02
0.67,0.71,0.34,0.8,0.09,0.79,0.18,0.64,0.2,0.72,0.19,0.69,0.2,0.45,0.18,0.93,0.05,0.99,0.01,0.85,0.05,0.98,0.01
0.68,0.71,0.36,0.77,0.1,0.76,0.2,0.57,0.23,0.67,0.22,0.68,0.23,0.42,0.2,0.95,0.04,0.99,0.0,0.89,0.04,0.99,0.0
0.67,0.71,0.34,0.79,0.09,0.77,0.2,0.63,0.2,0.7,0.2,0.7,0.2,0.42,0.2,0.92,0.05,0.98,0.01,0.84,0.05,0.96,0.01
0.68,0.71,0.36,0.77,0.1,0.76,0.2,0.6,0.21,0.68,0.21,0.69,0.21,0.41,0.2,0.94,0.04,0.98,0.01,0.86,0.04,0.96,0.01
0.67,0.71,0.34,0.78,0.09,0.77,0.2,0.59,0.23,0.68,0.22,0.66,0.23,0.42,0.2,0.94,0.04,1.0,0.0,0.87,0.04,1.0,0.0
0.67,0.71,0.33,0.8,0.09,0.79,0.18,0.62,0.21,0.71,0.2,0.67,0.21,0.44,0.18,0.93,0.05,0.99,0.01,0.86,0.05,0.98,0.01
0.67,0.71,0.33,0.78,0.09,0.78,0.19,0.59,0.24,0.69,0.21,0.64,0.24,0.43,0.19,0.95,0.04,0.98,0.01,0.89,0.04,0.96,0.01
0.67,0.71,0.34,0.8,0.09,0.79,0.18,0.62,0.22,0.71,0.2,0.67,0.22,0.46,0.18,0.94,0.04,0.97,0.02,0.87,0.04,0.95,0.02
0.67,0.71,0.34,0.8,0.09,0.78,0.18,0.64,0.19,0.71,0.18,0.71,0.19,0.45,0.18,0.92,0.06,1.0,0.0,0.84,0.06,1.0,0.0
0.68,0.71,0.35,0.8,0.09,0.78,0.19,0.65,0.18,0.72,0.18,0.72,0.18,0.44,0.19,0.92,0.06,0.98,0.01,0.83,0.06,0.97,0.01
0.67,0.7,0.34,0.79,0.09,0.77,0.19,0.63,0.2,0.7,0.2,0.71,0.2,0.46,0.19,0.92,0.05,0.99,0.0,0.84,0.05,0.99,0.0
0.67,0.71,0.34,0.8,0.08,0.79,0.18,0.66,0.18,0.73,0.18,0.72,0.18,0.46,0.18,0.92,0.06,1.0,0.0,0.83,0.06,1.0,0.0
0.68,0.71,0.34,0.81,0.08,0.79,0.17,0.66,0.18,0.73,0.17,0.72,0.18,0.47,0.17,0.92,0.06,0.99,0.0,0.83,0.06,0.99,0.0
0.67,0.71,0.34,0.8,0.08,0.79,0.17,0.65,0.18,0.72,0.17,0.72,0.18,0.49,0.17,0.92,0.05,0.98,0.01,0.84,0.05,0.96,0.01
0.67,0.71,0.34,0.79,0.09,0.78,0.19,0.62,0.2,0.7,0.2,0.7,0.2,0.45,0.19,0.93,0.05,1.0,0.0,0.85,0.05,0.99,0.0
0.67,0.71,0.34,0.8,0.09,0.79,0.18,0.64,0.19,0.72,0.18,0.71,0.19,0.46,0.18,0.92,0.05,1.0,0.0,0.84,0.05,0.99,0.0
0.67,0.71,0.34,0.81,0.08,0.8,0.17,0.65,0.19,0.73,0.18,0.71,0.19,0.47,0.17,0.92,0.06,0.99,0.01,0.84,0.06,0.98,0.01
0.67,0.71,0.34,0.8,0.09,0.79,0.18,0.64,0.2,0.72,0.19,0.69,0.2,0.45,0.18,0.93,0.05,0.99,0.0,0.85,0.05,0.99,0.0
