ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.56,0.71,0.14,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.12,0.0,1.0,0.75,0.12,0.0,1.0
0.5,0.15,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.1,0.0,1.0,0.84,0.1
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.6,0.72,0.22,0.93,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.09,0.0,1.0,0.8,0.09,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.67,0.67,0.35,0.56,0.19,0.57,0.36,0.27,0.42,0.42,0.39,0.51,0.42,0.32,0.36,0.95,0.04,0.96,0.03,0.87,0.04,0.93,0.03
0.66,0.73,0.31,0.72,0.14,0.0,1.0,0.39,0.6,0.2,0.8,0.01,0.6,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.49,0.12,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.58,0.72,0.21,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.78,0.1,0.0,1.0
0.65,0.72,0.3,0.71,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.58,0.46,0.25,0.14,0.32,0.14,0.58,0.03,0.4,0.09,0.49,0.6,0.4,0.35,0.58,0.84,0.14,0.98,0.01,0.45,0.14,0.98,0.01
0.49,0.12,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.11,0.0,1.0,0.82,0.11
0.64,0.63,0.3,0.33,0.31,0.32,0.64,0.08,0.71,0.2,0.68,0.24,0.71,0.08,0.64,0.83,0.14,0.83,0.12,0.56,0.14,0.71,0.12
0.67,0.69,0.33,0.52,0.23,0.53,0.46,0.2,0.71,0.36,0.58,0.15,0.71,0.05,0.46,0.88,0.09,0.87,0.1,0.75,0.09,0.74,0.1
0.58,0.46,0.22,0.06,0.38,0.06,0.73,0.01,0.5,0.03,0.61,0.5,0.5,0.24,0.73,0.81,0.17,0.92,0.04,0.38,0.17,0.91,0.04
0.62,0.73,0.27,0.88,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.59,0.51,0.25,0.09,0.39,0.09,0.78,0.02,0.56,0.06,0.67,0.43,0.56,0.16,0.78,0.81,0.16,0.83,0.11,0.42,0.16,0.77,0.11
0.53,0.3,0.19,0.0,0.27,0.01,0.45,0.0,1.0,0.01,0.72,0.0,1.0,0.54,0.45,0.0,1.0,0.91,0.05,0.0,1.0,0.91,0.05
0.48,0.09,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.81,0.11
0.57,0.44,0.23,0.1,0.33,0.1,0.61,0.02,0.39,0.06,0.5,0.6,0.39,0.34,0.61,0.86,0.12,1.0,0.0,0.52,0.12,1.0,0.0
0.56,0.39,0.21,0.02,0.34,0.02,0.62,0.0,1.0,0.01,0.81,0.0,1.0,0.37,0.62,0.0,1.0,0.98,0.01,0.0,1.0,0.98,0.01
0.54,0.32,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.04,0.0,1.0,0.92,0.04
0.63,0.63,0.27,0.3,0.34,0.3,0.69,0.06,0.87,0.18,0.78,0.07,0.87,0.02,0.69,0.77,0.19,0.79,0.16,0.47,0.19,0.63,0.16
0.66,0.72,0.3,0.69,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.94,0.02,0.0,1.0
0.61,0.73,0.25,0.91,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.57,0.71,0.18,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.12,0.0,1.0,0.76,0.12,0.0,1.0
0.65,0.72,0.29,0.75,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99,0.01,0.0,1.0,0.98,0.01,0.0,1.0
0.67,0.7,0.33,0.52,0.24,0.53,0.47,0.18,0.77,0.35,0.62,0.08,0.77,0.03,0.47,0.86,0.11,0.9,0.07,0.7,0.11,0.79,0.07
0.63,0.73,0.28,0.85,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.93,0.04,0.0,1.0,0.89,0.04,0.0,1.0
0.67,0.73,0.33,0.72,0.14,0.73,0.26,0.39,0.57,0.56,0.41,0.11,0.57,0.07,0.26,0.98,0.01,0.98,0.01,0.96,0.01,0.96,0.01
0.54,0.29,0.21,0.13,0.19,0.14,0.31,0.06,0.12,0.1,0.21,0.88,0.12,0.67,0.31,0.95,0.04,0.86,0.07,0.76,0.04,0.87,0.07
