ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.54,0.7,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.05,0.0,1.0,0.89,0.05,0.0,1.0
0.59,0.71,0.22,0.91,0.05,0.91,0.09,0.75,0.24,0.83,0.16,0.14,0.24,0.05,0.09,0.98,0.01,0.85,0.13,0.97,0.01,0.49,0.13
0.6,0.71,0.22,0.9,0.05,0.91,0.09,0.75,0.24,0.83,0.16,0.2,0.24,0.09,0.09,0.98,0.01,0.88,0.1,0.97,0.01,0.63,0.1
0.6,0.71,0.23,0.9,0.05,0.91,0.09,0.74,0.24,0.82,0.16,0.21,0.24,0.09,0.09,0.98,0.01,0.88,0.1,0.97,0.01,0.6,0.1
0.6,0.71,0.22,0.9,0.05,0.9,0.1,0.75,0.23,0.82,0.17,0.21,0.23,0.08,0.1,0.97,0.02,0.86,0.12,0.96,0.02,0.57,0.12
0.6,0.71,0.23,0.9,0.05,0.9,0.1,0.73,0.25,0.81,0.17,0.2,0.25,0.08,0.1,0.98,0.01,0.87,0.11,0.98,0.01,0.59,0.11
0.61,0.71,0.23,0.9,0.05,0.9,0.09,0.74,0.24,0.82,0.16,0.28,0.24,0.19,0.09,0.98,0.01,0.96,0.03,0.97,0.01,0.89,0.03
0.61,0.71,0.24,0.89,0.05,0.89,0.11,0.72,0.25,0.8,0.18,0.33,0.25,0.22,0.11,0.99,0.01,0.96,0.03,0.98,0.01,0.89,0.03
0.61,0.71,0.25,0.88,0.06,0.88,0.12,0.72,0.24,0.8,0.18,0.35,0.24,0.21,0.12,0.98,0.01,0.93,0.05,0.97,0.01,0.81,0.05
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.71,0.25,0.79,0.18,0.38,0.25,0.23,0.12,0.99,0.01,0.93,0.05,0.98,0.01,0.81,0.05
0.63,0.71,0.27,0.88,0.06,0.88,0.12,0.7,0.25,0.79,0.18,0.4,0.25,0.27,0.12,0.99,0.01,0.96,0.03,0.99,0.01,0.9,0.03
0.63,0.71,0.27,0.88,0.06,0.88,0.12,0.71,0.24,0.79,0.18,0.42,0.24,0.27,0.12,0.99,0.01,0.95,0.03,0.98,0.01,0.88,0.03
0.63,0.71,0.27,0.88,0.06,0.88,0.12,0.71,0.24,0.79,0.18,0.42,0.24,0.27,0.12,0.99,0.01,0.95,0.04,0.98,0.01,0.88,0.04
0.63,0.71,0.27,0.88,0.06,0.88,0.12,0.71,0.24,0.79,0.18,0.42,0.24,0.27,0.12,0.99,0.01,0.95,0.04,0.98,0.01,0.88,0.04
0.63,0.71,0.27,0.88,0.06,0.88,0.12,0.71,0.24,0.79,0.18,0.42,0.24,0.27,0.12,0.99,0.01,0.95,0.04,0.98,0.01,0.88,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.71,0.24,0.79,0.18,0.42,0.24,0.27,0.12,0.98,0.01,0.95,0.04,0.98,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
0.62,0.71,0.26,0.88,0.06,0.88,0.12,0.72,0.23,0.8,0.17,0.42,0.23,0.27,0.12,0.98,0.01,0.95,0.04,0.97,0.01,0.87,0.04
