ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.54,0.27,0.18,0.1,0.2,0.12,0.33,0.0,1.0,0.06,0.67,0.0,1.0,0.65,0.33,0.0,1.0,0.99,0.0,0.0,1.0,0.99,0.0
0.51,0.16,0.15,0.09,0.12,0.11,0.19,0.0,1.0,0.06,0.59,0.0,1.0,0.81,0.19,0.0,1.0,0.95,0.03,0.0,1.0,0.95,0.03
0.52,0.21,0.17,0.11,0.15,0.14,0.24,0.0,1.0,0.07,0.62,0.0,1.0,0.75,0.24,0.0,1.0,0.97,0.01,0.0,1.0,0.97,0.01
0.6,0.5,0.25,0.3,0.26,0.27,0.53,0.14,0.33,0.21,0.43,0.65,0.33,0.35,0.53,0.91,0.07,0.85,0.09,0.76,0.07,0.8,0.09
0.62,0.58,0.25,0.39,0.26,0.35,0.57,0.17,0.51,0.26,0.54,0.43,0.51,0.19,0.57,0.87,0.1,0.8,0.14,0.72,0.1,0.69,0.14
0.63,0.63,0.27,0.5,0.23,0.46,0.49,0.22,0.57,0.34,0.53,0.32,0.57,0.14,0.49,0.85,0.11,0.82,0.13,0.72,0.11,0.68,0.13
0.63,0.63,0.26,0.51,0.23,0.47,0.49,0.23,0.57,0.35,0.53,0.31,0.57,0.14,0.49,0.86,0.1,0.82,0.13,0.73,0.1,0.69,0.13
0.64,0.66,0.28,0.59,0.19,0.55,0.42,0.31,0.5,0.43,0.46,0.35,0.5,0.14,0.42,0.9,0.07,0.81,0.14,0.8,0.07,0.64,0.14
0.65,0.64,0.3,0.53,0.21,0.5,0.44,0.25,0.48,0.38,0.46,0.43,0.48,0.21,0.44,0.87,0.1,0.85,0.11,0.72,0.1,0.74,0.11
0.65,0.64,0.3,0.49,0.23,0.46,0.49,0.21,0.51,0.34,0.5,0.41,0.51,0.16,0.49,0.86,0.11,0.79,0.16,0.69,0.11,0.62,0.16
0.65,0.65,0.3,0.55,0.2,0.51,0.44,0.26,0.5,0.39,0.47,0.39,0.5,0.17,0.44,0.87,0.09,0.82,0.13,0.74,0.09,0.68,0.13
0.65,0.68,0.29,0.63,0.17,0.61,0.37,0.33,0.52,0.47,0.45,0.3,0.52,0.14,0.37,0.88,0.08,0.85,0.11,0.79,0.08,0.71,0.11
0.65,0.67,0.29,0.62,0.17,0.58,0.39,0.33,0.48,0.45,0.43,0.36,0.48,0.15,0.39,0.9,0.07,0.82,0.13,0.81,0.07,0.65,0.13
0.66,0.68,0.31,0.62,0.17,0.59,0.38,0.33,0.46,0.46,0.42,0.4,0.46,0.15,0.38,0.9,0.07,0.81,0.15,0.8,0.07,0.62,0.15
0.66,0.69,0.31,0.68,0.15,0.65,0.33,0.4,0.44,0.53,0.39,0.37,0.44,0.16,0.33,0.92,0.06,0.84,0.13,0.85,0.06,0.65,0.13
0.66,0.67,0.32,0.62,0.17,0.59,0.37,0.33,0.43,0.46,0.4,0.45,0.43,0.21,0.37,0.9,0.07,0.85,0.11,0.8,0.07,0.72,0.11
0.67,0.67,0.34,0.69,0.12,0.65,0.29,0.48,0.25,0.56,0.27,0.68,0.25,0.37,0.29,0.98,0.01,0.89,0.08,0.95,0.01,0.79,0.08
0.67,0.67,0.35,0.64,0.15,0.61,0.33,0.38,0.31,0.49,0.32,0.62,0.31,0.32,0.33,0.94,0.04,0.87,0.09,0.86,0.04,0.76,0.09
0.65,0.59,0.33,0.48,0.19,0.49,0.38,0.18,0.33,0.33,0.35,0.64,0.33,0.41,0.38,0.84,0.13,0.93,0.04,0.56,0.13,0.89,0.04
0.66,0.61,0.35,0.42,0.23,0.42,0.47,0.12,0.39,0.27,0.43,0.59,0.39,0.3,0.47,0.81,0.17,0.85,0.1,0.44,0.17,0.76,0.1
0.6,0.47,0.26,0.31,0.22,0.31,0.42,0.1,0.28,0.21,0.35,0.71,0.28,0.48,0.42,0.84,0.14,0.94,0.04,0.5,0.14,0.92,0.04
0.53,0.24,0.2,0.33,0.1,0.39,0.14,0.09,0.08,0.24,0.11,0.92,0.08,0.84,0.14,0.84,0.15,0.92,0.04,0.33,0.15,0.93,0.04
0.56,0.33,0.24,0.66,0.05,0.8,0.05,0.26,0.06,0.53,0.06,0.93,0.06,0.94,0.05,0.87,0.12,0.88,0.06,0.47,0.12,0.88,0.06
0.64,0.58,0.32,0.67,0.1,0.67,0.2,0.45,0.15,0.56,0.17,0.83,0.15,0.67,0.2,0.96,0.03,0.99,0.01,0.89,0.03,0.98,0.01
0.66,0.63,0.33,0.7,0.1,0.71,0.2,0.47,0.18,0.59,0.19,0.78,0.18,0.63,0.2,0.96,0.03,0.99,0.01,0.89,0.03,0.98,0.01
0.68,0.72,0.36,0.86,0.06,0.85,0.13,0.72,0.15,0.78,0.14,0.76,0.15,0.54,0.13,0.98,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.67,0.72,0.34,0.93,0.03,0.92,0.07,0.89,0.06,0.91,0.07,0.89,0.06,0.69,0.07,0.93,0.05,1.0,0.0,0.87,0.05,0.99,0.0
0.65,0.71,0.31,0.99,0.0,1.0,0.0,0.88,0.07,0.94,0.04,0.87,0.07,1.0,0.0,0.88,0.08,0.97,0.02,0.79,0.08,0.93,0.02
0.65,0.72,0.31,0.99,0.0,0.99,0.01,0.91,0.05,0.95,0.03,0.89,0.05,0.97,0.01,0.89,0.08,0.95,0.03,0.81,0.08,0.89,0.03
0.66,0.72,0.32,0.85,0.07,0.85,0.15,0.67,0.24,0.76,0.2,0.53,0.24,0.3,0.15,1.0,0.0,0.92,0.07,1.0,0.0,0.78,0.07
0.66,0.72,0.32,0.8,0.1,0.79,0.2,0.54,0.37,0.67,0.29,0.34,0.37,0.11,0.2,0.95,0.03,0.83,0.14,0.92,0.03,0.52,0.14
0.66,0.7,0.31,0.66,0.16,0.65,0.34,0.34,0.56,0.49,0.45,0.21,0.56,0.06,0.34,0.87,0.09,0.78,0.18,0.77,0.09,0.47,0.18
0.65,0.66,0.31,0.49,0.24,0.48,0.5,0.16,0.66,0.32,0.58,0.24,0.66,0.07,0.5,0.79,0.17,0.76,0.19,0.56,0.17,0.5,0.19
0.63,0.61,0.27,0.34,0.31,0.33,0.65,0.08,0.72,0.21,0.69,0.24,0.72,0.06,0.65,0.73,0.23,0.7,0.24,0.4,0.23,0.44,0.24
0.58,0.5,0.21,0.13,0.39,0.12,0.81,0.02,0.65,0.07,0.73,0.34,0.65,0.09,0.81,0.72,0.25,0.68,0.25,0.28,0.25,0.49,0.25
0.58,0.51,0.2,0.13,0.4,0.13,0.84,0.01,0.74,0.07,0.79,0.25,0.74,0.05,0.84,0.67,0.3,0.64,0.29,0.19,0.3,0.4,0.29
0.59,0.57,0.2,0.27,0.36,0.25,0.74,0.06,0.85,0.15,0.79,0.1,0.85,0.02,0.74,0.71,0.24,0.69,0.25,0.43,0.24,0.44,0.25
0.58,0.53,0.17,0.19,0.39,0.17,0.81,0.04,0.83,0.11,0.82,0.14,0.83,0.03,0.81,0.72,0.23,0.64,0.29,0.43,0.23,0.38,0.29
0.6,0.57,0.21,0.28,0.35,0.25,0.73,0.06,0.82,0.15,0.77,0.13,0.82,0.03,0.73,0.73,0.22,0.67,0.26,0.44,0.22,0.41,0.26
0.6,0.58,0.22,0.3,0.34,0.28,0.71,0.07,0.83,0.18,0.77,0.12,0.83,0.03,0.71,0.72,0.23,0.7,0.24,0.42,0.23,0.45,0.24
0.6,0.56,0.22,0.24,0.36,0.22,0.76,0.05,0.78,0.14,0.77,0.19,0.78,0.03,0.76,0.72,0.24,0.63,0.32,0.39,0.24,0.3,0.32
0.63,0.63,0.27,0.39,0.29,0.38,0.61,0.11,0.73,0.24,0.67,0.2,0.73,0.04,0.61,0.75,0.2,0.7,0.26,0.48,0.2,0.39,0.26
0.66,0.69,0.31,0.61,0.19,0.59,0.41,0.29,0.59,0.44,0.5,0.23,0.59,0.05,0.41,0.85,0.1,0.74,0.23,0.73,0.1,0.38,0.23
0.65,0.72,0.32,0.8,0.1,0.81,0.18,0.53,0.4,0.67,0.29,0.26,0.4,0.11,0.18,0.93,0.04,0.87,0.11,0.89,0.04,0.6,0.11
0.65,0.72,0.31,0.8,0.1,0.82,0.18,0.53,0.42,0.68,0.3,0.22,0.42,0.11,0.18,0.93,0.05,0.9,0.08,0.89,0.05,0.7,0.08
