ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.67,0.19,0.95,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.27,0.0,1.0,0.58,0.27,0.0,1.0
0.72,0.76,0.5,0.69,0.15,0.88,0.12,0.38,0.5,0.63,0.31,0.28,0.5,0.11,0.12,0.86,0.09,0.97,0.03,0.78,0.09,0.77,0.03
0.77,0.7,0.57,0.51,0.15,0.73,0.17,0.49,0.04,0.61,0.11,0.96,0.04,0.68,0.17,0.92,0.07,0.76,0.19,0.48,0.07,0.54,0.19
0.72,0.61,0.49,0.1,0.28,0.13,0.58,0.08,0.09,0.11,0.33,0.91,0.09,0.37,0.58,0.91,0.08,0.89,0.07,0.49,0.08,0.81,0.07
0.77,0.72,0.56,0.35,0.22,0.48,0.38,0.16,0.13,0.32,0.26,0.87,0.13,0.41,0.38,0.98,0.01,0.87,0.1,0.88,0.01,0.71,0.1
0.79,0.75,0.61,0.59,0.13,0.89,0.07,0.51,0.04,0.7,0.06,0.95,0.04,0.82,0.07,0.93,0.06,0.75,0.21,0.55,0.06,0.46,0.21
0.8,0.77,0.62,0.76,0.07,0.85,0.11,0.91,0.01,0.88,0.06,0.99,0.01,0.69,0.11,0.9,0.09,0.68,0.28,0.42,0.09,0.3,0.28
0.82,0.79,0.64,0.69,0.1,0.95,0.03,0.55,0.06,0.75,0.04,0.94,0.06,0.89,0.03,0.93,0.06,0.72,0.24,0.61,0.06,0.34,0.24
0.81,0.78,0.63,0.75,0.08,0.87,0.1,0.85,0.01,0.86,0.06,0.99,0.01,0.71,0.1,0.9,0.1,0.69,0.27,0.44,0.1,0.3,0.27
0.82,0.82,0.64,0.54,0.2,0.83,0.16,0.16,0.41,0.49,0.28,0.56,0.41,0.33,0.16,0.92,0.06,0.89,0.09,0.73,0.06,0.55,0.09
0.82,0.8,0.63,0.69,0.11,0.99,0.0,0.51,0.11,0.75,0.06,0.88,0.11,0.98,0.0,0.91,0.08,0.76,0.22,0.64,0.08,0.34,0.22
0.82,0.79,0.64,0.69,0.1,0.94,0.04,0.53,0.07,0.73,0.06,0.93,0.07,0.85,0.04,0.93,0.06,0.72,0.25,0.63,0.06,0.32,0.25
0.82,0.82,0.65,0.62,0.15,0.9,0.09,0.31,0.23,0.6,0.16,0.75,0.23,0.6,0.09,0.97,0.03,0.84,0.14,0.87,0.03,0.44,0.14
0.8,0.81,0.61,0.55,0.2,0.82,0.17,0.18,0.51,0.5,0.34,0.43,0.51,0.2,0.17,0.93,0.05,0.94,0.05,0.81,0.05,0.68,0.05
0.8,0.78,0.6,0.38,0.25,0.54,0.4,0.1,0.31,0.32,0.35,0.68,0.31,0.25,0.4,0.92,0.07,0.95,0.04,0.65,0.07,0.85,0.04
0.81,0.79,0.62,0.47,0.2,0.69,0.26,0.15,0.23,0.42,0.24,0.76,0.23,0.4,0.26,0.96,0.04,0.87,0.1,0.78,0.04,0.64,0.1
0.8,0.78,0.61,0.45,0.21,0.67,0.27,0.15,0.21,0.41,0.24,0.78,0.21,0.42,0.27,0.96,0.03,0.86,0.11,0.8,0.03,0.63,0.11
0.83,0.82,0.66,0.58,0.17,0.88,0.11,0.24,0.25,0.56,0.18,0.73,0.25,0.56,0.11,0.99,0.01,0.84,0.14,0.93,0.01,0.45,0.14
0.8,0.79,0.61,0.4,0.25,0.58,0.37,0.1,0.33,0.34,0.35,0.66,0.33,0.24,0.37,0.91,0.07,0.95,0.04,0.62,0.07,0.85,0.04
0.8,0.81,0.61,0.47,0.24,0.72,0.27,0.1,0.53,0.41,0.4,0.44,0.53,0.16,0.27,0.86,0.11,0.97,0.03,0.57,0.11,0.84,0.03
0.83,0.82,0.66,0.58,0.16,0.88,0.1,0.25,0.22,0.56,0.16,0.77,0.22,0.62,0.1,0.99,0.01,0.82,0.16,0.96,0.01,0.44,0.16
0.82,0.8,0.65,0.62,0.14,0.95,0.04,0.32,0.14,0.64,0.09,0.85,0.14,0.86,0.04,0.98,0.02,0.77,0.2,0.88,0.02,0.38,0.2
0.8,0.81,0.61,0.58,0.19,0.84,0.15,0.22,0.45,0.53,0.3,0.48,0.45,0.26,0.15,0.97,0.02,0.92,0.07,0.92,0.02,0.6,0.07
0.82,0.82,0.64,0.64,0.14,0.92,0.07,0.36,0.2,0.64,0.14,0.77,0.2,0.69,0.07,0.95,0.04,0.82,0.16,0.8,0.04,0.4,0.16
0.82,0.8,0.63,0.7,0.11,0.98,0.01,0.54,0.09,0.76,0.05,0.9,0.09,0.95,0.01,0.9,0.08,0.75,0.22,0.61,0.08,0.33,0.22
0.83,0.82,0.65,0.62,0.15,0.91,0.07,0.31,0.2,0.61,0.14,0.78,0.2,0.69,0.07,0.98,0.02,0.81,0.16,0.9,0.02,0.41,0.16
0.82,0.8,0.64,0.6,0.15,0.9,0.08,0.29,0.16,0.59,0.12,0.83,0.16,0.73,0.08,0.99,0.01,0.79,0.18,0.93,0.01,0.42,0.18
0.82,0.82,0.64,0.57,0.18,0.84,0.15,0.22,0.36,0.53,0.26,0.6,0.36,0.36,0.15,0.97,0.02,0.89,0.09,0.9,0.02,0.55,0.09
0.78,0.8,0.58,0.66,0.15,0.88,0.11,0.36,0.37,0.62,0.24,0.53,0.37,0.32,0.11,0.91,0.07,0.91,0.08,0.8,0.07,0.54,0.08
