ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.48,0.65,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.54,0.29,0.0,1.0,0.56,0.29,0.0,1.0
0.79,0.74,0.58,0.87,0.04,0.75,0.19,0.8,0.02,0.78,0.1,0.98,0.02,0.54,0.19,0.87,0.12,0.64,0.32,0.37,0.12,0.26,0.32
0.79,0.79,0.58,0.82,0.07,0.94,0.05,0.96,0.01,0.95,0.03,0.99,0.01,0.74,0.05,0.77,0.19,0.76,0.22,0.43,0.19,0.29,0.22
0.81,0.79,0.63,0.77,0.07,0.88,0.09,0.87,0.02,0.88,0.06,0.98,0.02,0.69,0.09,0.87,0.12,0.71,0.26,0.45,0.12,0.29,0.26
0.77,0.78,0.55,0.83,0.07,0.99,0.0,0.86,0.05,0.93,0.03,0.93,0.05,0.96,0.0,0.73,0.22,0.82,0.17,0.48,0.22,0.33,0.17
0.81,0.79,0.61,0.77,0.08,0.93,0.05,0.78,0.04,0.85,0.04,0.95,0.04,0.77,0.05,0.84,0.14,0.74,0.23,0.49,0.14,0.3,0.23
0.8,0.8,0.61,0.77,0.08,0.96,0.03,0.77,0.05,0.86,0.04,0.93,0.05,0.83,0.03,0.82,0.15,0.76,0.22,0.5,0.15,0.31,0.22
0.81,0.79,0.63,0.76,0.08,0.88,0.09,0.76,0.03,0.82,0.06,0.97,0.03,0.7,0.09,0.89,0.1,0.71,0.26,0.5,0.1,0.29,0.26
0.81,0.8,0.63,0.76,0.08,0.92,0.06,0.73,0.05,0.82,0.06,0.95,0.05,0.75,0.06,0.87,0.11,0.73,0.24,0.52,0.11,0.29,0.24
0.77,0.79,0.56,0.82,0.08,1.0,0.0,0.82,0.07,0.91,0.04,0.9,0.07,0.98,0.0,0.74,0.21,0.82,0.16,0.5,0.21,0.32,0.16
