ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.68,0.26,0.99,0.0,0.99,0.01,0.92,0.07,0.96,0.04,0.69,0.07,0.47,0.01,0.53,0.32,0.9,0.09,0.51,0.32,0.21,0.09
0.68,0.53,0.42,0.98,0.0,0.61,0.2,0.53,0.02,0.57,0.11,0.98,0.02,0.71,0.2,0.87,0.12,0.57,0.34,0.29,0.12,0.37,0.34
0.8,0.76,0.61,0.75,0.07,0.86,0.1,0.88,0.01,0.87,0.06,0.99,0.01,0.72,0.1,0.89,0.1,0.68,0.28,0.43,0.1,0.3,0.28
0.79,0.79,0.59,0.74,0.1,1.0,0.0,0.67,0.1,0.83,0.05,0.87,0.1,0.98,0.0,0.8,0.16,0.79,0.19,0.53,0.16,0.33,0.19
0.81,0.78,0.62,0.73,0.09,0.93,0.06,0.7,0.05,0.81,0.06,0.95,0.05,0.8,0.06,0.87,0.11,0.72,0.25,0.51,0.11,0.3,0.25
0.81,0.77,0.62,0.76,0.08,0.87,0.1,0.94,0.01,0.91,0.06,0.99,0.01,0.71,0.1,0.87,0.12,0.7,0.27,0.4,0.12,0.29,0.27
0.8,0.78,0.61,0.74,0.09,0.93,0.05,0.72,0.05,0.82,0.05,0.94,0.05,0.81,0.05,0.85,0.13,0.73,0.24,0.5,0.13,0.3,0.24
0.81,0.77,0.62,0.75,0.08,0.88,0.09,0.94,0.01,0.91,0.05,0.99,0.01,0.72,0.09,0.87,0.12,0.7,0.27,0.4,0.12,0.3,0.27
0.81,0.79,0.61,0.72,0.1,0.96,0.03,0.66,0.07,0.81,0.05,0.92,0.07,0.88,0.03,0.86,0.12,0.74,0.23,0.53,0.12,0.31,0.23
0.81,0.78,0.62,0.72,0.09,0.93,0.05,0.67,0.05,0.8,0.05,0.94,0.05,0.81,0.05,0.88,0.11,0.72,0.25,0.52,0.11,0.31,0.25
0.81,0.8,0.62,0.7,0.11,1.0,0.0,0.56,0.1,0.78,0.05,0.88,0.1,0.99,0.0,0.87,0.11,0.76,0.21,0.59,0.11,0.33,0.21
0.8,0.77,0.62,0.75,0.08,0.87,0.1,0.9,0.01,0.89,0.06,0.99,0.01,0.71,0.1,0.88,0.11,0.69,0.27,0.42,0.11,0.29,0.27
0.8,0.78,0.61,0.74,0.08,0.91,0.07,0.77,0.03,0.84,0.05,0.96,0.03,0.76,0.07,0.86,0.12,0.71,0.26,0.48,0.12,0.3,0.26
0.77,0.79,0.57,0.78,0.09,0.99,0.01,0.71,0.12,0.85,0.07,0.84,0.12,0.93,0.01,0.76,0.19,0.82,0.17,0.53,0.19,0.31,0.17
0.81,0.78,0.62,0.72,0.09,0.93,0.05,0.68,0.05,0.81,0.05,0.94,0.05,0.82,0.05,0.88,0.11,0.72,0.25,0.52,0.11,0.31,0.25
0.81,0.78,0.61,0.73,0.09,0.92,0.06,0.71,0.04,0.81,0.05,0.95,0.04,0.8,0.06,0.87,0.12,0.72,0.25,0.5,0.12,0.3,0.25
