ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.3,0.0,1.0,0.52,0.3
0.56,0.18,0.21,0.48,0.04,0.76,0.03,0.74,0.0,0.75,0.01,1.0,0.0,0.97,0.03,0.87,0.13,0.58,0.29,0.19,0.13,0.52,0.29
0.78,0.8,0.59,0.65,0.16,0.88,0.11,0.34,0.38,0.61,0.24,0.52,0.38,0.31,0.11,0.92,0.06,0.91,0.08,0.81,0.06,0.53,0.08
0.72,0.76,0.5,0.78,0.1,0.94,0.06,0.57,0.3,0.75,0.18,0.5,0.3,0.34,0.06,0.76,0.17,0.92,0.07,0.63,0.17,0.47,0.07
0.8,0.8,0.6,0.72,0.11,0.96,0.03,0.56,0.16,0.76,0.1,0.8,0.16,0.8,0.03,0.84,0.13,0.82,0.17,0.6,0.13,0.36,0.17
0.77,0.79,0.56,0.8,0.08,1.0,0.0,0.78,0.09,0.89,0.04,0.87,0.09,0.99,0.0,0.74,0.2,0.82,0.17,0.5,0.2,0.31,0.17
0.75,0.77,0.52,0.88,0.05,0.96,0.04,0.98,0.01,0.97,0.03,0.99,0.01,0.69,0.04,0.68,0.26,0.8,0.19,0.44,0.26,0.25,0.19
0.75,0.77,0.52,0.9,0.04,0.93,0.06,0.88,0.04,0.91,0.05,0.93,0.04,0.57,0.06,0.67,0.27,0.77,0.21,0.41,0.27,0.23,0.21
0.74,0.76,0.51,0.92,0.03,0.92,0.07,0.84,0.07,0.88,0.07,0.9,0.07,0.54,0.07,0.65,0.28,0.77,0.22,0.4,0.28,0.23,0.22
0.75,0.77,0.52,0.91,0.04,0.92,0.07,0.84,0.06,0.88,0.07,0.91,0.06,0.54,0.07,0.66,0.27,0.76,0.22,0.4,0.27,0.23,0.22
0.75,0.77,0.53,0.88,0.05,0.94,0.05,0.95,0.02,0.94,0.04,0.97,0.02,0.64,0.05,0.68,0.26,0.78,0.2,0.43,0.26,0.25,0.2
0.75,0.77,0.52,0.89,0.04,0.94,0.06,0.92,0.03,0.93,0.04,0.96,0.03,0.6,0.06,0.68,0.26,0.77,0.21,0.42,0.26,0.24,0.21
0.75,0.77,0.51,0.9,0.04,0.93,0.06,0.88,0.05,0.91,0.06,0.93,0.05,0.58,0.06,0.66,0.27,0.77,0.21,0.41,0.27,0.23,0.21
