ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.05,0.11,0.62,0.01,0.93,0.0,0.45,0.0,0.69,0.0,1.0,0.0,1.0,0.0,0.94,0.06,0.58,0.29,0.16,0.06,0.53,0.29
0.79,0.77,0.57,0.88,0.04,0.85,0.12,0.66,0.06,0.76,0.09,0.93,0.06,0.61,0.12,0.76,0.22,0.71,0.26,0.32,0.22,0.28,0.26
0.8,0.78,0.6,0.8,0.07,0.91,0.07,0.97,0.0,0.94,0.04,1.0,0.0,0.74,0.07,0.81,0.17,0.73,0.24,0.4,0.17,0.31,0.24
0.81,0.78,0.61,0.77,0.08,0.92,0.06,0.87,0.02,0.9,0.04,0.98,0.02,0.78,0.06,0.84,0.14,0.74,0.23,0.45,0.14,0.32,0.23
0.81,0.78,0.62,0.76,0.08,0.92,0.06,0.86,0.02,0.89,0.04,0.98,0.02,0.78,0.06,0.85,0.13,0.74,0.24,0.46,0.13,0.32,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.85,0.02,0.88,0.05,0.98,0.02,0.77,0.07,0.86,0.13,0.73,0.24,0.46,0.13,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.92,0.06,0.82,0.03,0.87,0.04,0.97,0.03,0.79,0.06,0.86,0.12,0.74,0.24,0.47,0.12,0.32,0.24
0.81,0.78,0.62,0.75,0.08,0.92,0.06,0.8,0.03,0.86,0.04,0.97,0.03,0.79,0.06,0.86,0.12,0.73,0.24,0.49,0.12,0.32,0.24
0.81,0.78,0.62,0.75,0.08,0.92,0.06,0.8,0.03,0.86,0.04,0.97,0.03,0.79,0.06,0.86,0.12,0.74,0.24,0.48,0.12,0.32,0.24
0.81,0.78,0.61,0.77,0.07,0.9,0.08,0.89,0.02,0.9,0.05,0.98,0.02,0.74,0.08,0.85,0.13,0.72,0.25,0.45,0.13,0.31,0.25
0.81,0.78,0.61,0.76,0.08,0.91,0.07,0.83,0.02,0.87,0.05,0.97,0.02,0.76,0.07,0.86,0.13,0.73,0.24,0.47,0.13,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.9,0.08,0.83,0.02,0.86,0.05,0.98,0.02,0.74,0.08,0.87,0.12,0.72,0.25,0.47,0.12,0.31,0.25
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.8,0.03,0.85,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.81,0.03,0.86,0.05,0.97,0.03,0.76,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.92,0.07,0.81,0.03,0.86,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.32,0.24
0.81,0.78,0.62,0.76,0.08,0.92,0.07,0.81,0.03,0.86,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.83,0.02,0.87,0.05,0.97,0.02,0.76,0.07,0.86,0.12,0.73,0.24,0.47,0.12,0.31,0.24
0.81,0.78,0.61,0.76,0.08,0.92,0.06,0.82,0.03,0.87,0.04,0.97,0.03,0.77,0.06,0.86,0.13,0.73,0.24,0.48,0.13,0.32,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.83,0.02,0.87,0.05,0.97,0.02,0.76,0.07,0.86,0.12,0.73,0.24,0.47,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.81,0.03,0.86,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.92,0.06,0.83,0.03,0.88,0.04,0.97,0.03,0.77,0.06,0.86,0.13,0.73,0.24,0.47,0.13,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.82,0.03,0.86,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.82,0.03,0.86,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.47,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.84,0.02,0.88,0.05,0.98,0.02,0.75,0.07,0.86,0.12,0.73,0.24,0.47,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.82,0.03,0.86,0.05,0.97,0.03,0.76,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
0.81,0.78,0.62,0.75,0.08,0.91,0.07,0.79,0.03,0.85,0.05,0.97,0.03,0.77,0.07,0.87,0.12,0.73,0.24,0.49,0.12,0.31,0.24
0.81,0.78,0.62,0.76,0.08,0.91,0.07,0.82,0.03,0.86,0.05,0.97,0.03,0.77,0.07,0.86,0.12,0.73,0.24,0.48,0.12,0.31,0.24
