ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.65,0.31,0.02,0.49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.66,0.33,0.0,1.0,0.1,0.33,0.0,1.0
0.67,0.66,0.33,0.04,0.47,0.07,0.93,0.0,0.97,0.04,0.95,0.03,0.97,0.0,0.93,0.67,0.32,0.83,0.14,0.1,0.32,0.56,0.14
0.7,0.7,0.41,0.16,0.4,0.22,0.77,0.02,0.82,0.12,0.79,0.16,0.82,0.02,0.77,0.8,0.17,0.85,0.13,0.49,0.17,0.56,0.13
0.74,0.76,0.5,0.39,0.3,0.6,0.4,0.06,0.89,0.33,0.65,0.06,0.89,0.01,0.4,0.77,0.19,0.95,0.04,0.45,0.19,0.76,0.04
0.75,0.7,0.52,0.2,0.3,0.26,0.59,0.08,0.23,0.17,0.41,0.76,0.23,0.25,0.59,1.0,0.0,0.96,0.03,0.99,0.0,0.91,0.03
0.77,0.71,0.57,0.5,0.16,0.72,0.19,0.41,0.06,0.56,0.12,0.94,0.06,0.65,0.19,0.93,0.07,0.76,0.18,0.55,0.07,0.54,0.18
0.82,0.8,0.64,0.69,0.11,0.96,0.03,0.49,0.09,0.72,0.06,0.9,0.09,0.9,0.03,0.93,0.06,0.73,0.24,0.65,0.06,0.32,0.24
0.8,0.81,0.61,0.5,0.23,0.76,0.23,0.12,0.55,0.44,0.39,0.4,0.55,0.19,0.23,0.87,0.11,0.92,0.07,0.61,0.11,0.66,0.07
0.79,0.81,0.6,0.57,0.2,0.84,0.15,0.2,0.53,0.52,0.34,0.39,0.53,0.22,0.15,0.95,0.04,0.91,0.08,0.87,0.04,0.56,0.08
0.79,0.8,0.59,0.61,0.17,0.87,0.12,0.27,0.45,0.57,0.29,0.47,0.45,0.34,0.12,0.99,0.01,0.87,0.12,0.96,0.01,0.46,0.12
0.77,0.79,0.57,0.49,0.25,0.77,0.23,0.1,0.77,0.43,0.5,0.16,0.77,0.06,0.23,0.81,0.15,0.96,0.04,0.54,0.15,0.76,0.04
0.8,0.81,0.6,0.49,0.23,0.76,0.23,0.11,0.61,0.43,0.42,0.34,0.61,0.14,0.23,0.86,0.12,0.95,0.04,0.59,0.12,0.76,0.04
0.78,0.8,0.59,0.51,0.23,0.78,0.21,0.12,0.67,0.45,0.44,0.26,0.67,0.1,0.21,0.85,0.12,0.96,0.04,0.61,0.12,0.76,0.04
0.77,0.77,0.54,0.37,0.29,0.54,0.44,0.07,0.63,0.31,0.54,0.34,0.63,0.08,0.44,0.84,0.14,0.97,0.03,0.52,0.14,0.87,0.03
0.76,0.78,0.55,0.46,0.27,0.73,0.27,0.08,0.85,0.4,0.56,0.08,0.85,0.02,0.27,0.78,0.18,0.99,0.01,0.48,0.18,0.91,0.01
0.73,0.74,0.46,0.28,0.35,0.41,0.58,0.04,0.83,0.22,0.7,0.14,0.83,0.02,0.58,0.77,0.2,0.9,0.08,0.4,0.2,0.66,0.08
0.81,0.81,0.63,0.5,0.21,0.75,0.23,0.14,0.36,0.45,0.29,0.62,0.36,0.32,0.23,0.93,0.06,0.89,0.09,0.72,0.06,0.62,0.09
0.74,0.74,0.49,0.27,0.34,0.38,0.6,0.04,0.71,0.21,0.66,0.27,0.71,0.04,0.6,0.81,0.16,0.89,0.09,0.47,0.16,0.63,0.09
0.82,0.81,0.64,0.56,0.18,0.84,0.14,0.21,0.28,0.53,0.21,0.7,0.28,0.5,0.14,0.97,0.02,0.84,0.14,0.88,0.02,0.48,0.14
0.78,0.8,0.59,0.6,0.19,0.85,0.14,0.24,0.51,0.54,0.33,0.39,0.51,0.24,0.14,0.99,0.01,0.9,0.09,0.97,0.01,0.53,0.09
0.76,0.77,0.53,0.37,0.3,0.55,0.44,0.06,0.7,0.31,0.57,0.27,0.7,0.06,0.44,0.82,0.15,0.95,0.04,0.5,0.15,0.78,0.04
0.8,0.81,0.6,0.58,0.19,0.85,0.14,0.2,0.49,0.53,0.32,0.45,0.49,0.3,0.14,0.95,0.04,0.88,0.11,0.87,0.04,0.49,0.11
0.81,0.82,0.63,0.55,0.2,0.83,0.16,0.16,0.47,0.49,0.32,0.49,0.47,0.3,0.16,0.92,0.06,0.89,0.1,0.75,0.06,0.53,0.1
0.82,0.81,0.64,0.58,0.16,0.87,0.11,0.25,0.22,0.56,0.17,0.76,0.22,0.63,0.11,1.0,0.0,0.8,0.17,0.98,0.0,0.44,0.17
0.81,0.81,0.62,0.69,0.12,0.97,0.03,0.48,0.17,0.72,0.1,0.8,0.17,0.86,0.03,0.89,0.09,0.79,0.19,0.66,0.09,0.34,0.19
0.77,0.79,0.57,0.51,0.24,0.79,0.21,0.11,0.77,0.45,0.49,0.15,0.77,0.06,0.21,0.83,0.13,0.95,0.04,0.6,0.13,0.73,0.04
0.8,0.81,0.61,0.53,0.21,0.81,0.18,0.14,0.55,0.48,0.36,0.39,0.55,0.2,0.18,0.89,0.09,0.92,0.07,0.69,0.09,0.6,0.07
0.81,0.77,0.62,0.7,0.09,0.93,0.05,0.67,0.04,0.8,0.04,0.96,0.04,0.86,0.05,0.91,0.08,0.7,0.26,0.51,0.08,0.34,0.26
0.82,0.82,0.64,0.62,0.15,0.92,0.06,0.3,0.23,0.61,0.15,0.75,0.23,0.71,0.06,0.98,0.02,0.8,0.18,0.92,0.02,0.38,0.18
0.79,0.77,0.59,0.44,0.22,0.62,0.31,0.16,0.24,0.39,0.28,0.75,0.24,0.37,0.31,0.98,0.02,0.87,0.1,0.91,0.02,0.67,0.1
0.82,0.82,0.65,0.58,0.17,0.87,0.11,0.23,0.25,0.55,0.18,0.73,0.25,0.58,0.11,0.99,0.01,0.82,0.16,0.94,0.01,0.44,0.16
