ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.01,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.31,0.0,1.0,0.51,0.31
0.73,0.7,0.46,0.06,0.42,0.08,0.86,0.01,0.55,0.04,0.71,0.45,0.55,0.06,0.86,0.84,0.14,0.85,0.12,0.44,0.14,0.6,0.12
0.74,0.77,0.53,0.6,0.19,0.84,0.16,0.25,0.64,0.54,0.4,0.19,0.64,0.07,0.16,0.98,0.01,0.97,0.03,0.96,0.01,0.77,0.03
0.8,0.81,0.61,0.65,0.15,0.89,0.11,0.38,0.29,0.64,0.2,0.65,0.29,0.43,0.11,0.89,0.09,0.88,0.11,0.73,0.09,0.48,0.11
0.82,0.8,0.64,0.66,0.12,1.0,0.0,0.49,0.1,0.74,0.05,0.9,0.1,1.0,0.0,0.91,0.08,0.75,0.22,0.63,0.08,0.33,0.22
0.8,0.8,0.61,0.72,0.11,0.96,0.04,0.61,0.13,0.78,0.09,0.84,0.13,0.77,0.04,0.81,0.16,0.83,0.16,0.54,0.16,0.37,0.16
0.81,0.79,0.63,0.73,0.09,0.91,0.07,0.84,0.02,0.88,0.05,0.98,0.02,0.76,0.07,0.87,0.12,0.71,0.26,0.42,0.12,0.29,0.26
0.81,0.8,0.62,0.73,0.1,0.97,0.02,0.7,0.07,0.83,0.05,0.92,0.07,0.9,0.02,0.83,0.14,0.76,0.22,0.5,0.14,0.31,0.22
0.83,0.82,0.66,0.59,0.16,0.9,0.09,0.29,0.21,0.59,0.15,0.77,0.21,0.64,0.09,0.98,0.02,0.82,0.16,0.9,0.02,0.41,0.16
0.83,0.82,0.65,0.6,0.16,0.89,0.09,0.3,0.23,0.59,0.16,0.75,0.23,0.6,0.09,0.97,0.03,0.83,0.15,0.87,0.03,0.42,0.15
0.82,0.81,0.64,0.64,0.13,0.98,0.02,0.41,0.13,0.69,0.07,0.85,0.13,0.92,0.02,0.93,0.06,0.76,0.21,0.72,0.06,0.34,0.21
0.81,0.81,0.63,0.68,0.12,0.97,0.02,0.52,0.13,0.74,0.07,0.85,0.13,0.88,0.02,0.87,0.11,0.79,0.19,0.6,0.11,0.34,0.19
0.82,0.81,0.65,0.63,0.14,0.96,0.03,0.38,0.14,0.67,0.09,0.85,0.14,0.86,0.03,0.94,0.05,0.77,0.2,0.75,0.05,0.36,0.2
0.78,0.8,0.59,0.56,0.2,0.83,0.17,0.2,0.56,0.52,0.37,0.35,0.56,0.15,0.17,0.96,0.03,0.95,0.05,0.9,0.03,0.68,0.05
0.83,0.82,0.65,0.6,0.16,0.9,0.08,0.3,0.2,0.6,0.14,0.79,0.2,0.67,0.08,0.97,0.02,0.81,0.17,0.87,0.02,0.4,0.17
0.82,0.8,0.64,0.65,0.13,0.99,0.01,0.42,0.12,0.7,0.07,0.87,0.12,0.96,0.01,0.93,0.06,0.76,0.22,0.7,0.06,0.34,0.22
0.83,0.82,0.65,0.6,0.16,0.9,0.08,0.29,0.2,0.59,0.14,0.78,0.2,0.67,0.08,0.97,0.02,0.81,0.17,0.88,0.02,0.4,0.17
0.83,0.82,0.65,0.54,0.19,0.81,0.17,0.2,0.29,0.51,0.23,0.68,0.29,0.4,0.17,0.98,0.02,0.88,0.11,0.91,0.02,0.55,0.11
0.81,0.78,0.63,0.75,0.08,0.89,0.08,0.9,0.01,0.9,0.04,0.99,0.01,0.73,0.08,0.86,0.13,0.7,0.26,0.41,0.13,0.29,0.26
0.82,0.81,0.64,0.64,0.13,0.97,0.03,0.4,0.14,0.69,0.09,0.85,0.14,0.89,0.03,0.94,0.05,0.77,0.21,0.73,0.05,0.35,0.21
0.83,0.82,0.65,0.56,0.18,0.84,0.14,0.22,0.3,0.53,0.22,0.67,0.3,0.42,0.14,0.99,0.01,0.87,0.11,0.95,0.01,0.5,0.11
0.83,0.82,0.65,0.59,0.16,0.89,0.09,0.28,0.22,0.58,0.15,0.76,0.22,0.62,0.09,0.98,0.02,0.82,0.16,0.92,0.02,0.41,0.16
0.81,0.81,0.62,0.71,0.11,0.97,0.02,0.58,0.13,0.77,0.07,0.85,0.13,0.87,0.02,0.84,0.14,0.8,0.18,0.56,0.14,0.34,0.18
0.82,0.81,0.63,0.66,0.13,0.97,0.03,0.46,0.14,0.71,0.09,0.84,0.14,0.88,0.03,0.9,0.08,0.78,0.2,0.65,0.08,0.34,0.2
0.82,0.82,0.64,0.64,0.15,0.91,0.08,0.39,0.21,0.65,0.14,0.75,0.21,0.61,0.08,0.91,0.08,0.84,0.14,0.71,0.08,0.41,0.14
