ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.67,0.19,0.97,0.01,0.99,0.01,0.84,0.15,0.92,0.08,0.22,0.15,0.19,0.01,0.51,0.33,0.92,0.07,0.49,0.33,0.27,0.07
0.8,0.77,0.61,0.81,0.06,0.84,0.13,0.88,0.01,0.86,0.07,0.99,0.01,0.63,0.13,0.85,0.14,0.68,0.28,0.36,0.14,0.27,0.28
0.79,0.75,0.6,0.77,0.07,0.85,0.11,0.99,0.0,0.92,0.06,1.0,0.0,0.72,0.11,0.89,0.1,0.67,0.28,0.4,0.1,0.32,0.28
0.81,0.77,0.62,0.78,0.07,0.85,0.12,0.98,0.0,0.92,0.06,1.0,0.0,0.67,0.12,0.88,0.11,0.68,0.28,0.4,0.11,0.29,0.28
0.81,0.79,0.61,0.76,0.08,0.92,0.06,0.76,0.05,0.84,0.06,0.94,0.05,0.74,0.06,0.85,0.13,0.73,0.25,0.5,0.13,0.28,0.25
0.81,0.8,0.61,0.76,0.09,0.95,0.05,0.75,0.06,0.85,0.06,0.93,0.06,0.79,0.05,0.83,0.14,0.75,0.23,0.5,0.14,0.29,0.23
0.8,0.76,0.62,0.75,0.07,0.87,0.1,0.88,0.01,0.88,0.06,0.99,0.01,0.73,0.1,0.9,0.1,0.69,0.27,0.43,0.1,0.31,0.27
0.81,0.78,0.62,0.77,0.08,0.88,0.1,0.8,0.03,0.84,0.07,0.97,0.03,0.69,0.1,0.87,0.11,0.7,0.27,0.48,0.11,0.28,0.27
0.8,0.79,0.6,0.79,0.07,0.9,0.08,0.83,0.03,0.86,0.06,0.96,0.03,0.68,0.08,0.83,0.15,0.72,0.25,0.48,0.15,0.27,0.25
0.81,0.8,0.61,0.75,0.09,0.94,0.05,0.7,0.06,0.82,0.06,0.93,0.06,0.8,0.05,0.85,0.13,0.74,0.23,0.52,0.13,0.29,0.23
0.81,0.79,0.62,0.77,0.08,0.88,0.1,0.8,0.03,0.84,0.07,0.97,0.03,0.68,0.1,0.87,0.11,0.7,0.27,0.48,0.11,0.28,0.27
