ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.26,0.22,0.0,1.0
0.89,0.94,0.16,0.98,0.01,0.98,0.02,0.93,0.07,0.96,0.05,0.21,0.07,0.06,0.02,0.77,0.21,0.9,0.07,0.27,0.21,0.82,0.07
0.89,0.94,0.15,0.99,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.23,0.05,0.05,0.01,0.77,0.21,0.98,0.01,0.27,0.21,0.94,0.01
0.89,0.94,0.29,0.93,0.03,0.94,0.06,0.79,0.19,0.86,0.12,0.35,0.19,0.09,0.06,0.81,0.18,0.89,0.07,0.29,0.18,0.83,0.07
0.89,0.94,0.26,0.95,0.02,0.96,0.04,0.83,0.16,0.9,0.1,0.25,0.16,0.04,0.04,0.8,0.19,0.91,0.07,0.28,0.19,0.79,0.07
0.89,0.94,0.24,0.96,0.02,0.96,0.04,0.85,0.14,0.91,0.09,0.23,0.14,0.03,0.04,0.79,0.19,0.9,0.08,0.28,0.19,0.76,0.08
0.89,0.94,0.3,0.93,0.03,0.94,0.06,0.76,0.22,0.85,0.14,0.29,0.22,0.07,0.06,0.81,0.17,0.93,0.05,0.3,0.17,0.88,0.05
0.89,0.94,0.33,0.91,0.05,0.92,0.08,0.7,0.26,0.81,0.17,0.34,0.26,0.14,0.08,0.83,0.16,0.73,0.18,0.31,0.16,0.67,0.18
0.89,0.94,0.35,0.88,0.06,0.88,0.11,0.68,0.25,0.78,0.18,0.45,0.25,0.16,0.11,0.84,0.15,0.76,0.14,0.3,0.15,0.74,0.14
0.89,0.94,0.33,0.91,0.04,0.92,0.08,0.72,0.25,0.82,0.17,0.33,0.25,0.1,0.08,0.83,0.16,0.83,0.11,0.3,0.16,0.77,0.11
0.9,0.94,0.32,0.92,0.04,0.94,0.06,0.73,0.25,0.83,0.15,0.27,0.25,0.08,0.06,0.82,0.16,0.88,0.08,0.31,0.16,0.79,0.08
0.89,0.94,0.32,0.92,0.04,0.93,0.07,0.71,0.26,0.82,0.17,0.24,0.26,0.07,0.07,0.83,0.16,0.84,0.11,0.31,0.16,0.76,0.11
0.89,0.94,0.28,0.94,0.03,0.95,0.05,0.79,0.2,0.87,0.12,0.23,0.2,0.03,0.05,0.8,0.18,0.92,0.06,0.29,0.18,0.83,0.06
0.89,0.94,0.32,0.92,0.04,0.93,0.07,0.72,0.26,0.82,0.17,0.25,0.26,0.07,0.07,0.83,0.16,0.88,0.08,0.31,0.16,0.8,0.08
0.89,0.94,0.3,0.93,0.03,0.94,0.06,0.76,0.22,0.85,0.14,0.25,0.22,0.05,0.06,0.81,0.17,0.97,0.02,0.3,0.17,0.94,0.02
0.89,0.94,0.29,0.94,0.03,0.95,0.05,0.78,0.21,0.86,0.13,0.23,0.21,0.04,0.05,0.81,0.18,0.99,0.01,0.29,0.18,0.98,0.01
0.89,0.94,0.3,0.93,0.03,0.94,0.06,0.74,0.24,0.84,0.15,0.2,0.24,0.04,0.06,0.82,0.17,0.99,0.01,0.3,0.17,0.98,0.01
0.89,0.94,0.32,0.92,0.04,0.94,0.06,0.72,0.25,0.83,0.15,0.25,0.25,0.08,0.06,0.82,0.16,0.85,0.1,0.31,0.16,0.75,0.1
0.89,0.94,0.33,0.91,0.05,0.92,0.08,0.69,0.27,0.8,0.18,0.29,0.27,0.09,0.08,0.83,0.16,0.85,0.1,0.31,0.16,0.78,0.1
0.89,0.94,0.34,0.89,0.05,0.9,0.1,0.65,0.31,0.78,0.21,0.31,0.31,0.11,0.1,0.84,0.15,0.76,0.15,0.32,0.15,0.71,0.15
0.89,0.94,0.32,0.91,0.05,0.92,0.08,0.68,0.29,0.8,0.18,0.24,0.29,0.09,0.08,0.83,0.16,0.77,0.15,0.32,0.16,0.7,0.15
