ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.17,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.08,0.08,0.04,0.01,0.77,0.21,0.81,0.16,0.28,0.21,0.52,0.16
0.89,0.94,0.29,0.94,0.03,0.95,0.05,0.77,0.21,0.86,0.13,0.29,0.21,0.11,0.05,0.81,0.18,0.76,0.16,0.3,0.18,0.66,0.16
0.87,0.93,0.37,0.85,0.07,0.86,0.14,0.64,0.25,0.75,0.2,0.56,0.25,0.27,0.14,0.86,0.13,0.62,0.22,0.31,0.13,0.66,0.22
0.89,0.94,0.27,0.95,0.02,0.97,0.03,0.78,0.21,0.88,0.12,0.1,0.21,0.04,0.03,0.8,0.18,0.83,0.13,0.31,0.18,0.63,0.13
0.89,0.94,0.3,0.93,0.04,0.94,0.06,0.71,0.27,0.82,0.17,0.15,0.27,0.03,0.06,0.82,0.17,1.0,0.0,0.32,0.17,0.99,0.0
0.89,0.94,0.31,0.92,0.04,0.94,0.06,0.72,0.26,0.83,0.16,0.19,0.26,0.03,0.06,0.82,0.17,0.96,0.03,0.31,0.17,0.91,0.03
0.89,0.94,0.3,0.94,0.03,0.96,0.04,0.75,0.24,0.85,0.14,0.14,0.24,0.04,0.04,0.81,0.17,0.9,0.08,0.31,0.17,0.75,0.08
0.89,0.94,0.38,0.84,0.08,0.85,0.14,0.49,0.45,0.67,0.3,0.22,0.45,0.06,0.14,0.88,0.11,0.84,0.1,0.39,0.11,0.79,0.1
0.9,0.94,0.38,0.87,0.07,0.89,0.11,0.53,0.43,0.71,0.27,0.16,0.43,0.03,0.11,0.87,0.12,0.99,0.0,0.38,0.12,0.99,0.0
0.9,0.94,0.38,0.86,0.07,0.88,0.12,0.53,0.43,0.71,0.28,0.16,0.43,0.03,0.12,0.87,0.12,0.96,0.03,0.38,0.12,0.92,0.03
0.9,0.94,0.37,0.86,0.07,0.88,0.12,0.53,0.43,0.71,0.28,0.16,0.43,0.03,0.12,0.87,0.12,0.95,0.04,0.38,0.12,0.9,0.04
0.89,0.94,0.25,0.97,0.02,0.0,1.0,0.82,0.18,0.41,0.59,0.02,0.18,0.0,1.0,0.79,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.9,0.94,0.34,0.91,0.04,0.93,0.07,0.63,0.35,0.78,0.21,0.11,0.35,0.02,0.07,0.84,0.15,0.97,0.02,0.35,0.15,0.91,0.02
