ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.89,0.94,0.2,0.95,0.02,0.95,0.05,0.81,0.18,0.88,0.11,0.1,0.18,0.02,0.05,0.83,0.16,0.88,0.08,0.34,0.16,0.81,0.08
0.89,0.94,0.19,0.96,0.02,0.96,0.04,0.82,0.18,0.89,0.11,0.09,0.18,0.03,0.04,0.83,0.16,0.9,0.06,0.34,0.16,0.87,0.06
0.89,0.94,0.2,0.95,0.02,0.95,0.05,0.81,0.19,0.88,0.12,0.09,0.19,0.03,0.05,0.83,0.15,0.9,0.06,0.34,0.15,0.86,0.06
0.9,0.94,0.22,0.95,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.02,0.04,0.84,0.15,0.95,0.04,0.35,0.15,0.9,0.04
0.9,0.94,0.26,0.92,0.04,0.92,0.08,0.68,0.31,0.8,0.2,0.09,0.31,0.03,0.08,0.86,0.13,0.93,0.04,0.38,0.13,0.91,0.04
0.9,0.94,0.22,0.95,0.03,0.95,0.05,0.77,0.22,0.86,0.14,0.07,0.22,0.03,0.05,0.84,0.15,0.78,0.15,0.35,0.15,0.71,0.15
0.9,0.94,0.32,0.88,0.06,0.88,0.12,0.59,0.36,0.73,0.24,0.23,0.36,0.08,0.12,0.88,0.11,0.86,0.08,0.4,0.11,0.84,0.08
0.9,0.94,0.25,0.94,0.03,0.95,0.05,0.74,0.25,0.84,0.15,0.1,0.25,0.04,0.05,0.85,0.14,0.8,0.13,0.36,0.14,0.71,0.13
0.9,0.95,0.31,0.9,0.05,0.91,0.09,0.62,0.36,0.77,0.22,0.15,0.36,0.04,0.09,0.88,0.11,0.93,0.04,0.41,0.11,0.89,0.04
0.9,0.94,0.28,0.91,0.05,0.91,0.09,0.64,0.34,0.78,0.22,0.12,0.34,0.03,0.09,0.87,0.12,0.94,0.04,0.39,0.12,0.91,0.04
0.9,0.94,0.33,0.87,0.06,0.88,0.12,0.55,0.4,0.72,0.26,0.23,0.4,0.08,0.12,0.9,0.1,0.83,0.1,0.43,0.1,0.81,0.1
0.9,0.95,0.3,0.9,0.05,0.91,0.09,0.61,0.37,0.76,0.23,0.14,0.37,0.05,0.09,0.88,0.11,0.88,0.07,0.41,0.11,0.84,0.07
0.9,0.95,0.3,0.91,0.05,0.91,0.09,0.64,0.33,0.78,0.21,0.16,0.33,0.04,0.09,0.87,0.12,0.94,0.04,0.39,0.12,0.91,0.04
0.9,0.95,0.3,0.91,0.05,0.91,0.09,0.64,0.34,0.78,0.22,0.16,0.34,0.04,0.09,0.87,0.12,0.94,0.03,0.4,0.12,0.92,0.03
0.9,0.95,0.31,0.9,0.05,0.91,0.09,0.6,0.37,0.76,0.23,0.14,0.37,0.04,0.09,0.88,0.11,0.92,0.05,0.41,0.11,0.88,0.05
0.9,0.95,0.33,0.9,0.05,0.91,0.09,0.59,0.38,0.75,0.23,0.15,0.38,0.04,0.09,0.89,0.11,0.98,0.01,0.42,0.11,0.97,0.01
0.9,0.94,0.25,0.93,0.04,0.93,0.07,0.7,0.29,0.81,0.18,0.08,0.29,0.03,0.07,0.86,0.13,0.86,0.09,0.38,0.13,0.82,0.09
0.9,0.95,0.31,0.91,0.05,0.91,0.09,0.61,0.37,0.76,0.23,0.13,0.37,0.03,0.09,0.88,0.11,0.95,0.03,0.41,0.11,0.92,0.03
0.9,0.95,0.31,0.9,0.05,0.91,0.09,0.61,0.36,0.76,0.22,0.14,0.36,0.03,0.09,0.88,0.11,0.95,0.03,0.41,0.11,0.91,0.03
0.9,0.95,0.34,0.89,0.05,0.9,0.1,0.57,0.4,0.73,0.25,0.17,0.4,0.03,0.1,0.89,0.1,0.95,0.04,0.43,0.1,0.91,0.04
0.9,0.95,0.35,0.88,0.06,0.88,0.12,0.53,0.42,0.71,0.27,0.2,0.42,0.05,0.12,0.9,0.09,0.95,0.03,0.44,0.09,0.93,0.03
0.9,0.94,0.26,0.92,0.04,0.93,0.07,0.67,0.32,0.8,0.2,0.07,0.32,0.02,0.07,0.86,0.13,0.93,0.04,0.39,0.13,0.9,0.04
0.9,0.95,0.25,0.93,0.03,0.94,0.06,0.7,0.3,0.82,0.18,0.03,0.3,0.01,0.06,0.86,0.13,0.88,0.09,0.38,0.13,0.74,0.09
0.9,0.95,0.27,0.92,0.04,0.93,0.07,0.66,0.33,0.8,0.2,0.06,0.33,0.02,0.07,0.87,0.12,0.85,0.1,0.39,0.12,0.79,0.1
0.9,0.95,0.32,0.89,0.06,0.89,0.11,0.55,0.43,0.72,0.27,0.1,0.43,0.02,0.11,0.89,0.1,0.97,0.02,0.44,0.1,0.95,0.02
0.9,0.95,0.31,0.89,0.05,0.89,0.11,0.58,0.4,0.73,0.26,0.12,0.4,0.02,0.11,0.88,0.11,0.91,0.06,0.42,0.11,0.84,0.06
0.9,0.95,0.32,0.87,0.06,0.87,0.12,0.52,0.45,0.7,0.29,0.11,0.45,0.02,0.12,0.9,0.09,0.92,0.05,0.45,0.09,0.88,0.05
0.9,0.95,0.28,0.91,0.04,0.92,0.08,0.63,0.36,0.78,0.22,0.05,0.36,0.02,0.08,0.87,0.12,0.95,0.03,0.41,0.12,0.92,0.03
0.9,0.94,0.28,0.9,0.05,0.9,0.1,0.61,0.38,0.76,0.24,0.07,0.38,0.02,0.1,0.87,0.12,0.95,0.03,0.41,0.12,0.92,0.03
0.9,0.95,0.27,0.91,0.04,0.91,0.09,0.64,0.36,0.78,0.22,0.06,0.36,0.01,0.09,0.87,0.12,0.87,0.09,0.4,0.12,0.77,0.09
0.9,0.95,0.33,0.88,0.06,0.88,0.12,0.57,0.4,0.72,0.26,0.17,0.4,0.03,0.12,0.89,0.1,0.86,0.1,0.42,0.1,0.77,0.1
0.9,0.95,0.28,0.9,0.05,0.9,0.1,0.63,0.36,0.77,0.23,0.1,0.36,0.01,0.1,0.87,0.12,0.81,0.14,0.4,0.12,0.66,0.14
0.9,0.95,0.28,0.92,0.04,0.92,0.08,0.65,0.34,0.79,0.21,0.07,0.34,0.01,0.08,0.87,0.12,0.82,0.14,0.4,0.12,0.61,0.14
0.9,0.95,0.3,0.91,0.05,0.92,0.08,0.6,0.39,0.76,0.24,0.06,0.39,0.02,0.08,0.88,0.11,0.98,0.01,0.42,0.11,0.96,0.01
0.9,0.95,0.3,0.91,0.05,0.92,0.08,0.59,0.39,0.76,0.24,0.07,0.39,0.01,0.08,0.88,0.11,0.89,0.08,0.42,0.11,0.78,0.08
0.9,0.95,0.3,0.91,0.05,0.92,0.08,0.59,0.4,0.76,0.24,0.06,0.4,0.01,0.08,0.88,0.11,0.83,0.13,0.42,0.11,0.63,0.13
