ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.43,0.54,0.2,0.45,0.15,0.47,0.21,0.29,0.07,0.38,0.14,0.93,0.07,0.74,0.21,0.96,0.04,0.32,0.22,0.32,0.04,0.75,0.22
0.75,0.84,0.32,0.69,0.13,0.66,0.26,0.49,0.18,0.57,0.22,0.78,0.18,0.45,0.26,0.91,0.09,0.46,0.23,0.28,0.09,0.72,0.23
0.86,0.92,0.34,0.8,0.09,0.76,0.22,0.67,0.2,0.72,0.21,0.67,0.2,0.25,0.22,0.85,0.14,0.66,0.16,0.26,0.14,0.77,0.16
0.89,0.94,0.28,0.9,0.05,0.89,0.11,0.67,0.3,0.78,0.2,0.22,0.3,0.09,0.11,0.83,0.16,0.65,0.2,0.3,0.16,0.68,0.2
0.89,0.94,0.32,0.84,0.08,0.83,0.17,0.57,0.35,0.7,0.26,0.34,0.35,0.13,0.17,0.86,0.13,0.66,0.18,0.32,0.13,0.72,0.18
0.85,0.91,0.39,0.74,0.12,0.73,0.24,0.43,0.29,0.58,0.27,0.63,0.29,0.29,0.24,0.92,0.08,0.58,0.2,0.35,0.08,0.71,0.2
0.77,0.85,0.35,0.66,0.15,0.64,0.29,0.42,0.19,0.53,0.24,0.78,0.19,0.4,0.29,0.93,0.07,0.5,0.21,0.31,0.07,0.73,0.21
0.79,0.87,0.36,0.67,0.14,0.66,0.29,0.37,0.24,0.52,0.27,0.72,0.24,0.37,0.29,0.94,0.06,0.51,0.21,0.36,0.06,0.72,0.21
0.87,0.93,0.4,0.75,0.12,0.73,0.26,0.45,0.34,0.59,0.3,0.54,0.34,0.18,0.26,0.9,0.09,0.73,0.13,0.34,0.09,0.79,0.13
0.9,0.95,0.31,0.91,0.05,0.91,0.09,0.66,0.32,0.79,0.21,0.2,0.32,0.07,0.09,0.84,0.15,0.77,0.15,0.32,0.15,0.71,0.15
0.9,0.95,0.21,0.97,0.02,0.0,1.0,0.86,0.14,0.43,0.57,0.1,0.14,0.0,1.0,0.79,0.19,0.0,1.0,0.27,0.19,0.0,1.0
0.9,0.95,0.19,0.98,0.01,0.0,1.0,0.9,0.1,0.45,0.55,0.14,0.1,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.95,0.17,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.07,0.11,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.95,0.17,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.07,0.11,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.95,0.24,0.96,0.02,0.0,1.0,0.83,0.17,0.41,0.58,0.12,0.17,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.29,0.94,0.03,0.96,0.04,0.74,0.25,0.85,0.14,0.11,0.25,0.01,0.04,0.82,0.17,0.92,0.07,0.3,0.17,0.75,0.07
0.9,0.95,0.27,0.95,0.02,0.96,0.04,0.78,0.22,0.87,0.13,0.11,0.22,0.01,0.04,0.81,0.17,0.84,0.14,0.29,0.17,0.48,0.14
0.9,0.95,0.24,0.96,0.02,0.0,1.0,0.82,0.18,0.41,0.59,0.08,0.18,0.0,1.0,0.8,0.18,0.0,1.0,0.28,0.18,0.0,1.0
0.9,0.95,0.26,0.96,0.02,0.0,1.0,0.8,0.2,0.4,0.6,0.1,0.2,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.29,0.93,0.04,0.94,0.06,0.7,0.29,0.82,0.17,0.07,0.29,0.01,0.06,0.83,0.16,0.81,0.17,0.31,0.16,0.46,0.17
0.9,0.95,0.31,0.92,0.04,0.93,0.07,0.65,0.34,0.79,0.21,0.07,0.34,0.01,0.07,0.84,0.15,0.97,0.02,0.32,0.15,0.94,0.02
0.9,0.95,0.29,0.93,0.04,0.0,1.0,0.69,0.31,0.34,0.66,0.05,0.31,0.0,1.0,0.83,0.16,0.0,1.0,0.32,0.16,0.0,1.0
0.9,0.95,0.26,0.94,0.03,0.0,1.0,0.75,0.25,0.38,0.62,0.04,0.25,0.0,1.0,0.82,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.22,0.96,0.02,0.0,1.0,0.82,0.18,0.41,0.59,0.04,0.18,0.0,1.0,0.8,0.18,0.0,1.0,0.28,0.18,0.0,1.0
0.9,0.95,0.26,0.95,0.02,0.0,1.0,0.78,0.22,0.39,0.61,0.05,0.22,0.0,1.0,0.81,0.17,0.0,1.0,0.29,0.17,0.0,1.0
0.9,0.95,0.28,0.94,0.03,0.0,1.0,0.72,0.27,0.36,0.64,0.05,0.27,0.0,1.0,0.82,0.16,0.0,1.0,0.31,0.16,0.0,1.0
0.9,0.95,0.29,0.94,0.03,0.0,1.0,0.72,0.28,0.36,0.64,0.05,0.28,0.0,1.0,0.83,0.16,0.0,1.0,0.31,0.16,0.0,1.0
0.9,0.95,0.31,0.9,0.05,0.9,0.1,0.62,0.37,0.76,0.23,0.1,0.37,0.02,0.1,0.84,0.14,1.0,0.0,0.33,0.14,1.0,0.0
0.9,0.94,0.33,0.83,0.08,0.82,0.18,0.48,0.48,0.65,0.33,0.13,0.48,0.04,0.18,0.87,0.12,0.78,0.12,0.37,0.12,0.79,0.12
0.89,0.94,0.34,0.78,0.11,0.75,0.24,0.39,0.53,0.57,0.39,0.19,0.53,0.07,0.24,0.9,0.1,0.67,0.17,0.41,0.1,0.75,0.17
0.88,0.93,0.34,0.76,0.12,0.73,0.26,0.37,0.53,0.55,0.4,0.24,0.53,0.1,0.26,0.91,0.09,0.64,0.18,0.42,0.09,0.74,0.18
0.87,0.93,0.38,0.71,0.14,0.68,0.3,0.32,0.49,0.5,0.4,0.37,0.49,0.13,0.3,0.93,0.07,0.7,0.14,0.44,0.07,0.78,0.14
0.88,0.93,0.35,0.75,0.12,0.71,0.28,0.4,0.46,0.55,0.37,0.34,0.46,0.12,0.28,0.9,0.1,0.69,0.15,0.38,0.1,0.78,0.15
0.89,0.94,0.33,0.8,0.1,0.78,0.21,0.44,0.49,0.61,0.35,0.2,0.49,0.09,0.21,0.89,0.11,0.61,0.2,0.38,0.11,0.7,0.2
0.9,0.95,0.29,0.88,0.06,0.88,0.12,0.58,0.41,0.73,0.27,0.05,0.41,0.02,0.12,0.85,0.14,0.63,0.22,0.34,0.14,0.65,0.22
0.9,0.95,0.25,0.93,0.03,0.0,1.0,0.72,0.27,0.36,0.64,0.03,0.27,0.0,1.0,0.82,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.3,0.89,0.06,0.89,0.11,0.58,0.41,0.73,0.26,0.04,0.41,0.0,0.11,0.85,0.14,0.76,0.19,0.34,0.14,0.51,0.19
0.9,0.94,0.35,0.77,0.11,0.75,0.24,0.34,0.62,0.55,0.43,0.08,0.62,0.02,0.24,0.91,0.08,0.8,0.1,0.46,0.08,0.82,0.1
0.88,0.93,0.39,0.71,0.14,0.67,0.32,0.28,0.56,0.48,0.44,0.28,0.56,0.08,0.32,0.93,0.06,0.8,0.1,0.48,0.06,0.84,0.1
0.87,0.93,0.41,0.68,0.16,0.65,0.33,0.24,0.51,0.45,0.42,0.39,0.51,0.13,0.33,0.95,0.05,0.73,0.13,0.54,0.05,0.8,0.13
0.88,0.93,0.4,0.71,0.14,0.68,0.31,0.32,0.48,0.5,0.4,0.38,0.48,0.11,0.31,0.93,0.07,0.78,0.1,0.44,0.07,0.83,0.1
0.9,0.94,0.33,0.83,0.09,0.81,0.19,0.46,0.5,0.64,0.34,0.13,0.5,0.04,0.19,0.88,0.11,0.74,0.14,0.38,0.11,0.76,0.14
0.9,0.95,0.3,0.88,0.06,0.88,0.12,0.58,0.41,0.73,0.27,0.06,0.41,0.02,0.12,0.85,0.14,0.79,0.13,0.34,0.14,0.76,0.13
0.9,0.95,0.29,0.9,0.05,0.9,0.1,0.64,0.35,0.77,0.22,0.05,0.35,0.0,0.1,0.84,0.15,0.73,0.22,0.32,0.15,0.43,0.22
0.9,0.95,0.29,0.9,0.05,0.9,0.1,0.63,0.36,0.77,0.23,0.05,0.36,0.0,0.1,0.84,0.15,0.74,0.22,0.32,0.15,0.43,0.22
0.9,0.95,0.31,0.87,0.06,0.87,0.13,0.55,0.43,0.71,0.28,0.07,0.43,0.02,0.13,0.86,0.13,0.79,0.13,0.35,0.13,0.76,0.13
