ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.84,0.91,0.34,0.81,0.09,0.8,0.18,0.59,0.22,0.7,0.2,0.67,0.22,0.36,0.18,0.9,0.1,0.57,0.2,0.33,0.1,0.73,0.2
0.89,0.94,0.3,0.93,0.03,0.93,0.07,0.83,0.13,0.88,0.1,0.61,0.13,0.25,0.07,0.84,0.15,0.73,0.16,0.29,0.15,0.73,0.16
0.9,0.95,0.1,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.17,0.02,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.12,1.0,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.11,0.03,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.13,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.1,0.04,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.27,0.95,0.02,0.95,0.04,0.85,0.13,0.9,0.09,0.45,0.13,0.14,0.04,0.83,0.16,0.88,0.08,0.29,0.16,0.83,0.08
0.89,0.94,0.34,0.9,0.05,0.9,0.1,0.73,0.2,0.81,0.15,0.56,0.2,0.26,0.1,0.86,0.13,0.68,0.18,0.31,0.13,0.71,0.18
0.9,0.95,0.27,0.95,0.02,0.96,0.04,0.85,0.13,0.91,0.09,0.46,0.13,0.15,0.04,0.83,0.16,0.85,0.1,0.3,0.16,0.79,0.1
0.9,0.94,0.33,0.92,0.04,0.91,0.09,0.81,0.15,0.86,0.12,0.6,0.15,0.19,0.09,0.85,0.15,0.84,0.09,0.29,0.15,0.83,0.09
0.9,0.94,0.33,0.93,0.04,0.92,0.08,0.83,0.13,0.88,0.11,0.62,0.13,0.2,0.08,0.84,0.15,0.83,0.1,0.29,0.15,0.81,0.1
0.9,0.95,0.19,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.27,0.08,0.08,0.01,0.81,0.18,0.9,0.07,0.29,0.18,0.78,0.07
0.9,0.95,0.33,0.93,0.03,0.93,0.07,0.85,0.12,0.89,0.1,0.63,0.12,0.19,0.07,0.84,0.15,0.88,0.07,0.29,0.15,0.85,0.07
0.9,0.95,0.22,0.97,0.01,0.98,0.02,0.87,0.12,0.93,0.07,0.26,0.12,0.16,0.02,0.82,0.17,0.67,0.24,0.3,0.17,0.51,0.24
0.9,0.95,0.26,0.96,0.02,0.96,0.04,0.83,0.16,0.9,0.1,0.31,0.16,0.11,0.04,0.83,0.16,0.83,0.11,0.31,0.16,0.74,0.11
0.9,0.95,0.27,0.95,0.02,0.95,0.04,0.85,0.14,0.9,0.09,0.44,0.14,0.14,0.04,0.83,0.16,0.87,0.08,0.3,0.16,0.82,0.08
0.9,0.95,0.15,0.99,0.01,0.99,0.01,0.94,0.06,0.96,0.03,0.16,0.06,0.03,0.01,0.8,0.18,0.96,0.03,0.29,0.18,0.9,0.03
0.9,0.95,0.32,0.94,0.03,0.94,0.06,0.83,0.14,0.89,0.1,0.54,0.14,0.16,0.06,0.84,0.15,0.89,0.07,0.29,0.15,0.85,0.07
0.9,0.95,0.14,0.99,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.25,0.03,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.37,0.89,0.05,0.89,0.1,0.68,0.24,0.79,0.17,0.53,0.24,0.23,0.1,0.88,0.12,0.71,0.17,0.33,0.12,0.71,0.17
0.9,0.95,0.34,0.93,0.03,0.93,0.06,0.8,0.16,0.86,0.11,0.56,0.16,0.18,0.06,0.85,0.14,0.84,0.1,0.3,0.14,0.79,0.1
0.9,0.95,0.29,0.95,0.03,0.95,0.05,0.84,0.14,0.9,0.1,0.46,0.14,0.13,0.05,0.83,0.16,0.9,0.07,0.3,0.16,0.85,0.07
0.9,0.95,0.19,0.98,0.01,0.99,0.01,0.91,0.08,0.95,0.04,0.21,0.08,0.05,0.01,0.81,0.18,0.99,0.01,0.29,0.18,0.96,0.01
