ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.27,0.9,0.05,0.9,0.1,0.63,0.35,0.77,0.22,0.1,0.35,0.08,0.1,0.85,0.14,0.49,0.3,0.35,0.14,0.58,0.3
0.89,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.81,0.88,0.36,0.71,0.13,0.69,0.27,0.33,0.32,0.51,0.3,0.62,0.32,0.34,0.27,0.95,0.05,0.53,0.21,0.47,0.05,0.73,0.21
0.88,0.93,0.37,0.84,0.08,0.85,0.15,0.5,0.38,0.68,0.27,0.4,0.38,0.22,0.15,0.9,0.09,0.59,0.23,0.4,0.09,0.65,0.23
0.89,0.94,0.13,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.08,0.04,0.0,1.0,0.79,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.16,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.05,0.07,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.09,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.19,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.06,0.11,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.89,0.94,0.19,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.06,0.11,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.89,0.94,0.2,0.98,0.01,0.0,1.0,0.88,0.12,0.44,0.56,0.03,0.12,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.87,0.93,0.39,0.78,0.1,0.78,0.2,0.37,0.45,0.57,0.33,0.4,0.45,0.2,0.2,0.93,0.06,0.6,0.21,0.49,0.06,0.69,0.21
0.9,0.94,0.27,0.94,0.03,0.95,0.05,0.73,0.26,0.84,0.15,0.1,0.26,0.06,0.05,0.84,0.15,0.64,0.25,0.33,0.15,0.56,0.25
0.9,0.94,0.26,0.94,0.03,0.95,0.05,0.73,0.26,0.84,0.15,0.08,0.26,0.04,0.05,0.83,0.15,0.74,0.17,0.33,0.15,0.65,0.17
0.89,0.94,0.37,0.86,0.07,0.87,0.12,0.47,0.46,0.67,0.29,0.24,0.46,0.15,0.12,0.91,0.09,0.58,0.26,0.44,0.09,0.59,0.26
0.89,0.94,0.16,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.05,0.07,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.95,0.37,0.88,0.06,0.91,0.09,0.51,0.44,0.71,0.27,0.18,0.44,0.1,0.09,0.9,0.1,0.65,0.24,0.42,0.1,0.57,0.24
0.9,0.95,0.37,0.88,0.06,0.91,0.09,0.52,0.43,0.72,0.26,0.19,0.43,0.1,0.09,0.89,0.1,0.67,0.22,0.42,0.1,0.6,0.22
0.89,0.94,0.25,0.95,0.03,0.96,0.04,0.77,0.23,0.86,0.14,0.1,0.23,0.06,0.04,0.83,0.16,0.64,0.25,0.32,0.16,0.56,0.25
0.89,0.94,0.41,0.81,0.09,0.82,0.17,0.4,0.44,0.61,0.3,0.38,0.44,0.18,0.17,0.93,0.07,0.67,0.19,0.47,0.07,0.69,0.19
0.9,0.94,0.28,0.94,0.03,0.95,0.05,0.71,0.28,0.83,0.17,0.11,0.28,0.07,0.05,0.84,0.15,0.64,0.25,0.34,0.15,0.54,0.25
0.9,0.94,0.38,0.88,0.06,0.91,0.09,0.5,0.43,0.71,0.26,0.24,0.43,0.16,0.09,0.9,0.09,0.58,0.28,0.43,0.09,0.54,0.28
0.89,0.94,0.25,0.95,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.1,0.21,0.05,0.04,0.82,0.16,0.71,0.21,0.32,0.16,0.58,0.21
0.89,0.94,0.39,0.83,0.08,0.84,0.16,0.43,0.44,0.64,0.3,0.33,0.44,0.16,0.16,0.92,0.08,0.66,0.2,0.45,0.08,0.68,0.2
0.9,0.95,0.31,0.92,0.04,0.94,0.06,0.64,0.35,0.79,0.2,0.08,0.35,0.05,0.06,0.86,0.13,0.67,0.24,0.36,0.13,0.55,0.24
0.9,0.94,0.25,0.95,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.07,0.23,0.04,0.04,0.83,0.16,0.72,0.19,0.32,0.16,0.61,0.19
0.9,0.95,0.31,0.92,0.04,0.94,0.06,0.65,0.34,0.79,0.2,0.08,0.34,0.04,0.06,0.86,0.13,0.68,0.22,0.36,0.13,0.58,0.22
0.89,0.94,0.21,0.97,0.02,0.97,0.03,0.84,0.16,0.91,0.1,0.05,0.16,0.01,0.03,0.81,0.17,0.93,0.05,0.3,0.17,0.85,0.05
0.9,0.95,0.31,0.93,0.04,0.95,0.05,0.66,0.33,0.8,0.19,0.08,0.33,0.05,0.05,0.85,0.13,0.65,0.25,0.36,0.13,0.52,0.25
0.89,0.94,0.21,0.97,0.02,0.97,0.03,0.83,0.16,0.9,0.1,0.04,0.16,0.01,0.03,0.81,0.17,0.92,0.06,0.31,0.17,0.83,0.06
0.9,0.95,0.33,0.9,0.05,0.92,0.08,0.58,0.41,0.75,0.24,0.07,0.41,0.04,0.08,0.87,0.12,0.65,0.24,0.39,0.12,0.57,0.24
0.9,0.95,0.37,0.86,0.07,0.88,0.12,0.47,0.49,0.68,0.3,0.13,0.49,0.05,0.12,0.9,0.09,0.78,0.14,0.44,0.09,0.72,0.14
0.9,0.94,0.38,0.84,0.08,0.85,0.15,0.45,0.47,0.65,0.31,0.23,0.47,0.09,0.15,0.91,0.08,0.74,0.15,0.44,0.08,0.73,0.15
0.89,0.94,0.4,0.81,0.1,0.81,0.18,0.37,0.52,0.59,0.35,0.26,0.52,0.11,0.18,0.93,0.06,0.71,0.16,0.51,0.06,0.72,0.16
0.88,0.93,0.4,0.78,0.11,0.78,0.21,0.36,0.46,0.57,0.34,0.38,0.46,0.17,0.21,0.94,0.06,0.68,0.17,0.49,0.06,0.73,0.17
0.9,0.95,0.35,0.89,0.05,0.91,0.09,0.54,0.44,0.73,0.27,0.1,0.44,0.04,0.09,0.88,0.11,0.74,0.17,0.4,0.11,0.66,0.17
0.88,0.93,0.41,0.8,0.1,0.81,0.18,0.4,0.43,0.6,0.3,0.41,0.43,0.19,0.18,0.93,0.07,0.66,0.19,0.47,0.07,0.7,0.19
0.89,0.94,0.41,0.79,0.1,0.8,0.2,0.36,0.48,0.58,0.34,0.34,0.48,0.14,0.2,0.94,0.06,0.7,0.17,0.5,0.06,0.73,0.17
0.9,0.95,0.37,0.86,0.07,0.88,0.12,0.48,0.47,0.68,0.29,0.15,0.47,0.05,0.12,0.9,0.09,0.81,0.12,0.43,0.09,0.75,0.12
0.89,0.94,0.39,0.82,0.09,0.83,0.17,0.42,0.48,0.62,0.33,0.25,0.48,0.1,0.17,0.92,0.08,0.75,0.15,0.46,0.08,0.74,0.15
0.89,0.94,0.39,0.81,0.09,0.81,0.18,0.39,0.52,0.6,0.35,0.24,0.52,0.09,0.18,0.92,0.07,0.76,0.14,0.49,0.07,0.76,0.14
0.88,0.93,0.39,0.77,0.11,0.76,0.23,0.33,0.51,0.55,0.37,0.31,0.51,0.12,0.23,0.94,0.06,0.71,0.15,0.52,0.06,0.76,0.15
0.89,0.94,0.4,0.78,0.11,0.78,0.22,0.35,0.51,0.56,0.36,0.29,0.51,0.11,0.22,0.94,0.06,0.73,0.15,0.51,0.06,0.76,0.15
0.88,0.93,0.4,0.78,0.11,0.77,0.22,0.36,0.46,0.56,0.34,0.38,0.46,0.15,0.22,0.93,0.06,0.7,0.16,0.49,0.06,0.75,0.16
0.86,0.92,0.4,0.74,0.12,0.73,0.25,0.35,0.39,0.54,0.32,0.51,0.39,0.23,0.25,0.94,0.06,0.64,0.17,0.47,0.06,0.75,0.17
