ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.32,0.92,0.04,0.93,0.07,0.8,0.14,0.86,0.11,0.66,0.14,0.39,0.07,0.86,0.14,0.59,0.24,0.3,0.14,0.63,0.24
0.9,0.95,0.27,0.98,0.01,0.99,0.01,0.95,0.04,0.97,0.03,0.79,0.04,0.57,0.01,0.82,0.17,0.62,0.28,0.28,0.17,0.49,0.28
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.23,0.98,0.01,0.99,0.01,0.96,0.04,0.97,0.03,0.66,0.04,0.26,0.01,0.81,0.18,0.83,0.12,0.28,0.18,0.67,0.12
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.84,0.91,0.36,0.87,0.06,0.88,0.11,0.73,0.13,0.8,0.12,0.8,0.13,0.51,0.11,0.9,0.1,0.52,0.25,0.29,0.1,0.66,0.25
0.9,0.95,0.14,0.99,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.46,0.03,0.11,0.01,0.8,0.19,0.96,0.03,0.28,0.19,0.92,0.03
0.9,0.94,0.1,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.69,0.01,0.08,0.0,0.79,0.19,0.83,0.13,0.28,0.19,0.6,0.13
0.89,0.94,0.36,0.93,0.04,0.95,0.05,0.78,0.15,0.86,0.1,0.68,0.15,0.48,0.05,0.87,0.12,0.57,0.28,0.31,0.12,0.55,0.28
0.9,0.95,0.19,0.99,0.01,0.99,0.01,0.98,0.02,0.98,0.01,0.74,0.02,0.22,0.01,0.8,0.18,0.9,0.07,0.28,0.18,0.83,0.07
0.89,0.94,0.26,0.97,0.02,0.97,0.03,0.93,0.06,0.95,0.04,0.74,0.06,0.4,0.03,0.82,0.17,0.66,0.22,0.28,0.17,0.62,0.22
0.9,0.94,0.07,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.35,0.01,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.3,0.94,0.03,0.95,0.05,0.79,0.18,0.87,0.11,0.44,0.18,0.19,0.05,0.84,0.15,0.74,0.17,0.31,0.15,0.68,0.17
0.9,0.95,0.15,0.99,0.0,0.99,0.01,0.98,0.02,0.98,0.01,0.61,0.02,0.15,0.01,0.8,0.19,0.97,0.02,0.28,0.19,0.92,0.02
0.9,0.95,0.15,0.99,0.0,0.99,0.01,0.98,0.02,0.98,0.01,0.61,0.02,0.05,0.01,0.8,0.19,0.75,0.2,0.28,0.19,0.5,0.2
0.9,0.95,0.11,1.0,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.41,0.02,0.15,0.0,0.8,0.19,0.9,0.08,0.28,0.19,0.67,0.08
