ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.86,0.92,0.35,0.83,0.08,0.8,0.19,0.73,0.15,0.77,0.17,0.74,0.15,0.3,0.19,0.86,0.13,0.65,0.16,0.26,0.13,0.77,0.16
0.52,0.64,0.22,0.58,0.14,0.57,0.22,0.61,0.06,0.59,0.14,0.93,0.06,0.69,0.22,0.91,0.09,0.36,0.21,0.21,0.09,0.76,0.21
0.89,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.33,0.86,0.07,0.84,0.15,0.65,0.28,0.74,0.22,0.44,0.28,0.15,0.15,0.85,0.14,0.76,0.12,0.3,0.14,0.8,0.12
0.9,0.95,0.14,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.72,0.82,0.33,0.67,0.14,0.64,0.27,0.53,0.13,0.58,0.2,0.85,0.13,0.48,0.27,0.92,0.08,0.47,0.21,0.27,0.08,0.74,0.21
0.9,0.95,0.2,0.97,0.01,0.98,0.02,0.86,0.14,0.92,0.08,0.08,0.14,0.05,0.02,0.8,0.18,0.67,0.25,0.28,0.18,0.5,0.25
0.9,0.95,0.18,0.98,0.01,0.99,0.01,0.91,0.09,0.95,0.05,0.08,0.09,0.05,0.01,0.79,0.19,0.78,0.19,0.28,0.19,0.43,0.19
0.9,0.94,0.13,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.22,0.97,0.02,0.98,0.02,0.84,0.15,0.91,0.08,0.11,0.15,0.04,0.02,0.81,0.18,0.86,0.1,0.29,0.18,0.73,0.1
0.9,0.95,0.16,0.99,0.0,0.0,1.0,0.94,0.06,0.47,0.53,0.06,0.06,0.0,1.0,0.79,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.69,0.8,0.32,0.62,0.15,0.59,0.29,0.47,0.12,0.53,0.2,0.87,0.12,0.49,0.29,0.93,0.06,0.47,0.2,0.27,0.06,0.76,0.2
0.86,0.92,0.4,0.79,0.1,0.77,0.21,0.61,0.2,0.69,0.21,0.72,0.2,0.28,0.21,0.89,0.1,0.67,0.16,0.29,0.1,0.76,0.16
0.9,0.94,0.32,0.91,0.05,0.91,0.09,0.7,0.25,0.8,0.17,0.39,0.25,0.16,0.09,0.85,0.14,0.7,0.18,0.31,0.14,0.7,0.18
0.9,0.95,0.17,0.99,0.01,1.0,0.0,0.92,0.08,0.96,0.04,0.04,0.08,0.07,0.0,0.79,0.19,0.56,0.39,0.28,0.19,0.22,0.39
0.9,0.95,0.27,0.95,0.03,0.96,0.04,0.77,0.23,0.86,0.14,0.13,0.23,0.04,0.04,0.83,0.16,0.85,0.11,0.3,0.16,0.74,0.11
0.9,0.95,0.29,0.93,0.04,0.93,0.07,0.74,0.24,0.83,0.15,0.27,0.24,0.1,0.07,0.83,0.16,0.75,0.16,0.3,0.16,0.7,0.16
0.9,0.95,0.17,0.99,0.01,0.0,1.0,0.92,0.08,0.46,0.54,0.05,0.08,0.0,1.0,0.79,0.19,0.0,1.0,0.27,0.19,0.0,1.0
0.9,0.95,0.29,0.94,0.03,0.95,0.05,0.76,0.23,0.85,0.14,0.23,0.23,0.06,0.05,0.83,0.16,0.88,0.08,0.3,0.16,0.81,0.08
0.9,0.95,0.19,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.16,0.08,0.1,0.01,0.79,0.19,0.78,0.19,0.27,0.19,0.43,0.19
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.18,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.95,0.29,0.94,0.03,0.95,0.05,0.76,0.23,0.85,0.14,0.22,0.23,0.05,0.05,0.83,0.16,0.95,0.03,0.3,0.16,0.91,0.03
0.82,0.89,0.39,0.73,0.12,0.71,0.25,0.53,0.18,0.62,0.21,0.77,0.18,0.34,0.25,0.91,0.08,0.6,0.18,0.29,0.08,0.75,0.18
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.21,0.97,0.01,0.98,0.02,0.88,0.12,0.93,0.07,0.17,0.12,0.05,0.02,0.8,0.18,0.87,0.1,0.28,0.18,0.71,0.1
