ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.32,0.17,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.32,0.17,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.32,0.17,0.0,1.0
0.89,0.94,0.11,0.99,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.1,0.03,0.0,1.0,0.82,0.16,0.0,1.0,0.33,0.16,0.0,1.0
0.89,0.94,0.33,0.93,0.03,0.94,0.06,0.81,0.14,0.88,0.1,0.64,0.14,0.34,0.06,0.87,0.12,0.71,0.17,0.35,0.12,0.7,0.17
0.89,0.94,0.27,0.96,0.02,0.97,0.03,0.86,0.12,0.92,0.07,0.55,0.12,0.34,0.03,0.85,0.13,0.68,0.21,0.35,0.13,0.62,0.21
0.89,0.94,0.16,0.99,0.0,1.0,0.0,0.94,0.06,0.97,0.03,0.15,0.06,0.16,0.0,0.83,0.16,0.81,0.17,0.34,0.16,0.31,0.17
0.89,0.94,0.3,0.95,0.03,0.96,0.04,0.8,0.17,0.88,0.11,0.51,0.17,0.32,0.04,0.87,0.12,0.67,0.22,0.36,0.12,0.62,0.22
0.89,0.94,0.11,1.0,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.12,0.03,0.0,1.0,0.82,0.16,0.0,1.0,0.33,0.16,0.0,1.0
0.89,0.94,0.29,0.95,0.02,0.96,0.04,0.83,0.15,0.9,0.1,0.52,0.15,0.33,0.04,0.86,0.13,0.67,0.21,0.36,0.13,0.63,0.21
0.89,0.94,0.32,0.95,0.02,0.96,0.04,0.84,0.12,0.9,0.08,0.64,0.12,0.41,0.04,0.87,0.12,0.67,0.22,0.35,0.12,0.62,0.22
0.73,0.83,0.33,0.73,0.11,0.71,0.22,0.51,0.14,0.61,0.18,0.84,0.14,0.53,0.22,0.95,0.05,0.54,0.18,0.38,0.05,0.78,0.18
0.89,0.94,0.16,0.99,0.01,1.0,0.0,0.93,0.07,0.97,0.04,0.24,0.07,0.63,0.0,0.83,0.15,0.49,0.45,0.34,0.15,0.21,0.45
0.89,0.94,0.2,0.98,0.01,0.99,0.01,0.9,0.09,0.95,0.05,0.38,0.09,0.38,0.01,0.84,0.15,0.6,0.3,0.34,0.15,0.45,0.3
0.89,0.94,0.17,0.99,0.01,0.99,0.01,0.93,0.07,0.96,0.04,0.28,0.07,0.36,0.01,0.83,0.15,0.58,0.34,0.34,0.15,0.36,0.34
