ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.1,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.8,0.32,0.31,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.14,0.0,1.0,0.43,0.14
0.81,0.44,0.39,0.03,0.13,0.03,0.36,0.04,0.06,0.04,0.21,0.94,0.06,0.63,0.36,0.51,0.36,0.87,0.11,0.44,0.36,0.48,0.11
0.82,0.49,0.42,0.04,0.15,0.05,0.41,0.06,0.07,0.06,0.24,0.93,0.07,0.58,0.41,0.56,0.31,0.89,0.1,0.48,0.31,0.51,0.1
0.82,0.52,0.44,0.05,0.16,0.07,0.44,0.06,0.08,0.07,0.26,0.92,0.08,0.54,0.44,0.66,0.24,0.9,0.09,0.56,0.24,0.53,0.09
0.82,0.52,0.44,0.04,0.16,0.07,0.45,0.04,0.08,0.06,0.27,0.92,0.08,0.54,0.45,0.71,0.2,0.9,0.09,0.6,0.2,0.54,0.09
0.82,0.54,0.45,0.04,0.17,0.07,0.48,0.04,0.09,0.06,0.28,0.91,0.09,0.51,0.48,0.79,0.15,0.91,0.08,0.67,0.15,0.56,0.08
0.82,0.54,0.46,0.04,0.17,0.07,0.48,0.04,0.09,0.06,0.28,0.91,0.09,0.5,0.48,0.79,0.15,0.91,0.08,0.68,0.15,0.56,0.08
0.82,0.54,0.45,0.03,0.17,0.05,0.49,0.03,0.09,0.04,0.29,0.91,0.09,0.5,0.49,0.81,0.14,0.91,0.08,0.69,0.14,0.56,0.08
0.83,0.54,0.46,0.02,0.17,0.05,0.48,0.02,0.09,0.04,0.28,0.91,0.09,0.5,0.48,0.91,0.06,0.91,0.08,0.83,0.06,0.56,0.08
0.83,0.55,0.46,0.02,0.18,0.05,0.5,0.02,0.1,0.04,0.3,0.9,0.1,0.48,0.5,0.93,0.05,0.92,0.08,0.86,0.05,0.58,0.08
0.83,0.55,0.46,0.03,0.18,0.06,0.51,0.02,0.1,0.04,0.3,0.9,0.1,0.47,0.51,1.0,0.0,0.92,0.07,1.0,0.0,0.58,0.07
0.83,0.55,0.46,0.03,0.18,0.07,0.5,0.02,0.1,0.05,0.3,0.9,0.1,0.48,0.5,0.98,0.01,0.92,0.08,0.95,0.01,0.58,0.08
0.83,0.56,0.47,0.03,0.19,0.08,0.51,0.02,0.11,0.05,0.31,0.89,0.11,0.47,0.51,0.89,0.08,0.92,0.07,0.75,0.08,0.59,0.07
0.83,0.57,0.47,0.05,0.19,0.15,0.48,0.02,0.12,0.08,0.3,0.88,0.12,0.47,0.48,0.81,0.16,0.92,0.07,0.52,0.16,0.58,0.07
0.83,0.58,0.48,0.07,0.18,0.2,0.45,0.02,0.11,0.11,0.28,0.89,0.11,0.49,0.45,0.82,0.15,0.92,0.08,0.54,0.15,0.56,0.08
0.83,0.57,0.48,0.08,0.18,0.22,0.43,0.03,0.1,0.12,0.27,0.89,0.1,0.51,0.43,0.85,0.12,0.91,0.08,0.62,0.12,0.55,0.08
0.83,0.58,0.49,0.11,0.17,0.3,0.39,0.05,0.1,0.17,0.24,0.9,0.1,0.53,0.39,0.88,0.09,0.91,0.08,0.71,0.09,0.53,0.08
0.83,0.58,0.49,0.12,0.17,0.32,0.38,0.06,0.11,0.19,0.24,0.89,0.11,0.53,0.38,0.88,0.1,0.91,0.08,0.7,0.1,0.52,0.08
0.83,0.58,0.49,0.14,0.17,0.35,0.37,0.07,0.1,0.21,0.23,0.9,0.1,0.54,0.37,0.91,0.07,0.91,0.08,0.78,0.07,0.51,0.08
0.83,0.59,0.49,0.17,0.16,0.42,0.33,0.09,0.1,0.26,0.22,0.9,0.1,0.57,0.33,0.92,0.06,0.91,0.09,0.81,0.06,0.49,0.09
0.83,0.59,0.5,0.17,0.16,0.42,0.33,0.09,0.1,0.26,0.22,0.9,0.1,0.57,0.33,0.92,0.06,0.91,0.09,0.8,0.06,0.49,0.09
0.83,0.59,0.5,0.17,0.17,0.42,0.33,0.1,0.1,0.26,0.22,0.9,0.1,0.56,0.33,0.95,0.04,0.91,0.08,0.88,0.04,0.5,0.08
0.83,0.58,0.49,0.2,0.15,0.47,0.29,0.13,0.09,0.3,0.19,0.91,0.09,0.61,0.29,0.99,0.01,0.9,0.09,0.98,0.01,0.47,0.09
0.83,0.59,0.5,0.2,0.15,0.49,0.29,0.13,0.09,0.31,0.19,0.91,0.09,0.6,0.29,0.97,0.02,0.9,0.09,0.94,0.02,0.47,0.09
0.83,0.61,0.51,0.25,0.15,0.56,0.26,0.17,0.09,0.37,0.17,0.9,0.09,0.62,0.26,0.97,0.02,0.9,0.09,0.94,0.02,0.46,0.09
0.83,0.6,0.51,0.26,0.15,0.61,0.22,0.18,0.09,0.4,0.15,0.91,0.09,0.66,0.22,0.99,0.0,0.9,0.1,0.98,0.0,0.44,0.1
0.84,0.61,0.51,0.26,0.15,0.6,0.23,0.18,0.09,0.39,0.16,0.91,0.09,0.65,0.23,0.99,0.01,0.9,0.09,0.98,0.01,0.44,0.09
0.84,0.61,0.51,0.26,0.15,0.61,0.22,0.18,0.09,0.4,0.15,0.91,0.09,0.65,0.22,1.0,0.0,0.9,0.09,0.99,0.0,0.44,0.09
0.84,0.61,0.51,0.28,0.14,0.64,0.21,0.19,0.09,0.42,0.15,0.91,0.09,0.67,0.21,0.98,0.02,0.9,0.1,0.95,0.02,0.43,0.1
0.84,0.61,0.51,0.27,0.15,0.63,0.22,0.18,0.09,0.41,0.15,0.91,0.09,0.66,0.22,1.0,0.0,0.9,0.09,1.0,0.0,0.43,0.09
0.84,0.61,0.52,0.27,0.14,0.65,0.2,0.18,0.09,0.42,0.15,0.91,0.09,0.67,0.2,1.0,0.0,0.9,0.1,1.0,0.0,0.43,0.1
0.84,0.6,0.51,0.28,0.14,0.67,0.19,0.2,0.08,0.44,0.14,0.92,0.08,0.71,0.19,0.98,0.01,0.89,0.1,0.96,0.01,0.41,0.1
0.84,0.61,0.52,0.3,0.14,0.71,0.16,0.21,0.08,0.46,0.12,0.92,0.08,0.72,0.16,0.99,0.01,0.89,0.1,0.97,0.01,0.4,0.1
0.84,0.62,0.52,0.3,0.14,0.71,0.17,0.2,0.09,0.45,0.13,0.91,0.09,0.71,0.17,1.0,0.0,0.9,0.1,0.99,0.0,0.41,0.1
0.84,0.62,0.52,0.31,0.14,0.72,0.16,0.21,0.09,0.46,0.12,0.91,0.09,0.72,0.16,1.0,0.0,0.89,0.1,0.99,0.0,0.4,0.1
0.84,0.62,0.52,0.3,0.14,0.71,0.17,0.2,0.09,0.45,0.13,0.91,0.09,0.72,0.17,1.0,0.0,0.89,0.1,0.99,0.0,0.4,0.1
0.84,0.61,0.52,0.31,0.13,0.74,0.15,0.22,0.08,0.48,0.11,0.92,0.08,0.75,0.15,0.99,0.01,0.89,0.1,0.98,0.01,0.39,0.1
0.84,0.61,0.52,0.32,0.13,0.74,0.15,0.23,0.08,0.48,0.11,0.92,0.08,0.75,0.15,0.97,0.02,0.89,0.1,0.94,0.02,0.39,0.1
0.84,0.62,0.53,0.32,0.13,0.75,0.14,0.22,0.08,0.48,0.11,0.92,0.08,0.75,0.14,0.99,0.01,0.89,0.1,0.97,0.01,0.39,0.1
0.84,0.62,0.53,0.33,0.13,0.78,0.12,0.24,0.07,0.51,0.1,0.93,0.07,0.78,0.12,0.98,0.02,0.89,0.11,0.94,0.02,0.38,0.11
0.84,0.62,0.53,0.33,0.13,0.78,0.12,0.25,0.07,0.52,0.1,0.93,0.07,0.78,0.12,0.97,0.02,0.89,0.11,0.92,0.02,0.38,0.11
0.84,0.62,0.53,0.33,0.13,0.78,0.12,0.25,0.07,0.52,0.1,0.93,0.07,0.78,0.12,0.97,0.02,0.89,0.1,0.93,0.02,0.38,0.1
0.84,0.61,0.53,0.35,0.12,0.8,0.11,0.26,0.07,0.53,0.09,0.93,0.07,0.8,0.11,0.96,0.03,0.88,0.11,0.9,0.03,0.37,0.11
0.84,0.61,0.53,0.35,0.12,0.81,0.11,0.28,0.06,0.55,0.08,0.93,0.06,0.81,0.11,0.94,0.04,0.88,0.11,0.87,0.04,0.37,0.11
0.84,0.61,0.52,0.36,0.11,0.84,0.08,0.29,0.06,0.56,0.07,0.94,0.06,0.85,0.08,0.95,0.04,0.88,0.11,0.87,0.04,0.36,0.11
0.84,0.61,0.52,0.37,0.11,0.86,0.08,0.29,0.06,0.57,0.07,0.94,0.06,0.86,0.08,0.95,0.04,0.88,0.11,0.88,0.04,0.35,0.11
