ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.08,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.77,0.14,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.39,0.18
0.79,0.32,0.29,0.01,0.1,0.02,0.24,0.0,1.0,0.01,0.62,0.0,1.0,0.76,0.24,0.0,1.0,0.84,0.15,0.0,1.0,0.44,0.15
0.79,0.42,0.35,0.05,0.13,0.06,0.33,0.07,0.07,0.07,0.2,0.93,0.07,0.66,0.33,0.52,0.32,0.86,0.12,0.5,0.32,0.47,0.12
0.8,0.44,0.37,0.09,0.13,0.12,0.33,0.12,0.07,0.12,0.2,0.93,0.07,0.65,0.33,0.57,0.29,0.87,0.12,0.52,0.29,0.48,0.12
0.8,0.47,0.39,0.09,0.14,0.12,0.36,0.12,0.07,0.12,0.21,0.93,0.07,0.62,0.36,0.57,0.3,0.88,0.11,0.51,0.3,0.5,0.11
0.81,0.48,0.4,0.1,0.14,0.15,0.36,0.11,0.07,0.13,0.21,0.93,0.07,0.62,0.36,0.69,0.21,0.88,0.11,0.59,0.21,0.5,0.11
0.81,0.5,0.42,0.1,0.15,0.17,0.38,0.11,0.08,0.14,0.23,0.92,0.08,0.59,0.38,0.74,0.18,0.89,0.1,0.64,0.18,0.51,0.1
0.81,0.51,0.42,0.12,0.15,0.18,0.38,0.13,0.08,0.15,0.23,0.92,0.08,0.58,0.38,0.66,0.23,0.89,0.1,0.58,0.23,0.51,0.1
0.81,0.51,0.42,0.1,0.16,0.17,0.39,0.09,0.09,0.13,0.24,0.91,0.09,0.57,0.39,0.79,0.14,0.89,0.1,0.7,0.14,0.52,0.1
0.81,0.52,0.43,0.08,0.17,0.14,0.42,0.07,0.1,0.11,0.26,0.9,0.1,0.55,0.42,0.84,0.11,0.9,0.09,0.76,0.11,0.53,0.09
0.81,0.52,0.43,0.07,0.17,0.13,0.42,0.05,0.1,0.09,0.26,0.9,0.1,0.55,0.42,0.9,0.07,0.9,0.09,0.82,0.07,0.53,0.09
0.81,0.52,0.43,0.06,0.17,0.12,0.42,0.04,0.09,0.08,0.26,0.91,0.09,0.55,0.42,0.94,0.04,0.9,0.09,0.89,0.04,0.53,0.09
0.81,0.52,0.43,0.05,0.17,0.11,0.43,0.03,0.09,0.07,0.26,0.91,0.09,0.55,0.43,0.94,0.05,0.9,0.09,0.85,0.05,0.54,0.09
0.81,0.53,0.44,0.04,0.18,0.11,0.45,0.02,0.1,0.07,0.28,0.9,0.1,0.52,0.45,0.86,0.11,0.9,0.09,0.65,0.11,0.55,0.09
0.82,0.54,0.45,0.05,0.18,0.12,0.46,0.02,0.1,0.07,0.28,0.9,0.1,0.51,0.46,0.83,0.14,0.91,0.08,0.56,0.14,0.56,0.08
0.82,0.54,0.45,0.05,0.18,0.14,0.45,0.02,0.1,0.08,0.28,0.9,0.1,0.52,0.45,0.84,0.13,0.9,0.09,0.59,0.13,0.55,0.09
0.82,0.57,0.47,0.06,0.19,0.16,0.47,0.02,0.12,0.09,0.29,0.88,0.12,0.48,0.47,0.79,0.18,0.92,0.08,0.46,0.18,0.58,0.08
0.82,0.57,0.46,0.06,0.19,0.18,0.46,0.01,0.12,0.1,0.29,0.88,0.12,0.49,0.46,0.77,0.2,0.91,0.08,0.38,0.2,0.57,0.08
0.82,0.56,0.46,0.08,0.18,0.22,0.42,0.02,0.1,0.12,0.26,0.89,0.1,0.53,0.42,0.78,0.19,0.91,0.09,0.4,0.19,0.54,0.09
0.82,0.56,0.47,0.1,0.17,0.27,0.39,0.03,0.11,0.15,0.25,0.89,0.11,0.54,0.39,0.81,0.16,0.9,0.09,0.51,0.16,0.53,0.09
0.82,0.58,0.48,0.12,0.18,0.32,0.38,0.04,0.11,0.18,0.24,0.89,0.11,0.54,0.38,0.81,0.16,0.91,0.09,0.5,0.16,0.53,0.09
0.83,0.58,0.48,0.14,0.16,0.4,0.33,0.05,0.1,0.23,0.22,0.9,0.1,0.59,0.33,0.82,0.15,0.9,0.09,0.5,0.15,0.5,0.09
0.83,0.58,0.49,0.16,0.16,0.42,0.31,0.05,0.1,0.23,0.21,0.9,0.1,0.6,0.31,0.83,0.15,0.9,0.09,0.52,0.15,0.49,0.09
0.83,0.59,0.49,0.15,0.17,0.41,0.34,0.05,0.11,0.23,0.23,0.89,0.11,0.56,0.34,0.83,0.14,0.91,0.09,0.55,0.14,0.51,0.09
0.83,0.6,0.5,0.16,0.17,0.44,0.32,0.05,0.11,0.24,0.21,0.89,0.11,0.57,0.32,0.81,0.16,0.9,0.09,0.51,0.16,0.5,0.09
0.83,0.58,0.49,0.17,0.16,0.45,0.3,0.06,0.1,0.26,0.2,0.9,0.1,0.61,0.3,0.84,0.13,0.9,0.09,0.56,0.13,0.48,0.09
0.83,0.59,0.5,0.18,0.16,0.48,0.29,0.07,0.1,0.28,0.2,0.9,0.1,0.61,0.29,0.84,0.13,0.9,0.09,0.57,0.13,0.48,0.09
0.83,0.59,0.5,0.21,0.15,0.54,0.25,0.1,0.09,0.32,0.17,0.91,0.09,0.64,0.25,0.89,0.08,0.89,0.1,0.72,0.08,0.46,0.1
0.83,0.59,0.5,0.22,0.15,0.55,0.24,0.11,0.09,0.33,0.16,0.91,0.09,0.65,0.24,0.91,0.07,0.89,0.1,0.77,0.07,0.46,0.1
0.83,0.6,0.5,0.23,0.15,0.56,0.24,0.12,0.09,0.34,0.16,0.91,0.09,0.65,0.24,0.93,0.05,0.89,0.1,0.82,0.05,0.46,0.1
0.83,0.6,0.51,0.24,0.15,0.58,0.23,0.13,0.09,0.35,0.16,0.91,0.09,0.66,0.23,0.93,0.05,0.89,0.1,0.83,0.05,0.45,0.1
0.83,0.6,0.51,0.23,0.15,0.58,0.23,0.12,0.09,0.35,0.16,0.91,0.09,0.66,0.23,0.91,0.07,0.89,0.1,0.76,0.07,0.45,0.1
