ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.08,0.08,0.0,0.21,0.01,0.0,1.0,0.1,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.77,0.06,0.13,0.16,0.01,0.31,0.02,0.28,0.0,0.3,0.01,1.0,0.0,0.98,0.02,0.78,0.19,0.8,0.18,0.44,0.19,0.4,0.18
0.79,0.31,0.29,0.19,0.07,0.24,0.17,0.3,0.03,0.27,0.1,0.97,0.03,0.82,0.17,0.53,0.34,0.84,0.14,0.45,0.34,0.44,0.14
0.78,0.27,0.27,0.16,0.06,0.28,0.13,0.22,0.02,0.25,0.07,0.98,0.02,0.86,0.13,0.71,0.22,0.83,0.15,0.54,0.22,0.43,0.15
0.79,0.36,0.31,0.42,0.06,0.52,0.13,0.73,0.01,0.62,0.07,0.99,0.01,0.85,0.13,0.51,0.36,0.84,0.14,0.43,0.36,0.43,0.14
0.8,0.51,0.4,0.29,0.13,0.36,0.31,0.36,0.07,0.36,0.19,0.93,0.07,0.63,0.31,0.56,0.29,0.89,0.1,0.55,0.29,0.51,0.1
0.79,0.33,0.3,0.54,0.04,0.71,0.07,0.99,0.0,0.85,0.04,1.0,0.0,0.92,0.07,0.54,0.35,0.83,0.15,0.4,0.35,0.4,0.15
0.8,0.42,0.36,0.27,0.09,0.39,0.2,0.37,0.03,0.38,0.12,0.96,0.03,0.77,0.2,0.64,0.26,0.86,0.13,0.52,0.26,0.45,0.13
0.81,0.45,0.39,0.07,0.13,0.16,0.32,0.05,0.07,0.11,0.2,0.93,0.07,0.65,0.32,1.0,0.0,0.88,0.11,0.99,0.0,0.5,0.11
0.79,0.39,0.33,0.6,0.04,0.76,0.07,0.91,0.0,0.83,0.04,1.0,0.0,0.91,0.07,0.52,0.36,0.84,0.14,0.41,0.36,0.41,0.14
0.8,0.55,0.43,0.1,0.2,0.17,0.48,0.08,0.15,0.12,0.32,0.85,0.15,0.47,0.48,0.83,0.1,0.92,0.07,0.79,0.1,0.61,0.07
0.81,0.49,0.41,0.08,0.15,0.17,0.36,0.05,0.08,0.11,0.22,0.92,0.08,0.61,0.36,1.0,0.0,0.89,0.1,0.99,0.0,0.53,0.1
0.79,0.28,0.3,0.24,0.05,0.53,0.09,0.26,0.01,0.4,0.05,0.99,0.01,0.91,0.09,0.91,0.08,0.82,0.16,0.7,0.08,0.41,0.16
0.79,0.54,0.4,0.54,0.1,0.66,0.18,0.67,0.05,0.67,0.11,0.95,0.05,0.72,0.18,0.54,0.29,0.89,0.1,0.56,0.29,0.46,0.1
0.8,0.46,0.38,0.39,0.08,0.55,0.17,0.59,0.02,0.57,0.1,0.98,0.02,0.79,0.17,0.6,0.29,0.86,0.13,0.48,0.29,0.44,0.13
0.8,0.46,0.38,0.51,0.07,0.74,0.1,0.75,0.02,0.74,0.06,0.98,0.02,0.87,0.1,0.61,0.28,0.85,0.13,0.5,0.28,0.41,0.13
0.8,0.43,0.37,0.41,0.07,0.58,0.14,0.63,0.02,0.6,0.08,0.98,0.02,0.83,0.14,0.6,0.29,0.85,0.13,0.47,0.29,0.43,0.13
0.8,0.52,0.4,0.57,0.08,0.76,0.11,0.75,0.03,0.76,0.07,0.97,0.03,0.82,0.11,0.57,0.28,0.87,0.12,0.55,0.28,0.42,0.12
0.78,0.27,0.27,0.86,0.01,0.81,0.04,0.46,0.02,0.64,0.03,0.98,0.02,0.96,0.04,0.56,0.37,0.81,0.17,0.31,0.37,0.37,0.17
0.78,0.18,0.25,0.57,0.01,0.86,0.02,0.91,0.0,0.89,0.01,1.0,0.0,0.98,0.02,0.82,0.16,0.8,0.18,0.4,0.16,0.38,0.18
0.79,0.32,0.3,0.69,0.02,0.97,0.01,0.64,0.01,0.8,0.01,0.99,0.01,0.99,0.01,0.56,0.36,0.82,0.16,0.35,0.36,0.38,0.16
0.81,0.44,0.39,0.18,0.1,0.33,0.23,0.21,0.04,0.27,0.14,0.96,0.04,0.74,0.23,0.79,0.15,0.86,0.12,0.63,0.15,0.47,0.12
0.81,0.49,0.41,0.29,0.11,0.45,0.23,0.35,0.05,0.4,0.14,0.95,0.05,0.71,0.23,0.69,0.22,0.88,0.11,0.58,0.22,0.47,0.11
0.79,0.26,0.3,0.24,0.04,0.56,0.07,0.22,0.01,0.39,0.04,0.99,0.01,0.92,0.07,0.96,0.03,0.82,0.16,0.83,0.03,0.4,0.16
0.8,0.42,0.35,0.88,0.01,0.81,0.07,0.57,0.03,0.69,0.05,0.97,0.03,0.9,0.07,0.55,0.35,0.83,0.16,0.39,0.35,0.35,0.16
0.78,0.24,0.27,0.67,0.01,0.8,0.03,0.76,0.0,0.78,0.01,1.0,0.0,0.96,0.03,0.73,0.23,0.81,0.17,0.4,0.23,0.37,0.17
0.79,0.24,0.28,0.64,0.02,0.82,0.03,0.82,0.0,0.82,0.01,1.0,0.0,0.97,0.03,0.76,0.2,0.81,0.17,0.41,0.2,0.37,0.17
0.81,0.49,0.41,0.32,0.1,0.5,0.21,0.4,0.04,0.45,0.12,0.96,0.04,0.74,0.21,0.69,0.22,0.87,0.12,0.56,0.22,0.46,0.12
0.79,0.29,0.32,0.17,0.05,0.43,0.11,0.11,0.01,0.27,0.06,0.99,0.01,0.88,0.11,0.97,0.03,0.83,0.15,0.83,0.03,0.42,0.15
0.79,0.26,0.3,0.16,0.05,0.39,0.1,0.11,0.01,0.25,0.06,0.99,0.01,0.89,0.1,0.98,0.02,0.82,0.16,0.88,0.02,0.42,0.16
0.78,0.19,0.26,0.31,0.02,0.75,0.03,0.34,0.0,0.55,0.01,1.0,0.0,0.97,0.03,0.96,0.04,0.81,0.17,0.72,0.04,0.39,0.17
0.81,0.39,0.38,0.11,0.09,0.29,0.21,0.05,0.03,0.17,0.12,0.97,0.03,0.77,0.21,0.9,0.09,0.85,0.13,0.61,0.09,0.45,0.13
0.81,0.49,0.42,0.08,0.15,0.2,0.35,0.03,0.08,0.12,0.21,0.92,0.08,0.62,0.35,0.83,0.15,0.89,0.1,0.51,0.15,0.52,0.1
0.8,0.39,0.37,0.06,0.1,0.15,0.26,0.02,0.04,0.08,0.15,0.96,0.04,0.73,0.26,0.86,0.13,0.86,0.12,0.44,0.13,0.48,0.12
0.81,0.54,0.44,0.23,0.14,0.41,0.3,0.21,0.09,0.31,0.2,0.91,0.09,0.63,0.3,0.83,0.11,0.89,0.1,0.74,0.11,0.5,0.1
0.81,0.42,0.39,0.19,0.09,0.44,0.18,0.14,0.03,0.29,0.1,0.96,0.03,0.79,0.18,0.99,0.01,0.85,0.13,0.96,0.01,0.44,0.13
0.79,0.28,0.32,0.19,0.05,0.47,0.1,0.13,0.01,0.3,0.06,0.99,0.01,0.89,0.1,0.98,0.02,0.83,0.15,0.89,0.02,0.41,0.15
0.79,0.25,0.3,0.24,0.04,0.61,0.06,0.18,0.01,0.4,0.03,0.99,0.01,0.93,0.06,0.99,0.01,0.82,0.16,0.95,0.01,0.4,0.16
0.79,0.25,0.3,0.27,0.04,0.67,0.05,0.18,0.01,0.43,0.03,0.99,0.01,0.94,0.05,0.99,0.01,0.82,0.16,0.91,0.01,0.4,0.16
0.8,0.31,0.34,0.2,0.05,0.48,0.11,0.13,0.01,0.3,0.06,0.99,0.01,0.88,0.11,0.98,0.01,0.83,0.15,0.9,0.01,0.42,0.15
0.8,0.36,0.37,0.1,0.08,0.27,0.19,0.04,0.03,0.15,0.11,0.97,0.03,0.79,0.19,0.9,0.09,0.85,0.14,0.52,0.09,0.45,0.14
0.82,0.57,0.47,0.31,0.14,0.53,0.26,0.29,0.08,0.41,0.17,0.91,0.08,0.63,0.26,0.79,0.14,0.9,0.09,0.71,0.14,0.5,0.09
0.82,0.54,0.46,0.22,0.13,0.49,0.24,0.16,0.06,0.33,0.15,0.93,0.06,0.69,0.24,0.98,0.01,0.88,0.1,0.96,0.01,0.47,0.1
