ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.05,0.09,0.85,0.0,0.77,0.01,0.22,0.01,0.49,0.01,0.99,0.01,0.99,0.01,0.37,0.55,0.77,0.2,0.19,0.55,0.34,0.2
0.78,0.37,0.28,0.55,0.05,0.36,0.19,0.9,0.01,0.63,0.1,0.99,0.01,0.79,0.19,0.24,0.54,0.83,0.15,0.36,0.54,0.4,0.15
0.78,0.56,0.41,0.33,0.16,0.23,0.48,0.44,0.1,0.34,0.29,0.89,0.1,0.44,0.48,0.29,0.43,0.92,0.07,0.48,0.43,0.58,0.07
0.77,0.6,0.45,0.19,0.25,0.16,0.66,0.19,0.24,0.17,0.45,0.75,0.24,0.24,0.66,0.38,0.34,0.98,0.02,0.57,0.34,0.82,0.02
0.79,0.61,0.47,0.12,0.27,0.13,0.68,0.11,0.25,0.12,0.47,0.75,0.25,0.25,0.68,0.5,0.28,0.97,0.02,0.61,0.28,0.8,0.02
0.8,0.59,0.46,0.05,0.25,0.07,0.64,0.05,0.2,0.06,0.42,0.8,0.2,0.33,0.64,0.61,0.23,0.95,0.05,0.63,0.23,0.67,0.05
0.81,0.55,0.45,0.03,0.2,0.05,0.52,0.03,0.12,0.04,0.32,0.88,0.12,0.47,0.52,0.75,0.17,0.9,0.09,0.67,0.17,0.54,0.09
0.8,0.42,0.38,0.02,0.12,0.06,0.32,0.02,0.05,0.04,0.18,0.95,0.05,0.67,0.32,0.94,0.04,0.85,0.14,0.86,0.04,0.43,0.14
0.79,0.27,0.3,0.04,0.06,0.11,0.16,0.04,0.02,0.07,0.09,0.98,0.02,0.83,0.16,0.95,0.04,0.81,0.17,0.8,0.04,0.38,0.17
0.78,0.17,0.25,0.08,0.03,0.19,0.09,0.12,0.0,0.15,0.04,1.0,0.0,0.91,0.09,0.87,0.12,0.79,0.18,0.46,0.12,0.36,0.18
0.78,0.17,0.24,0.13,0.03,0.35,0.07,0.19,0.0,0.27,0.04,1.0,0.0,0.93,0.07,0.9,0.09,0.79,0.19,0.54,0.09,0.35,0.19
0.78,0.23,0.27,0.17,0.04,0.4,0.09,0.24,0.01,0.32,0.05,0.99,0.01,0.91,0.09,0.83,0.15,0.8,0.18,0.53,0.15,0.35,0.18
0.8,0.33,0.33,0.2,0.06,0.38,0.14,0.36,0.01,0.37,0.08,0.99,0.01,0.85,0.14,0.68,0.26,0.82,0.17,0.41,0.26,0.37,0.17
0.81,0.43,0.39,0.18,0.1,0.34,0.23,0.24,0.04,0.29,0.14,0.96,0.04,0.74,0.23,0.7,0.23,0.84,0.14,0.52,0.23,0.4,0.14
0.82,0.54,0.45,0.08,0.17,0.16,0.42,0.08,0.09,0.12,0.26,0.91,0.09,0.55,0.42,0.77,0.16,0.89,0.1,0.66,0.16,0.49,0.1
0.82,0.58,0.47,0.06,0.21,0.11,0.53,0.05,0.13,0.08,0.33,0.87,0.13,0.43,0.53,0.83,0.11,0.92,0.08,0.76,0.11,0.57,0.08
0.82,0.61,0.49,0.03,0.24,0.08,0.62,0.02,0.17,0.05,0.4,0.83,0.17,0.35,0.62,0.92,0.06,0.94,0.05,0.85,0.06,0.66,0.05
0.82,0.62,0.5,0.03,0.26,0.07,0.66,0.01,0.19,0.04,0.43,0.81,0.19,0.31,0.66,0.8,0.15,0.96,0.04,0.6,0.15,0.72,0.04
0.82,0.61,0.49,0.02,0.24,0.06,0.63,0.01,0.17,0.03,0.4,0.83,0.17,0.34,0.63,0.82,0.14,0.94,0.05,0.62,0.14,0.67,0.05
0.82,0.57,0.47,0.02,0.2,0.06,0.53,0.0,0.12,0.03,0.33,0.88,0.12,0.45,0.53,0.74,0.24,0.91,0.08,0.24,0.24,0.56,0.08
0.82,0.5,0.44,0.02,0.15,0.06,0.41,0.0,0.07,0.03,0.24,0.93,0.07,0.58,0.41,0.82,0.16,0.88,0.11,0.38,0.16,0.48,0.11
0.81,0.43,0.4,0.03,0.11,0.1,0.31,0.01,0.04,0.06,0.17,0.96,0.04,0.68,0.31,0.86,0.13,0.85,0.13,0.39,0.13,0.43,0.13
0.81,0.4,0.39,0.04,0.1,0.12,0.26,0.01,0.03,0.07,0.15,0.97,0.03,0.73,0.26,0.88,0.11,0.84,0.14,0.42,0.11,0.41,0.14
0.81,0.39,0.39,0.04,0.1,0.11,0.26,0.01,0.03,0.06,0.15,0.97,0.03,0.73,0.26,0.9,0.09,0.84,0.14,0.48,0.09,0.41,0.14
0.81,0.4,0.4,0.04,0.1,0.14,0.26,0.01,0.03,0.08,0.15,0.97,0.03,0.73,0.26,0.88,0.11,0.84,0.14,0.37,0.11,0.41,0.14
0.82,0.45,0.42,0.04,0.12,0.11,0.32,0.01,0.04,0.06,0.18,0.96,0.04,0.67,0.32,0.85,0.14,0.86,0.13,0.32,0.14,0.44,0.13
