ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.77,0.16,0.18,0.69,0.01,0.52,0.05,0.44,0.01,0.48,0.03,0.99,0.01,0.95,0.05,0.27,0.6,0.8,0.18,0.24,0.6,0.37,0.18
0.69,0.56,0.41,0.37,0.24,0.23,0.72,0.34,0.31,0.29,0.52,0.63,0.31,0.09,0.72,0.3,0.33,0.95,0.05,0.62,0.33,0.54,0.05
0.64,0.54,0.37,0.34,0.28,0.23,0.75,0.26,0.44,0.24,0.59,0.47,0.44,0.04,0.75,0.35,0.27,0.93,0.07,0.68,0.27,0.29,0.07
0.74,0.6,0.45,0.08,0.34,0.07,0.85,0.06,0.4,0.07,0.62,0.59,0.4,0.09,0.85,0.48,0.25,0.96,0.04,0.67,0.25,0.61,0.04
0.76,0.02,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.7,0.56,0.41,0.0,0.41,0.01,0.95,0.0,0.56,0.01,0.76,0.44,0.56,0.04,0.95,0.72,0.17,0.93,0.07,0.7,0.17,0.34,0.07
0.77,0.07,0.16,0.02,0.01,0.06,0.04,0.0,1.0,0.03,0.52,0.0,1.0,0.96,0.04,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.81,0.61,0.48,0.01,0.27,0.02,0.72,0.01,0.22,0.01,0.47,0.78,0.22,0.27,0.72,0.78,0.13,0.97,0.02,0.76,0.13,0.81,0.02
0.41,0.44,0.22,0.73,0.13,0.79,0.21,0.56,0.4,0.68,0.3,0.17,0.4,0.01,0.21,0.48,0.17,0.96,0.04,0.8,0.17,0.27,0.04
0.49,0.46,0.26,0.6,0.19,0.57,0.43,0.45,0.46,0.51,0.45,0.26,0.46,0.01,0.43,0.45,0.19,0.94,0.06,0.78,0.19,0.19,0.06
0.81,0.48,0.4,0.34,0.1,0.38,0.25,0.59,0.03,0.48,0.14,0.97,0.03,0.7,0.25,0.44,0.41,0.86,0.12,0.4,0.41,0.44,0.12
0.77,0.12,0.2,0.36,0.01,0.53,0.03,0.41,0.0,0.47,0.01,1.0,0.0,0.97,0.03,0.53,0.44,0.79,0.19,0.11,0.44,0.36,0.19
0.78,0.16,0.22,0.56,0.01,0.72,0.03,0.41,0.01,0.56,0.02,0.99,0.01,0.97,0.03,0.46,0.48,0.79,0.18,0.18,0.48,0.36,0.18
0.81,0.62,0.5,0.04,0.28,0.05,0.74,0.03,0.23,0.04,0.48,0.77,0.23,0.23,0.74,0.68,0.19,0.99,0.01,0.69,0.19,0.92,0.01
0.8,0.3,0.33,0.07,0.07,0.13,0.18,0.14,0.01,0.14,0.1,0.99,0.01,0.81,0.18,0.7,0.26,0.82,0.16,0.37,0.26,0.4,0.16
