ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,-0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.75,0.02,0.01,0.01,0.03,0.01,0.07,0.0,1.0,0.01,0.54,0.0,1.0,0.93,0.07,0.0,1.0,0.77,0.21,0.0,1.0,0.32,0.21
0.77,0.12,0.19,0.02,0.03,0.08,0.07,0.0,1.0,0.04,0.54,0.0,1.0,0.93,0.07,0.0,1.0,0.79,0.19,0.0,1.0,0.35,0.19
0.76,0.02,0.05,0.28,0.01,0.22,0.02,0.04,0.0,0.13,0.01,1.0,0.0,0.98,0.02,0.43,0.53,0.77,0.21,0.12,0.53,0.33,0.21
0.76,0.01,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.33,0.21
0.8,0.35,0.35,0.01,0.09,0.03,0.25,0.0,1.0,0.01,0.62,0.0,1.0,0.74,0.25,0.0,1.0,0.83,0.15,0.0,1.0,0.41,0.15
0.8,0.61,0.48,0.0,0.28,0.01,0.74,0.0,1.0,0.01,0.87,0.0,1.0,0.26,0.74,0.0,1.0,0.97,0.03,0.0,1.0,0.79,0.03
0.81,0.51,0.43,0.01,0.17,0.02,0.46,0.0,1.0,0.01,0.73,0.0,1.0,0.54,0.46,0.0,1.0,0.88,0.1,0.0,1.0,0.5,0.1
0.8,0.62,0.49,0.01,0.29,0.03,0.76,0.0,0.26,0.01,0.51,0.74,0.26,0.22,0.76,0.65,0.31,0.98,0.01,0.26,0.31,0.88,0.01
0.77,0.07,0.16,0.32,0.01,0.91,0.0,0.39,0.0,0.65,0.0,1.0,0.0,1.0,0.0,0.97,0.03,0.78,0.2,0.63,0.03,0.34,0.2
0.78,0.18,0.26,0.14,0.03,0.39,0.07,0.11,0.01,0.25,0.04,0.99,0.01,0.93,0.07,0.99,0.01,0.79,0.19,0.93,0.01,0.35,0.19
0.77,0.21,0.2,0.34,0.05,0.23,0.29,0.06,0.05,0.15,0.17,0.95,0.05,0.69,0.29,0.49,0.47,0.76,0.22,0.15,0.47,0.25,0.22
0.8,0.34,0.35,0.06,0.08,0.17,0.2,0.05,0.02,0.11,0.11,0.98,0.02,0.79,0.2,0.99,0.01,0.82,0.16,0.97,0.01,0.39,0.16
0.77,0.16,0.18,0.26,0.05,0.15,0.28,0.04,0.03,0.1,0.16,0.97,0.03,0.7,0.28,0.56,0.42,0.76,0.22,0.11,0.42,0.25,0.22
0.78,0.23,0.24,0.45,0.04,0.26,0.28,0.11,0.04,0.18,0.16,0.96,0.04,0.69,0.28,0.56,0.4,0.76,0.22,0.2,0.4,0.24,0.22
0.82,0.58,0.48,0.07,0.19,0.17,0.46,0.04,0.11,0.11,0.29,0.89,0.11,0.49,0.46,0.96,0.03,0.9,0.09,0.92,0.03,0.53,0.09
0.79,0.52,0.39,0.78,0.04,0.59,0.3,0.35,0.12,0.47,0.21,0.87,0.12,0.48,0.3,0.42,0.43,0.82,0.18,0.37,0.43,0.17,0.18
0.75,0.62,0.5,0.24,0.29,0.49,0.48,0.12,0.39,0.3,0.43,0.59,0.39,0.12,0.48,0.99,0.01,0.99,0.01,0.99,0.01,0.78,0.01
0.77,0.25,0.23,0.33,0.06,0.21,0.38,0.06,0.06,0.14,0.22,0.94,0.06,0.58,0.38,0.5,0.46,0.76,0.23,0.15,0.46,0.21,0.23
0.78,0.21,0.24,0.54,0.02,0.28,0.22,0.12,0.02,0.2,0.12,0.98,0.02,0.75,0.22,0.62,0.35,0.77,0.21,0.17,0.35,0.26,0.21
