ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.01,0.05,0.8,0.0,0.76,0.0,0.0,1.0,0.38,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.03,0.07,0.4,0.0,0.38,0.02,0.0,1.0,0.19,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.04,0.09,0.48,0.01,0.43,0.02,0.03,0.01,0.23,0.01,0.99,0.01,0.98,0.02,0.42,0.57,0.79,0.19,0.05,0.57,0.37,0.19
0.76,0.04,0.09,0.52,0.01,0.45,0.02,0.06,0.01,0.26,0.01,0.99,0.01,0.98,0.02,0.44,0.53,0.79,0.19,0.09,0.53,0.37,0.19
0.76,0.04,0.09,0.66,0.0,0.63,0.01,0.04,0.01,0.34,0.01,0.99,0.01,0.99,0.01,0.4,0.59,0.79,0.18,0.05,0.59,0.38,0.18
0.76,0.03,0.09,0.94,0.0,0.69,0.01,0.08,0.0,0.38,0.01,1.0,0.0,0.99,0.01,0.52,0.47,0.79,0.18,0.07,0.47,0.38,0.18
0.76,0.03,0.1,0.76,0.0,0.92,0.0,0.0,1.0,0.46,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.77,0.03,0.11,0.46,0.0,0.75,0.0,0.0,1.0,0.38,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.77,0.04,0.11,0.42,0.0,0.85,0.0,0.32,0.0,0.58,0.0,1.0,0.0,1.0,0.0,0.77,0.22,0.79,0.18,0.11,0.22,0.38,0.18
0.77,0.04,0.12,0.31,0.0,0.71,0.01,0.63,0.0,0.67,0.01,1.0,0.0,0.99,0.01,0.88,0.12,0.79,0.18,0.16,0.12,0.38,0.18
0.77,0.05,0.13,0.47,0.0,0.94,0.0,0.21,0.0,0.57,0.0,1.0,0.0,1.0,0.0,0.77,0.23,0.79,0.18,0.08,0.23,0.38,0.18
0.77,0.06,0.14,0.54,0.0,0.88,0.0,0.21,0.0,0.55,0.0,1.0,0.0,1.0,0.0,0.81,0.18,0.79,0.18,0.09,0.18,0.38,0.18
0.77,0.06,0.15,0.49,0.0,0.95,0.0,0.21,0.0,0.58,0.0,1.0,0.0,1.0,0.0,0.81,0.18,0.79,0.18,0.08,0.18,0.38,0.18
