ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.01,0.24,0.0,0.15,0.01,0.16,0.0,0.15,0.01,1.0,0.0,0.99,0.01,0.5,0.33,0.77,0.21,0.5,0.33,0.31,0.21
0.76,0.0,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.02,0.02,0.04,0.02,0.04,0.06,0.0,1.0,0.02,0.53,0.0,1.0,0.94,0.06,0.0,1.0,0.76,0.21,0.0,1.0,0.3,0.21
0.79,0.38,0.33,0.33,0.07,0.34,0.19,0.67,0.01,0.51,0.1,0.98,0.01,0.79,0.19,0.35,0.48,0.83,0.16,0.35,0.48,0.36,0.16
0.76,0.01,0.04,0.57,0.0,0.45,0.0,0.0,1.0,0.23,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.16,0.0,0.35,0.01,0.62,0.0,0.48,0.01,1.0,0.0,0.99,0.01,0.68,0.31,0.77,0.21,0.08,0.31,0.32,0.21
0.77,0.04,0.11,0.3,0.0,0.49,0.01,0.21,0.0,0.35,0.01,1.0,0.0,0.99,0.01,0.51,0.48,0.77,0.21,0.05,0.48,0.32,0.21
0.77,0.09,0.17,0.33,0.01,0.5,0.03,0.56,0.0,0.53,0.01,1.0,0.0,0.97,0.03,0.48,0.48,0.78,0.2,0.14,0.48,0.32,0.2
0.77,0.03,0.1,0.12,0.0,0.41,0.01,0.0,1.0,0.2,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.33,0.0,0.84,0.0,0.0,1.0,0.42,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.04,0.13,0.21,0.01,0.55,0.01,0.62,0.0,0.58,0.01,1.0,0.0,0.99,0.01,0.82,0.18,0.77,0.21,0.1,0.18,0.31,0.21
0.78,0.19,0.25,0.04,0.04,0.11,0.11,0.04,0.01,0.07,0.06,0.99,0.01,0.89,0.11,0.94,0.05,0.79,0.19,0.74,0.05,0.34,0.19
0.78,0.18,0.25,0.03,0.04,0.09,0.1,0.0,1.0,0.04,0.55,0.0,1.0,0.9,0.1,0.0,1.0,0.79,0.19,0.0,1.0,0.34,0.19
0.8,0.3,0.32,0.01,0.07,0.05,0.2,0.0,1.0,0.03,0.6,0.0,1.0,0.8,0.2,0.0,1.0,0.81,0.17,0.0,1.0,0.36,0.17
0.77,0.1,0.19,0.05,0.02,0.16,0.05,0.0,1.0,0.08,0.53,0.0,1.0,0.95,0.05,0.0,1.0,0.78,0.2,0.0,1.0,0.32,0.2
0.77,0.04,0.12,0.15,0.01,0.48,0.01,0.0,1.0,0.24,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.77,0.21,0.0,1.0,0.32,0.21
0.77,0.03,0.11,0.18,0.0,0.57,0.01,0.0,1.0,0.28,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.04,0.12,0.34,0.0,0.91,0.0,0.0,1.0,0.46,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.09,0.18,0.14,0.01,0.4,0.03,0.4,0.0,0.4,0.01,1.0,0.0,0.97,0.03,0.89,0.1,0.78,0.2,0.27,0.1,0.32,0.2
0.77,0.03,0.11,0.42,0.0,0.87,0.0,0.0,1.0,0.43,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.45,0.0,0.82,0.0,0.0,1.0,0.41,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.48,0.0,0.77,0.0,0.0,1.0,0.39,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.33,0.0,0.95,0.0,0.0,1.0,0.47,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.42,0.0,0.87,0.0,0.0,1.0,0.43,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.23,0.0,0.74,0.0,0.0,1.0,0.37,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.24,0.0,0.77,0.0,0.0,1.0,0.39,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.12,0.23,0.0,0.72,0.01,0.0,1.0,0.36,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.3,0.0,0.96,0.0,0.0,1.0,0.48,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.12,0.23,0.0,0.72,0.01,0.0,1.0,0.36,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.05,0.14,0.16,0.01,0.51,0.01,0.0,1.0,0.26,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.77,0.21,0.0,1.0,0.32,0.21
0.77,0.05,0.14,0.14,0.01,0.45,0.02,0.0,1.0,0.23,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.77,0.21,0.0,1.0,0.32,0.21
0.77,0.03,0.11,0.24,0.0,0.77,0.0,0.0,1.0,0.39,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.24,0.0,0.77,0.0,0.0,1.0,0.39,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.24,0.0,0.77,0.0,0.0,1.0,0.39,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.04,0.12,0.34,0.0,0.92,0.0,0.0,1.0,0.46,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.04,0.12,0.28,0.0,0.91,0.0,0.0,1.0,0.46,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.03,0.11,0.3,0.0,0.96,0.0,0.0,1.0,0.48,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.06,0.16,0.15,0.01,0.48,0.02,0.0,1.0,0.24,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.77,0.2,0.0,1.0,0.32,0.2
