ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.04,0.09,0.06,0.01,0.12,0.02,0.09,0.0,0.1,0.01,1.0,0.0,0.98,0.02,0.69,0.23,0.79,0.19,0.55,0.23,0.37,0.19
0.79,0.33,0.32,0.12,0.08,0.15,0.2,0.25,0.02,0.2,0.11,0.98,0.02,0.79,0.2,0.49,0.39,0.84,0.15,0.36,0.39,0.43,0.15
0.8,0.42,0.37,0.07,0.12,0.09,0.32,0.11,0.05,0.1,0.18,0.95,0.05,0.67,0.32,0.52,0.34,0.86,0.12,0.44,0.34,0.47,0.12
0.81,0.48,0.41,0.07,0.15,0.1,0.39,0.09,0.07,0.1,0.23,0.93,0.07,0.59,0.39,0.59,0.29,0.88,0.1,0.51,0.29,0.51,0.1
0.81,0.47,0.4,0.05,0.14,0.07,0.38,0.06,0.07,0.07,0.23,0.93,0.07,0.61,0.38,0.64,0.26,0.88,0.11,0.53,0.26,0.51,0.11
0.81,0.5,0.42,0.04,0.15,0.07,0.42,0.05,0.08,0.06,0.25,0.92,0.08,0.57,0.42,0.68,0.23,0.89,0.1,0.56,0.23,0.53,0.1
0.81,0.48,0.41,0.03,0.15,0.06,0.4,0.03,0.07,0.04,0.24,0.93,0.07,0.59,0.4,0.83,0.12,0.88,0.1,0.7,0.12,0.52,0.1
0.81,0.5,0.42,0.03,0.16,0.07,0.42,0.02,0.08,0.05,0.25,0.92,0.08,0.57,0.42,1.0,0.0,0.89,0.1,1.0,0.0,0.53,0.1
0.81,0.51,0.43,0.03,0.17,0.08,0.44,0.02,0.09,0.05,0.27,0.91,0.09,0.55,0.44,0.91,0.07,0.9,0.09,0.78,0.07,0.54,0.09
0.82,0.54,0.45,0.03,0.19,0.06,0.5,0.01,0.11,0.03,0.3,0.89,0.11,0.49,0.5,0.9,0.08,0.91,0.08,0.76,0.08,0.58,0.08
0.82,0.53,0.45,0.03,0.17,0.08,0.46,0.01,0.09,0.04,0.28,0.91,0.09,0.52,0.46,0.84,0.13,0.9,0.09,0.55,0.13,0.56,0.09
0.82,0.53,0.45,0.03,0.17,0.1,0.45,0.01,0.09,0.06,0.27,0.91,0.09,0.53,0.45,0.82,0.15,0.9,0.09,0.49,0.15,0.55,0.09
0.82,0.55,0.46,0.07,0.17,0.19,0.42,0.03,0.1,0.11,0.26,0.9,0.1,0.53,0.42,0.85,0.12,0.9,0.09,0.6,0.12,0.54,0.09
0.82,0.56,0.46,0.09,0.17,0.24,0.4,0.03,0.11,0.14,0.26,0.89,0.11,0.54,0.4,0.8,0.17,0.9,0.09,0.46,0.17,0.53,0.09
0.82,0.57,0.47,0.07,0.19,0.18,0.46,0.02,0.11,0.1,0.29,0.89,0.11,0.49,0.46,0.81,0.16,0.91,0.08,0.5,0.16,0.57,0.08
0.82,0.58,0.48,0.08,0.19,0.22,0.45,0.02,0.12,0.12,0.29,0.88,0.12,0.49,0.45,0.78,0.19,0.92,0.07,0.41,0.19,0.57,0.07
0.83,0.59,0.49,0.11,0.18,0.3,0.4,0.03,0.12,0.16,0.26,0.88,0.12,0.51,0.4,0.79,0.18,0.91,0.08,0.46,0.18,0.55,0.08
0.83,0.59,0.49,0.13,0.17,0.35,0.37,0.05,0.11,0.2,0.24,0.89,0.11,0.54,0.37,0.83,0.14,0.91,0.08,0.55,0.14,0.53,0.08
0.83,0.61,0.5,0.13,0.19,0.36,0.4,0.04,0.13,0.2,0.27,0.87,0.13,0.49,0.4,0.8,0.17,0.92,0.07,0.5,0.17,0.56,0.07
0.83,0.6,0.5,0.16,0.17,0.44,0.32,0.06,0.11,0.25,0.21,0.89,0.11,0.57,0.32,0.83,0.14,0.91,0.09,0.55,0.14,0.5,0.09
0.83,0.6,0.51,0.19,0.16,0.51,0.28,0.07,0.1,0.29,0.19,0.9,0.1,0.6,0.28,0.84,0.13,0.9,0.09,0.59,0.13,0.48,0.09
0.83,0.61,0.51,0.2,0.17,0.52,0.29,0.08,0.11,0.3,0.2,0.89,0.11,0.58,0.29,0.86,0.11,0.91,0.09,0.64,0.11,0.49,0.09
0.83,0.62,0.52,0.21,0.17,0.53,0.28,0.09,0.11,0.31,0.2,0.89,0.11,0.59,0.28,0.88,0.1,0.91,0.09,0.69,0.1,0.48,0.09
0.83,0.62,0.51,0.22,0.17,0.57,0.26,0.1,0.12,0.33,0.19,0.88,0.12,0.6,0.26,0.87,0.1,0.9,0.09,0.7,0.1,0.47,0.09
0.83,0.62,0.52,0.24,0.16,0.61,0.23,0.11,0.11,0.36,0.17,0.89,0.11,0.63,0.23,0.89,0.09,0.9,0.09,0.73,0.09,0.45,0.09
0.83,0.62,0.52,0.24,0.16,0.6,0.24,0.11,0.11,0.35,0.17,0.89,0.11,0.63,0.24,0.89,0.09,0.9,0.09,0.72,0.09,0.45,0.09
0.83,0.62,0.52,0.27,0.15,0.68,0.19,0.13,0.1,0.41,0.15,0.89,0.1,0.68,0.19,0.89,0.08,0.9,0.1,0.74,0.08,0.43,0.1
0.83,0.62,0.52,0.28,0.15,0.69,0.18,0.14,0.1,0.41,0.14,0.9,0.1,0.7,0.18,0.91,0.07,0.89,0.1,0.78,0.07,0.42,0.1
0.83,0.63,0.53,0.28,0.16,0.69,0.19,0.14,0.11,0.41,0.15,0.89,0.11,0.67,0.19,0.9,0.07,0.9,0.09,0.77,0.07,0.43,0.09
0.84,0.63,0.53,0.28,0.15,0.7,0.18,0.14,0.1,0.42,0.14,0.89,0.1,0.69,0.18,0.89,0.08,0.9,0.1,0.74,0.08,0.42,0.1
0.83,0.62,0.52,0.26,0.16,0.65,0.21,0.12,0.11,0.39,0.16,0.89,0.11,0.66,0.21,0.88,0.09,0.9,0.09,0.71,0.09,0.44,0.09
0.83,0.62,0.52,0.27,0.15,0.69,0.18,0.13,0.1,0.41,0.14,0.9,0.1,0.7,0.18,0.9,0.08,0.89,0.1,0.75,0.08,0.42,0.1
0.84,0.63,0.53,0.31,0.14,0.77,0.14,0.17,0.1,0.47,0.12,0.9,0.1,0.75,0.14,0.92,0.06,0.89,0.1,0.82,0.06,0.39,0.1
0.84,0.63,0.53,0.33,0.14,0.79,0.13,0.19,0.09,0.49,0.11,0.9,0.09,0.76,0.13,0.95,0.04,0.89,0.1,0.88,0.04,0.39,0.1
0.84,0.63,0.54,0.33,0.14,0.8,0.12,0.18,0.1,0.49,0.11,0.9,0.1,0.77,0.12,0.93,0.05,0.89,0.1,0.84,0.05,0.38,0.1
0.84,0.63,0.53,0.32,0.14,0.79,0.12,0.17,0.1,0.48,0.11,0.9,0.1,0.76,0.12,0.92,0.06,0.89,0.1,0.82,0.06,0.38,0.1
0.84,0.63,0.53,0.32,0.14,0.8,0.11,0.16,0.09,0.48,0.1,0.9,0.09,0.78,0.11,0.91,0.07,0.89,0.11,0.76,0.07,0.38,0.11
0.84,0.63,0.53,0.34,0.13,0.85,0.09,0.19,0.09,0.52,0.09,0.91,0.09,0.82,0.09,0.93,0.05,0.89,0.11,0.84,0.05,0.36,0.11
0.84,0.63,0.53,0.34,0.14,0.84,0.09,0.19,0.1,0.52,0.1,0.9,0.1,0.81,0.09,0.93,0.05,0.89,0.11,0.84,0.05,0.36,0.11
0.84,0.63,0.53,0.37,0.13,0.87,0.08,0.24,0.09,0.55,0.08,0.91,0.09,0.84,0.08,0.98,0.01,0.89,0.11,0.95,0.01,0.35,0.11
0.84,0.63,0.53,0.36,0.13,0.86,0.08,0.23,0.09,0.55,0.08,0.91,0.09,0.84,0.08,0.97,0.02,0.89,0.11,0.94,0.02,0.36,0.11
0.84,0.63,0.54,0.35,0.14,0.85,0.09,0.21,0.09,0.53,0.09,0.91,0.09,0.81,0.09,0.95,0.04,0.89,0.11,0.88,0.04,0.36,0.11
0.84,0.64,0.54,0.35,0.13,0.86,0.09,0.21,0.09,0.54,0.09,0.91,0.09,0.82,0.09,0.96,0.03,0.89,0.11,0.9,0.03,0.36,0.11
