ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.05,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.39,0.18
0.78,0.18,0.21,0.02,0.05,0.0,1.0,0.05,0.02,0.03,0.51,0.98,0.02,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.41,0.16
0.8,0.38,0.35,0.03,0.11,0.05,0.29,0.05,0.05,0.05,0.17,0.95,0.05,0.7,0.29,0.64,0.26,0.86,0.13,0.52,0.26,0.47,0.13
0.8,0.39,0.36,0.04,0.11,0.06,0.3,0.07,0.04,0.07,0.17,0.96,0.04,0.7,0.3,0.59,0.3,0.86,0.12,0.46,0.3,0.48,0.12
0.81,0.49,0.42,0.05,0.14,0.08,0.4,0.07,0.07,0.08,0.24,0.93,0.07,0.59,0.4,0.67,0.24,0.89,0.1,0.54,0.24,0.54,0.1
0.82,0.53,0.45,0.05,0.17,0.07,0.46,0.05,0.08,0.06,0.27,0.92,0.08,0.52,0.46,0.7,0.21,0.91,0.08,0.57,0.21,0.58,0.08
0.82,0.53,0.45,0.04,0.17,0.07,0.46,0.03,0.08,0.05,0.27,0.92,0.08,0.53,0.46,0.91,0.06,0.91,0.08,0.82,0.06,0.58,0.08
0.82,0.56,0.47,0.03,0.19,0.07,0.52,0.03,0.1,0.05,0.31,0.9,0.1,0.46,0.52,0.92,0.05,0.93,0.07,0.86,0.05,0.63,0.07
0.83,0.56,0.47,0.03,0.18,0.06,0.51,0.02,0.1,0.04,0.3,0.9,0.1,0.47,0.51,0.98,0.02,0.92,0.07,0.94,0.02,0.62,0.07
0.83,0.57,0.48,0.03,0.19,0.08,0.52,0.01,0.1,0.04,0.31,0.9,0.1,0.46,0.52,0.87,0.1,0.93,0.06,0.66,0.1,0.63,0.06
0.83,0.57,0.48,0.03,0.19,0.09,0.51,0.01,0.1,0.05,0.3,0.9,0.1,0.47,0.51,0.86,0.12,0.93,0.07,0.61,0.12,0.63,0.07
0.83,0.56,0.48,0.04,0.18,0.1,0.49,0.02,0.09,0.06,0.29,0.91,0.09,0.48,0.49,0.86,0.12,0.92,0.07,0.59,0.12,0.61,0.07
0.83,0.58,0.49,0.05,0.18,0.13,0.49,0.02,0.1,0.07,0.29,0.9,0.1,0.47,0.49,0.89,0.09,0.93,0.06,0.69,0.09,0.62,0.06
0.83,0.58,0.49,0.06,0.18,0.14,0.49,0.02,0.1,0.08,0.29,0.9,0.1,0.47,0.49,0.88,0.1,0.93,0.06,0.66,0.1,0.63,0.06
0.83,0.6,0.5,0.09,0.19,0.21,0.48,0.05,0.12,0.13,0.3,0.88,0.12,0.44,0.48,0.91,0.07,0.94,0.06,0.8,0.07,0.64,0.06
