ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.15,0.19,0.02,0.04,0.0,1.0,0.05,0.01,0.03,0.51,0.99,0.01,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.41,0.17
0.77,0.06,0.14,0.02,0.01,0.0,1.0,0.18,0.0,0.09,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.39,0.18
0.8,0.43,0.37,0.05,0.13,0.06,0.34,0.08,0.06,0.07,0.2,0.94,0.06,0.65,0.34,0.49,0.37,0.87,0.11,0.44,0.37,0.5,0.11
0.81,0.44,0.39,0.02,0.13,0.04,0.36,0.03,0.06,0.04,0.21,0.94,0.06,0.64,0.36,0.68,0.23,0.88,0.11,0.53,0.23,0.51,0.11
0.78,0.21,0.26,0.06,0.04,0.1,0.12,0.13,0.01,0.12,0.07,0.99,0.01,0.87,0.12,0.66,0.29,0.82,0.16,0.34,0.29,0.42,0.16
0.81,0.58,0.46,0.03,0.24,0.06,0.62,0.03,0.17,0.04,0.4,0.82,0.17,0.35,0.62,0.87,0.08,0.95,0.04,0.83,0.08,0.73,0.04
0.8,0.31,0.33,0.04,0.07,0.1,0.2,0.05,0.02,0.08,0.11,0.98,0.02,0.79,0.2,0.88,0.1,0.84,0.14,0.63,0.1,0.44,0.14
0.82,0.53,0.45,0.02,0.17,0.05,0.46,0.02,0.08,0.04,0.27,0.92,0.08,0.52,0.46,0.96,0.03,0.91,0.08,0.92,0.03,0.58,0.08
0.8,0.34,0.36,0.01,0.08,0.04,0.24,0.0,1.0,0.02,0.62,0.0,1.0,0.75,0.24,0.0,1.0,0.85,0.13,0.0,1.0,0.46,0.13
0.83,0.56,0.47,0.03,0.18,0.06,0.51,0.01,0.1,0.03,0.3,0.9,0.1,0.48,0.51,0.87,0.11,0.92,0.07,0.64,0.11,0.62,0.07
0.82,0.59,0.48,0.04,0.21,0.1,0.56,0.01,0.14,0.06,0.35,0.86,0.14,0.4,0.56,0.82,0.14,0.95,0.05,0.58,0.14,0.69,0.05
0.82,0.6,0.49,0.04,0.22,0.09,0.58,0.01,0.14,0.05,0.36,0.86,0.14,0.38,0.58,0.8,0.16,0.95,0.04,0.53,0.16,0.71,0.04
0.83,0.58,0.49,0.12,0.17,0.26,0.42,0.08,0.1,0.17,0.26,0.9,0.1,0.5,0.42,0.99,0.01,0.92,0.07,0.97,0.01,0.59,0.07
