ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.05,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.76,0.0,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.03,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.77,0.13,0.19,0.01,0.03,0.0,1.0,0.05,0.01,0.03,0.51,0.99,0.01,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.4,0.17
0.8,0.36,0.34,0.05,0.1,0.07,0.26,0.07,0.04,0.07,0.15,0.96,0.04,0.73,0.26,0.62,0.28,0.85,0.13,0.47,0.28,0.46,0.13
0.81,0.54,0.44,0.1,0.18,0.12,0.48,0.11,0.1,0.11,0.29,0.89,0.1,0.49,0.48,0.58,0.28,0.92,0.07,0.55,0.28,0.6,0.07
0.79,0.58,0.44,0.18,0.22,0.17,0.58,0.19,0.18,0.18,0.38,0.81,0.18,0.34,0.58,0.46,0.31,0.96,0.04,0.58,0.31,0.74,0.04
0.77,0.59,0.44,0.25,0.23,0.2,0.64,0.24,0.23,0.22,0.43,0.76,0.23,0.24,0.64,0.42,0.31,1.0,0.0,0.6,0.31,0.97,0.0
0.76,0.59,0.44,0.28,0.23,0.23,0.64,0.27,0.24,0.25,0.44,0.73,0.24,0.21,0.64,0.42,0.3,0.99,0.01,0.61,0.3,0.94,0.01
0.76,0.59,0.45,0.26,0.24,0.24,0.62,0.24,0.24,0.24,0.43,0.74,0.24,0.23,0.62,0.47,0.28,1.0,0.0,0.63,0.28,0.99,0.0
0.79,0.6,0.46,0.2,0.23,0.22,0.59,0.19,0.2,0.21,0.4,0.79,0.2,0.29,0.59,0.55,0.25,0.98,0.02,0.63,0.25,0.83,0.02
0.81,0.59,0.46,0.13,0.21,0.18,0.54,0.13,0.16,0.15,0.35,0.84,0.16,0.38,0.54,0.67,0.2,0.95,0.05,0.66,0.2,0.69,0.05
0.82,0.57,0.46,0.06,0.2,0.1,0.53,0.06,0.13,0.08,0.33,0.87,0.13,0.43,0.53,0.78,0.14,0.93,0.06,0.71,0.14,0.65,0.06
0.82,0.56,0.47,0.03,0.19,0.07,0.51,0.02,0.1,0.05,0.3,0.9,0.1,0.47,0.51,0.99,0.01,0.93,0.07,0.97,0.01,0.63,0.07
0.83,0.55,0.47,0.03,0.17,0.07,0.48,0.02,0.08,0.05,0.28,0.92,0.08,0.5,0.48,0.98,0.02,0.92,0.07,0.94,0.02,0.6,0.07
0.83,0.53,0.46,0.03,0.16,0.07,0.45,0.01,0.07,0.04,0.26,0.93,0.07,0.54,0.45,0.92,0.06,0.91,0.08,0.77,0.06,0.58,0.08
0.83,0.52,0.46,0.02,0.15,0.06,0.44,0.01,0.07,0.03,0.26,0.93,0.07,0.55,0.44,0.83,0.16,0.91,0.08,0.37,0.16,0.57,0.08
0.83,0.52,0.46,0.02,0.16,0.06,0.45,0.01,0.07,0.03,0.26,0.93,0.07,0.54,0.45,0.82,0.16,0.91,0.08,0.36,0.16,0.57,0.08
0.83,0.54,0.47,0.02,0.16,0.05,0.47,0.0,0.07,0.03,0.27,0.93,0.07,0.52,0.47,0.81,0.17,0.91,0.08,0.35,0.17,0.59,0.08
0.83,0.55,0.47,0.02,0.17,0.06,0.49,0.0,0.08,0.03,0.28,0.92,0.08,0.5,0.49,0.79,0.19,0.92,0.07,0.3,0.19,0.6,0.07
0.83,0.56,0.48,0.03,0.18,0.07,0.51,0.0,0.1,0.04,0.3,0.9,0.1,0.47,0.51,0.75,0.23,0.93,0.07,0.21,0.23,0.62,0.07
0.83,0.58,0.49,0.05,0.19,0.12,0.52,0.02,0.11,0.07,0.32,0.89,0.11,0.45,0.52,0.82,0.15,0.93,0.06,0.51,0.15,0.64,0.06
