ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.59,0.51,0.32,0.87,0.05,1.0,0.0,0.62,0.25,0.81,0.12,0.58,0.25,0.97,0.0,0.3,0.34,0.95,0.04,0.6,0.34,0.5,0.04
0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.73,0.58,0.43,0.02,0.37,0.01,0.9,0.01,0.45,0.01,0.68,0.54,0.45,0.09,0.9,0.48,0.24,0.95,0.04,0.68,0.24,0.62,0.04
0.79,0.56,0.42,0.39,0.14,0.46,0.32,0.47,0.09,0.46,0.21,0.91,0.09,0.56,0.32,0.51,0.3,0.9,0.09,0.56,0.3,0.51,0.09
0.78,0.6,0.45,0.09,0.28,0.11,0.69,0.07,0.27,0.09,0.48,0.73,0.27,0.25,0.69,0.61,0.21,0.98,0.02,0.68,0.21,0.86,0.02
0.78,0.21,0.25,0.02,0.05,0.06,0.13,0.0,1.0,0.03,0.56,0.0,1.0,0.87,0.13,0.0,1.0,0.81,0.17,0.0,1.0,0.4,0.17
0.75,0.6,0.45,0.0,0.36,0.0,0.9,0.0,1.0,0.0,0.95,0.0,1.0,0.1,0.9,0.0,1.0,0.95,0.04,0.0,1.0,0.63,0.04
0.79,0.32,0.33,0.19,0.06,0.47,0.11,0.17,0.02,0.32,0.07,0.98,0.02,0.87,0.11,0.96,0.03,0.82,0.16,0.85,0.03,0.39,0.16
0.76,0.02,0.08,0.59,0.0,0.59,0.01,0.0,1.0,0.29,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.82,0.52,0.44,0.06,0.16,0.19,0.37,0.01,0.08,0.1,0.23,0.92,0.08,0.59,0.37,0.76,0.22,0.88,0.1,0.21,0.22,0.5,0.1
0.71,0.59,0.44,0.06,0.38,0.17,0.8,0.01,0.53,0.09,0.67,0.47,0.53,0.06,0.8,0.57,0.34,0.94,0.06,0.39,0.34,0.43,0.06
0.76,0.05,0.13,0.19,0.01,0.53,0.01,0.0,1.0,0.27,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.37,0.19
0.74,0.58,0.42,0.87,0.04,0.73,0.25,0.54,0.16,0.64,0.21,0.81,0.16,0.25,0.25,0.41,0.37,0.86,0.14,0.51,0.37,0.1,0.14
0.79,0.64,0.52,0.28,0.23,0.61,0.33,0.15,0.28,0.38,0.31,0.71,0.28,0.32,0.33,0.94,0.04,0.97,0.03,0.92,0.04,0.66,0.03
0.77,0.15,0.23,0.21,0.02,0.58,0.04,0.08,0.0,0.33,0.02,1.0,0.0,0.96,0.04,0.95,0.05,0.79,0.18,0.49,0.05,0.37,0.18
0.77,0.2,0.2,0.14,0.08,0.08,0.5,0.03,0.05,0.06,0.28,0.95,0.05,0.48,0.5,0.61,0.36,0.74,0.24,0.15,0.36,0.2,0.24
0.77,0.16,0.24,0.2,0.03,0.56,0.04,0.07,0.0,0.32,0.02,1.0,0.0,0.96,0.04,0.94,0.05,0.8,0.18,0.47,0.05,0.38,0.18
0.82,0.59,0.47,0.03,0.22,0.1,0.56,0.0,0.15,0.05,0.36,0.85,0.15,0.41,0.56,0.68,0.31,0.93,0.06,0.11,0.31,0.64,0.06
0.82,0.56,0.47,0.05,0.19,0.14,0.47,0.01,0.11,0.08,0.29,0.89,0.11,0.49,0.47,0.73,0.25,0.91,0.08,0.2,0.25,0.57,0.08
0.76,0.06,0.15,0.41,0.01,0.85,0.01,0.0,1.0,0.42,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.36,0.19
0.77,0.2,0.22,0.2,0.07,0.11,0.42,0.03,0.04,0.07,0.23,0.96,0.04,0.55,0.42,0.64,0.35,0.75,0.23,0.12,0.35,0.22,0.23
0.82,0.57,0.46,0.01,0.2,0.04,0.55,0.0,1.0,0.02,0.78,0.0,1.0,0.44,0.55,0.0,1.0,0.92,0.07,0.0,1.0,0.62,0.07
