ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.75,0.0,-0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.76,0.01,0.05,0.57,0.0,0.77,0.0,0.0,1.0,0.39,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.37,0.2
0.76,0.18,0.15,0.66,0.02,0.53,0.09,0.37,0.03,0.45,0.06,0.97,0.03,0.91,0.09,0.45,0.38,0.79,0.19,0.45,0.38,0.34,0.19
0.77,0.31,0.25,1.0,0.0,0.78,0.06,0.56,0.03,0.67,0.04,0.97,0.03,0.93,0.06,0.48,0.38,0.8,0.18,0.43,0.38,0.34,0.18
0.77,0.21,0.22,0.82,0.01,0.81,0.03,0.59,0.01,0.7,0.02,0.99,0.01,0.97,0.03,0.56,0.35,0.79,0.19,0.37,0.35,0.35,0.19
0.78,0.23,0.25,0.67,0.02,0.97,0.0,0.63,0.01,0.8,0.01,0.99,0.01,1.0,0.0,0.57,0.36,0.8,0.18,0.33,0.36,0.36,0.18
0.78,0.23,0.25,0.75,0.01,0.74,0.04,0.68,0.01,0.71,0.03,0.99,0.01,0.95,0.04,0.67,0.27,0.79,0.19,0.39,0.27,0.35,0.19
0.79,0.48,0.37,0.71,0.04,0.92,0.03,0.99,0.0,0.96,0.01,1.0,0.0,0.95,0.03,0.59,0.28,0.83,0.16,0.53,0.28,0.33,0.16
0.79,0.47,0.37,0.7,0.04,0.97,0.01,0.95,0.0,0.96,0.01,1.0,0.0,0.98,0.01,0.57,0.3,0.83,0.15,0.49,0.3,0.34,0.15
0.79,0.4,0.35,0.66,0.03,0.89,0.03,0.97,0.0,0.93,0.01,1.0,0.0,0.95,0.03,0.65,0.26,0.82,0.17,0.48,0.26,0.34,0.17
0.79,0.29,0.31,0.7,0.02,0.73,0.06,0.8,0.0,0.77,0.03,1.0,0.0,0.92,0.06,0.74,0.22,0.8,0.18,0.43,0.22,0.33,0.18
0.8,0.42,0.37,0.49,0.05,0.94,0.02,0.66,0.01,0.8,0.01,0.99,0.01,0.97,0.02,0.74,0.19,0.82,0.16,0.55,0.19,0.35,0.16
0.81,0.52,0.42,0.59,0.06,0.91,0.04,0.73,0.02,0.82,0.03,0.98,0.02,0.93,0.04,0.73,0.19,0.84,0.15,0.59,0.19,0.31,0.15
0.8,0.4,0.38,0.47,0.05,0.95,0.01,0.53,0.01,0.74,0.01,0.99,0.01,0.98,0.01,0.87,0.1,0.82,0.17,0.65,0.1,0.34,0.17
0.82,0.56,0.46,0.6,0.07,0.9,0.05,0.73,0.02,0.81,0.04,0.98,0.02,0.91,0.05,0.73,0.19,0.85,0.14,0.59,0.19,0.3,0.14
0.81,0.49,0.43,0.51,0.06,0.92,0.03,0.56,0.02,0.74,0.03,0.98,0.02,0.95,0.03,0.85,0.12,0.83,0.16,0.66,0.12,0.32,0.16
0.81,0.46,0.42,0.56,0.05,0.79,0.08,0.59,0.02,0.69,0.05,0.98,0.02,0.88,0.08,0.88,0.09,0.82,0.17,0.7,0.09,0.3,0.17
0.81,0.4,0.39,0.48,0.04,0.87,0.04,0.53,0.01,0.7,0.03,0.99,0.01,0.95,0.04,0.91,0.07,0.81,0.17,0.68,0.07,0.33,0.17
0.82,0.53,0.46,0.55,0.06,0.81,0.09,0.53,0.03,0.67,0.06,0.97,0.03,0.84,0.09,0.9,0.08,0.83,0.16,0.75,0.08,0.28,0.16
0.81,0.46,0.43,0.58,0.04,0.75,0.11,0.63,0.01,0.69,0.06,0.99,0.01,0.85,0.11,0.89,0.09,0.82,0.17,0.68,0.09,0.29,0.17
0.82,0.55,0.47,0.55,0.07,0.84,0.08,0.56,0.03,0.7,0.06,0.97,0.03,0.86,0.08,0.86,0.1,0.84,0.15,0.7,0.1,0.29,0.15
0.83,0.56,0.48,0.53,0.07,0.85,0.08,0.5,0.03,0.68,0.06,0.97,0.03,0.86,0.08,0.9,0.08,0.84,0.15,0.75,0.08,0.28,0.15
0.82,0.54,0.47,0.61,0.05,0.75,0.14,0.66,0.02,0.71,0.08,0.98,0.02,0.77,0.14,0.86,0.11,0.83,0.16,0.68,0.11,0.26,0.16
0.81,0.42,0.41,0.68,0.03,0.63,0.15,0.83,0.0,0.73,0.07,1.0,0.0,0.8,0.15,0.89,0.09,0.8,0.18,0.62,0.09,0.28,0.18
0.83,0.61,0.51,0.62,0.07,0.84,0.1,0.71,0.03,0.77,0.07,0.97,0.03,0.78,0.1,0.76,0.17,0.86,0.14,0.63,0.17,0.25,0.14
0.82,0.53,0.46,0.7,0.04,0.66,0.2,0.85,0.01,0.76,0.11,0.99,0.01,0.69,0.2,0.83,0.13,0.82,0.17,0.62,0.13,0.24,0.17
0.81,0.44,0.42,0.69,0.03,0.61,0.18,0.81,0.0,0.71,0.09,1.0,0.0,0.76,0.18,0.9,0.09,0.8,0.18,0.65,0.09,0.27,0.18
0.82,0.47,0.44,0.65,0.04,0.65,0.17,0.69,0.01,0.67,0.09,0.99,0.01,0.76,0.17,0.91,0.07,0.81,0.18,0.71,0.07,0.27,0.18
0.82,0.47,0.43,0.78,0.02,0.56,0.23,0.97,0.0,0.77,0.12,1.0,0.0,0.67,0.23,0.85,0.12,0.8,0.19,0.58,0.12,0.24,0.19
0.83,0.6,0.5,0.64,0.06,0.78,0.13,0.75,0.02,0.77,0.07,0.98,0.02,0.74,0.13,0.79,0.16,0.84,0.15,0.61,0.16,0.25,0.15
0.83,0.57,0.49,0.7,0.04,0.69,0.19,0.9,0.01,0.79,0.1,0.99,0.01,0.66,0.19,0.79,0.16,0.83,0.16,0.58,0.16,0.23,0.16
0.83,0.6,0.5,0.66,0.06,0.78,0.14,0.81,0.01,0.8,0.08,0.99,0.01,0.72,0.14,0.77,0.17,0.84,0.15,0.59,0.17,0.24,0.15
0.82,0.49,0.44,0.75,0.03,0.59,0.22,0.96,0.0,0.77,0.11,1.0,0.0,0.68,0.22,0.85,0.12,0.81,0.18,0.59,0.12,0.24,0.18
0.82,0.51,0.45,0.73,0.03,0.63,0.2,0.95,0.0,0.79,0.1,1.0,0.0,0.69,0.2,0.83,0.14,0.81,0.18,0.57,0.14,0.25,0.18
0.83,0.56,0.48,0.72,0.04,0.68,0.2,0.97,0.0,0.82,0.1,1.0,0.0,0.66,0.2,0.78,0.17,0.83,0.17,0.56,0.17,0.23,0.17
0.82,0.51,0.46,0.64,0.04,0.69,0.15,0.75,0.01,0.72,0.08,0.99,0.01,0.76,0.15,0.87,0.1,0.82,0.17,0.64,0.1,0.27,0.17
0.82,0.51,0.46,0.69,0.04,0.67,0.18,0.91,0.0,0.79,0.09,1.0,0.0,0.72,0.18,0.83,0.14,0.82,0.17,0.57,0.14,0.25,0.17
0.83,0.62,0.52,0.62,0.07,0.8,0.13,0.69,0.03,0.74,0.08,0.97,0.03,0.72,0.13,0.8,0.15,0.85,0.14,0.64,0.15,0.24,0.14
0.83,0.54,0.48,0.71,0.04,0.67,0.19,0.98,0.0,0.82,0.1,1.0,0.0,0.69,0.19,0.81,0.16,0.82,0.17,0.55,0.16,0.24,0.17
0.83,0.6,0.51,0.73,0.04,0.71,0.2,0.99,0.0,0.85,0.1,1.0,0.0,0.62,0.2,0.75,0.19,0.84,0.16,0.55,0.19,0.21,0.16
0.83,0.56,0.49,0.71,0.04,0.68,0.2,0.94,0.0,0.81,0.1,1.0,0.0,0.67,0.2,0.8,0.16,0.82,0.17,0.56,0.16,0.23,0.17
0.82,0.51,0.46,0.69,0.04,0.64,0.19,0.86,0.0,0.75,0.1,1.0,0.0,0.71,0.19,0.86,0.12,0.81,0.18,0.6,0.12,0.25,0.18
0.83,0.55,0.49,0.62,0.05,0.74,0.14,0.74,0.01,0.74,0.08,0.99,0.01,0.76,0.14,0.84,0.12,0.83,0.16,0.61,0.12,0.26,0.16
0.84,0.62,0.52,0.72,0.05,0.72,0.19,0.96,0.0,0.84,0.1,1.0,0.0,0.6,0.19,0.75,0.19,0.84,0.15,0.55,0.19,0.2,0.15
0.83,0.58,0.5,0.73,0.04,0.68,0.21,0.99,0.0,0.83,0.1,1.0,0.0,0.63,0.21,0.77,0.18,0.83,0.16,0.54,0.18,0.22,0.16
0.84,0.64,0.54,0.7,0.06,0.74,0.2,0.87,0.01,0.8,0.11,0.99,0.01,0.56,0.2,0.76,0.18,0.85,0.15,0.59,0.18,0.19,0.15
0.84,0.6,0.52,0.59,0.07,0.81,0.11,0.67,0.02,0.74,0.07,0.98,0.02,0.78,0.11,0.83,0.13,0.84,0.15,0.63,0.13,0.26,0.15
0.84,0.61,0.53,0.59,0.07,0.83,0.11,0.66,0.02,0.74,0.07,0.97,0.02,0.78,0.11,0.83,0.13,0.85,0.14,0.64,0.13,0.26,0.14
0.83,0.6,0.51,0.77,0.04,0.66,0.24,0.92,0.0,0.79,0.12,0.99,0.0,0.56,0.24,0.75,0.19,0.83,0.16,0.53,0.19,0.19,0.16
