ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.6,0.5,0.3,0.76,0.1,0.97,0.02,0.44,0.4,0.7,0.21,0.41,0.4,0.88,0.02,0.23,0.42,0.98,0.02,0.52,0.42,0.81,0.02
0.73,0.12,0.02,0.13,0.12,0.19,0.19,0.04,0.14,0.12,0.17,0.86,0.14,0.8,0.19,0.22,0.58,0.78,0.2,0.3,0.58,0.35,0.2
0.76,0.09,0.1,0.54,0.02,0.56,0.03,0.24,0.02,0.4,0.03,0.98,0.02,0.96,0.03,0.35,0.48,0.78,0.19,0.34,0.48,0.36,0.19
0.76,0.13,0.15,0.59,0.01,0.61,0.03,0.82,0.0,0.71,0.01,1.0,0.0,0.97,0.03,0.38,0.45,0.79,0.18,0.37,0.45,0.38,0.18
0.78,0.32,0.29,0.16,0.08,0.14,0.2,0.32,0.03,0.23,0.12,0.97,0.03,0.79,0.2,0.34,0.48,0.83,0.15,0.36,0.48,0.43,0.15
0.8,0.46,0.39,0.05,0.15,0.07,0.38,0.06,0.08,0.07,0.23,0.92,0.08,0.61,0.38,0.58,0.3,0.87,0.11,0.51,0.3,0.5,0.11
0.8,0.54,0.42,0.02,0.22,0.04,0.54,0.02,0.15,0.03,0.35,0.85,0.15,0.44,0.54,0.9,0.06,0.92,0.08,0.86,0.06,0.6,0.08
0.79,0.56,0.43,0.02,0.25,0.05,0.62,0.01,0.21,0.03,0.41,0.79,0.21,0.36,0.62,0.84,0.11,0.94,0.06,0.74,0.11,0.66,0.06
0.8,0.56,0.43,0.01,0.25,0.04,0.6,0.0,0.2,0.02,0.4,0.8,0.2,0.38,0.6,0.72,0.23,0.93,0.06,0.44,0.23,0.65,0.06
0.8,0.55,0.43,0.02,0.23,0.05,0.56,0.0,0.17,0.03,0.37,0.83,0.17,0.42,0.56,0.66,0.31,0.92,0.07,0.2,0.31,0.61,0.07
