ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.01,0.17,0.0,0.18,0.0,0.0,1.0,0.09,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.16,0.12,0.52,0.03,0.66,0.05,0.22,0.05,0.44,0.05,0.95,0.05,0.95,0.05,0.27,0.53,0.79,0.19,0.34,0.53,0.35,0.19
0.77,0.2,0.2,0.91,0.0,0.95,0.01,0.45,0.02,0.7,0.01,0.98,0.02,0.99,0.01,0.41,0.46,0.79,0.19,0.32,0.46,0.35,0.19
0.79,0.41,0.34,0.41,0.07,0.43,0.19,0.77,0.01,0.6,0.1,0.99,0.01,0.78,0.19,0.4,0.44,0.84,0.14,0.38,0.44,0.41,0.14
0.79,0.31,0.29,0.88,0.01,0.66,0.09,0.57,0.01,0.61,0.05,0.98,0.01,0.88,0.09,0.61,0.31,0.8,0.19,0.39,0.31,0.31,0.19
0.82,0.54,0.44,0.45,0.09,0.74,0.12,0.58,0.04,0.66,0.08,0.96,0.04,0.81,0.12,0.65,0.25,0.86,0.13,0.54,0.25,0.38,0.13
0.82,0.54,0.45,0.52,0.07,0.99,0.0,0.63,0.03,0.81,0.01,0.97,0.03,0.99,0.0,0.75,0.18,0.84,0.15,0.59,0.18,0.31,0.15
0.82,0.53,0.44,0.68,0.05,0.8,0.1,0.95,0.0,0.88,0.05,1.0,0.0,0.82,0.1,0.69,0.23,0.83,0.16,0.52,0.23,0.27,0.16
0.82,0.61,0.5,0.56,0.09,0.98,0.01,0.64,0.04,0.81,0.03,0.96,0.04,0.97,0.01,0.72,0.2,0.87,0.13,0.61,0.2,0.29,0.13
0.82,0.61,0.5,0.66,0.07,0.88,0.08,0.82,0.02,0.85,0.05,0.98,0.02,0.81,0.08,0.66,0.23,0.86,0.13,0.57,0.23,0.25,0.13
0.83,0.57,0.48,0.51,0.08,0.96,0.02,0.56,0.04,0.76,0.03,0.96,0.04,0.97,0.02,0.79,0.15,0.85,0.14,0.64,0.15,0.3,0.14
0.83,0.61,0.51,0.44,0.11,0.9,0.06,0.43,0.06,0.67,0.06,0.94,0.06,0.88,0.06,0.82,0.13,0.87,0.12,0.7,0.13,0.33,0.12
0.83,0.61,0.5,0.62,0.07,0.88,0.07,0.76,0.03,0.82,0.05,0.97,0.03,0.83,0.07,0.7,0.21,0.86,0.13,0.59,0.21,0.26,0.13
0.83,0.57,0.48,0.59,0.07,0.83,0.09,0.71,0.02,0.77,0.06,0.98,0.02,0.83,0.09,0.77,0.17,0.84,0.15,0.6,0.17,0.26,0.15
0.83,0.57,0.48,0.66,0.06,0.77,0.14,0.83,0.01,0.8,0.08,0.99,0.01,0.74,0.14,0.74,0.19,0.84,0.16,0.58,0.19,0.24,0.16
0.83,0.62,0.51,0.67,0.07,0.83,0.12,0.82,0.02,0.82,0.07,0.98,0.02,0.71,0.12,0.69,0.21,0.86,0.13,0.58,0.21,0.22,0.13
0.83,0.6,0.5,0.64,0.06,0.78,0.14,0.79,0.02,0.79,0.08,0.98,0.02,0.72,0.14,0.75,0.18,0.84,0.15,0.59,0.18,0.23,0.15
0.83,0.58,0.49,0.56,0.07,0.82,0.1,0.6,0.03,0.71,0.07,0.97,0.03,0.81,0.1,0.83,0.13,0.84,0.15,0.67,0.13,0.26,0.15
0.81,0.44,0.42,0.79,0.02,0.54,0.23,0.92,0.0,0.73,0.12,1.0,0.0,0.69,0.23,0.84,0.13,0.8,0.19,0.55,0.13,0.24,0.19
0.83,0.58,0.49,0.63,0.06,0.76,0.15,0.74,0.02,0.75,0.08,0.98,0.02,0.71,0.15,0.79,0.16,0.84,0.16,0.62,0.16,0.23,0.16
0.83,0.64,0.53,0.65,0.08,0.84,0.12,0.75,0.03,0.79,0.07,0.97,0.03,0.69,0.12,0.71,0.2,0.87,0.13,0.61,0.2,0.21,0.13
0.83,0.65,0.54,0.63,0.09,0.88,0.09,0.7,0.04,0.79,0.07,0.95,0.04,0.73,0.09,0.71,0.19,0.88,0.12,0.63,0.19,0.21,0.12
0.84,0.63,0.53,0.59,0.08,0.85,0.1,0.67,0.03,0.76,0.07,0.97,0.03,0.78,0.1,0.77,0.17,0.86,0.13,0.62,0.17,0.24,0.13
0.83,0.6,0.5,0.66,0.06,0.76,0.16,0.81,0.01,0.79,0.09,0.98,0.01,0.69,0.16,0.76,0.18,0.84,0.15,0.59,0.18,0.22,0.15
0.83,0.6,0.51,0.64,0.06,0.77,0.15,0.77,0.02,0.77,0.08,0.98,0.02,0.7,0.15,0.77,0.17,0.84,0.15,0.6,0.17,0.22,0.15
0.83,0.59,0.5,0.63,0.06,0.74,0.16,0.74,0.02,0.74,0.09,0.98,0.02,0.7,0.16,0.81,0.15,0.84,0.16,0.62,0.15,0.23,0.16
0.83,0.61,0.51,0.63,0.06,0.78,0.14,0.74,0.02,0.76,0.08,0.98,0.02,0.71,0.14,0.78,0.16,0.85,0.15,0.61,0.16,0.22,0.15
0.83,0.59,0.5,0.68,0.05,0.72,0.18,0.89,0.01,0.8,0.1,0.99,0.01,0.66,0.18,0.76,0.18,0.83,0.16,0.56,0.18,0.22,0.16
0.84,0.6,0.51,0.61,0.07,0.78,0.14,0.72,0.02,0.75,0.08,0.98,0.02,0.72,0.14,0.8,0.15,0.84,0.15,0.62,0.15,0.23,0.15
0.84,0.6,0.51,0.65,0.06,0.76,0.16,0.83,0.01,0.79,0.09,0.99,0.01,0.69,0.16,0.76,0.18,0.84,0.15,0.57,0.18,0.22,0.15
0.84,0.6,0.51,0.65,0.06,0.74,0.17,0.84,0.01,0.79,0.09,0.99,0.01,0.68,0.17,0.77,0.17,0.84,0.15,0.57,0.17,0.22,0.15
0.84,0.62,0.53,0.61,0.07,0.81,0.13,0.73,0.02,0.77,0.07,0.98,0.02,0.73,0.13,0.77,0.17,0.85,0.14,0.6,0.17,0.23,0.14
0.83,0.62,0.52,0.65,0.06,0.79,0.14,0.81,0.02,0.8,0.08,0.98,0.02,0.69,0.14,0.74,0.19,0.85,0.14,0.58,0.19,0.22,0.14
0.83,0.62,0.52,0.69,0.06,0.76,0.17,0.91,0.01,0.83,0.09,0.99,0.01,0.63,0.17,0.72,0.21,0.85,0.15,0.55,0.21,0.2,0.15
0.82,0.65,0.54,0.7,0.07,0.85,0.12,0.84,0.03,0.84,0.07,0.97,0.03,0.59,0.12,0.64,0.23,0.88,0.11,0.59,0.23,0.18,0.11
0.84,0.6,0.52,0.54,0.07,0.85,0.09,0.6,0.03,0.72,0.06,0.97,0.03,0.83,0.09,0.84,0.12,0.85,0.15,0.65,0.12,0.26,0.15
0.84,0.64,0.53,0.67,0.07,0.8,0.15,0.83,0.02,0.81,0.08,0.98,0.02,0.65,0.15,0.72,0.2,0.86,0.14,0.57,0.2,0.2,0.14
0.83,0.57,0.5,0.76,0.04,0.66,0.23,0.88,0.01,0.77,0.12,0.99,0.01,0.6,0.23,0.74,0.21,0.83,0.17,0.5,0.21,0.2,0.17
0.83,0.56,0.49,0.66,0.05,0.69,0.18,0.87,0.01,0.78,0.1,0.99,0.01,0.69,0.18,0.81,0.15,0.82,0.17,0.56,0.15,0.23,0.17
0.84,0.62,0.53,0.63,0.07,0.78,0.15,0.76,0.02,0.77,0.08,0.98,0.02,0.69,0.15,0.78,0.17,0.85,0.15,0.59,0.17,0.22,0.15
0.83,0.66,0.55,0.54,0.11,0.96,0.03,0.52,0.07,0.74,0.05,0.92,0.07,0.9,0.03,0.78,0.15,0.89,0.1,0.7,0.15,0.25,0.1
0.84,0.61,0.53,0.59,0.07,0.79,0.13,0.66,0.02,0.73,0.07,0.98,0.02,0.73,0.13,0.83,0.13,0.85,0.15,0.64,0.13,0.23,0.15
0.84,0.65,0.55,0.58,0.09,0.87,0.09,0.64,0.04,0.76,0.07,0.96,0.04,0.78,0.09,0.77,0.16,0.87,0.13,0.64,0.16,0.23,0.13
0.84,0.61,0.52,0.68,0.05,0.72,0.19,0.92,0.01,0.82,0.1,0.99,0.01,0.63,0.19,0.76,0.19,0.84,0.15,0.54,0.19,0.2,0.15
0.83,0.59,0.5,0.77,0.03,0.66,0.24,0.82,0.01,0.74,0.12,0.99,0.01,0.57,0.24,0.72,0.22,0.83,0.17,0.48,0.22,0.19,0.17
0.84,0.59,0.52,0.63,0.06,0.74,0.16,0.8,0.01,0.77,0.09,0.99,0.01,0.7,0.16,0.8,0.16,0.84,0.16,0.57,0.16,0.23,0.16
