ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.78,0.19,0.24,0.05,0.05,0.1,0.12,0.04,0.01,0.07,0.07,0.99,0.01,0.88,0.12,0.92,0.07,0.82,0.16,0.77,0.07,0.41,0.16
0.8,0.39,0.37,0.07,0.1,0.1,0.28,0.12,0.04,0.11,0.16,0.96,0.04,0.71,0.28,0.58,0.32,0.86,0.12,0.42,0.32,0.47,0.12
0.8,0.37,0.36,0.05,0.09,0.08,0.26,0.07,0.03,0.08,0.15,0.97,0.03,0.73,0.26,0.68,0.25,0.85,0.13,0.47,0.25,0.47,0.13
0.82,0.51,0.44,0.06,0.15,0.07,0.43,0.09,0.07,0.08,0.25,0.93,0.07,0.56,0.43,0.55,0.33,0.9,0.09,0.45,0.33,0.56,0.09
0.82,0.54,0.46,0.05,0.17,0.07,0.49,0.05,0.09,0.06,0.29,0.91,0.09,0.5,0.49,0.68,0.23,0.92,0.07,0.56,0.23,0.6,0.07
0.82,0.5,0.44,0.04,0.14,0.09,0.4,0.03,0.06,0.06,0.23,0.94,0.06,0.58,0.4,0.94,0.04,0.89,0.09,0.85,0.04,0.54,0.09
0.83,0.55,0.47,0.05,0.17,0.09,0.48,0.05,0.09,0.07,0.28,0.91,0.09,0.49,0.48,0.81,0.13,0.92,0.07,0.69,0.13,0.61,0.07
0.83,0.57,0.48,0.04,0.19,0.08,0.52,0.02,0.1,0.05,0.31,0.9,0.1,0.45,0.52,0.94,0.04,0.93,0.06,0.86,0.04,0.64,0.06
0.83,0.56,0.48,0.04,0.18,0.09,0.5,0.02,0.1,0.06,0.3,0.9,0.1,0.47,0.5,0.9,0.08,0.92,0.07,0.74,0.08,0.62,0.07
0.83,0.57,0.48,0.04,0.19,0.09,0.52,0.02,0.1,0.06,0.31,0.9,0.1,0.45,0.52,0.89,0.09,0.93,0.06,0.7,0.09,0.64,0.06
0.83,0.57,0.49,0.04,0.18,0.11,0.5,0.01,0.1,0.06,0.3,0.9,0.1,0.47,0.5,0.83,0.15,0.93,0.06,0.5,0.15,0.63,0.06
