ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.01,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.04,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.76,0.03,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.76,0.04,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.36,0.19
0.77,0.11,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.37,0.19
0.79,0.33,0.31,0.08,0.09,0.07,0.24,0.17,0.03,0.12,0.14,0.97,0.03,0.76,0.24,0.31,0.51,0.83,0.15,0.34,0.51,0.42,0.15
0.8,0.52,0.41,0.26,0.14,0.23,0.39,0.4,0.06,0.32,0.23,0.93,0.06,0.56,0.39,0.36,0.43,0.89,0.1,0.43,0.43,0.51,0.1
0.8,0.51,0.4,0.37,0.11,0.32,0.33,0.61,0.04,0.46,0.18,0.96,0.04,0.61,0.33,0.35,0.45,0.89,0.1,0.41,0.45,0.49,0.1
0.81,0.5,0.4,0.29,0.11,0.29,0.32,0.48,0.04,0.39,0.18,0.96,0.04,0.64,0.32,0.4,0.42,0.88,0.11,0.41,0.42,0.47,0.11
0.81,0.5,0.42,0.13,0.14,0.15,0.38,0.19,0.06,0.17,0.22,0.94,0.06,0.6,0.38,0.5,0.36,0.88,0.11,0.43,0.36,0.49,0.11
0.8,0.37,0.36,0.05,0.09,0.09,0.25,0.07,0.03,0.08,0.14,0.97,0.03,0.74,0.25,0.71,0.23,0.84,0.14,0.47,0.23,0.43,0.14
0.8,0.35,0.35,0.03,0.08,0.09,0.23,0.01,0.02,0.05,0.12,0.98,0.02,0.76,0.23,0.92,0.07,0.84,0.15,0.61,0.07,0.42,0.15
0.81,0.42,0.39,0.02,0.11,0.07,0.31,0.01,0.04,0.04,0.17,0.96,0.04,0.68,0.31,0.87,0.11,0.85,0.13,0.5,0.11,0.45,0.13
0.82,0.52,0.45,0.02,0.16,0.05,0.44,0.0,0.07,0.03,0.26,0.93,0.07,0.55,0.44,0.82,0.17,0.89,0.1,0.38,0.17,0.52,0.1
0.82,0.58,0.48,0.02,0.21,0.05,0.57,0.01,0.13,0.03,0.35,0.87,0.13,0.41,0.57,0.95,0.04,0.93,0.06,0.88,0.04,0.62,0.06
0.82,0.61,0.49,0.02,0.23,0.05,0.63,0.01,0.16,0.03,0.4,0.84,0.16,0.35,0.63,0.89,0.08,0.95,0.05,0.77,0.08,0.7,0.05
0.82,0.54,0.45,0.02,0.18,0.04,0.48,0.01,0.09,0.03,0.28,0.91,0.09,0.51,0.48,0.92,0.06,0.9,0.09,0.77,0.06,0.55,0.09
0.8,0.33,0.35,0.06,0.08,0.15,0.2,0.05,0.02,0.1,0.11,0.98,0.02,0.79,0.2,0.98,0.01,0.83,0.15,0.92,0.01,0.41,0.15
0.78,0.15,0.24,0.15,0.03,0.36,0.06,0.32,0.0,0.34,0.03,1.0,0.0,0.94,0.06,0.86,0.13,0.8,0.18,0.35,0.13,0.37,0.18
0.78,0.15,0.24,0.19,0.02,0.47,0.05,0.41,0.0,0.44,0.03,1.0,0.0,0.95,0.05,0.89,0.11,0.79,0.18,0.35,0.11,0.36,0.18
0.79,0.21,0.28,0.13,0.04,0.34,0.09,0.18,0.0,0.26,0.04,1.0,0.0,0.91,0.09,0.92,0.07,0.8,0.18,0.55,0.07,0.37,0.18
0.79,0.28,0.33,0.09,0.06,0.23,0.15,0.09,0.01,0.16,0.08,0.99,0.01,0.85,0.15,0.96,0.03,0.82,0.16,0.78,0.03,0.39,0.16
0.83,0.55,0.47,0.05,0.17,0.13,0.44,0.02,0.08,0.07,0.26,0.92,0.08,0.53,0.44,0.86,0.12,0.9,0.09,0.55,0.12,0.53,0.09
0.82,0.64,0.52,0.03,0.26,0.09,0.68,0.01,0.2,0.05,0.44,0.8,0.2,0.27,0.68,0.73,0.23,0.98,0.02,0.38,0.23,0.84,0.02
0.82,0.65,0.53,0.09,0.26,0.24,0.59,0.03,0.22,0.14,0.4,0.78,0.22,0.27,0.59,0.76,0.19,0.98,0.02,0.51,0.19,0.81,0.02
0.82,0.65,0.53,0.09,0.26,0.25,0.59,0.02,0.23,0.14,0.41,0.77,0.23,0.27,0.59,0.74,0.21,0.98,0.02,0.47,0.21,0.81,0.02
0.83,0.62,0.52,0.08,0.21,0.22,0.5,0.02,0.13,0.12,0.32,0.87,0.13,0.42,0.5,0.79,0.18,0.93,0.06,0.44,0.18,0.61,0.06
