ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.03,0.07,0.6,0.0,0.77,0.0,0.12,0.01,0.45,0.01,0.99,0.01,1.0,0.0,0.3,0.62,0.79,0.18,0.16,0.62,0.39,0.18
0.76,0.14,0.12,0.5,0.03,0.55,0.06,0.21,0.04,0.38,0.05,0.96,0.04,0.94,0.06,0.34,0.49,0.8,0.18,0.34,0.49,0.38,0.18
0.77,0.27,0.22,0.83,0.01,0.71,0.07,0.41,0.04,0.56,0.06,0.96,0.04,0.92,0.07,0.45,0.4,0.81,0.17,0.4,0.4,0.36,0.17
0.78,0.37,0.29,0.9,0.01,0.88,0.04,0.64,0.03,0.76,0.04,0.97,0.03,0.95,0.04,0.5,0.36,0.83,0.16,0.45,0.36,0.37,0.16
0.79,0.37,0.31,0.83,0.02,0.9,0.03,0.68,0.02,0.79,0.03,0.98,0.02,0.96,0.03,0.53,0.34,0.83,0.16,0.44,0.34,0.37,0.16
0.79,0.43,0.34,0.8,0.02,0.87,0.05,0.78,0.02,0.82,0.04,0.98,0.02,0.93,0.05,0.58,0.3,0.83,0.15,0.48,0.3,0.35,0.15
0.79,0.43,0.35,0.76,0.03,0.88,0.04,0.83,0.01,0.85,0.03,0.99,0.01,0.94,0.04,0.6,0.29,0.83,0.15,0.49,0.29,0.35,0.15
0.8,0.43,0.35,0.73,0.03,0.9,0.04,0.9,0.01,0.9,0.03,0.99,0.01,0.95,0.04,0.62,0.28,0.83,0.15,0.5,0.28,0.35,0.15
0.81,0.48,0.4,0.64,0.05,0.97,0.01,0.88,0.01,0.93,0.01,0.99,0.01,0.98,0.01,0.67,0.24,0.84,0.14,0.54,0.24,0.36,0.14
0.81,0.5,0.41,0.62,0.05,0.94,0.02,0.81,0.01,0.88,0.01,0.99,0.01,0.96,0.02,0.71,0.21,0.84,0.14,0.57,0.21,0.35,0.14
0.81,0.51,0.42,0.62,0.05,0.96,0.01,0.84,0.01,0.9,0.01,0.99,0.01,0.98,0.01,0.69,0.22,0.85,0.14,0.55,0.22,0.35,0.14
0.81,0.52,0.43,0.6,0.06,0.97,0.01,0.78,0.01,0.88,0.01,0.98,0.01,0.98,0.01,0.72,0.2,0.85,0.14,0.57,0.2,0.35,0.14
0.81,0.51,0.42,0.61,0.05,0.94,0.02,0.82,0.01,0.88,0.01,0.99,0.01,0.96,0.02,0.72,0.21,0.85,0.14,0.56,0.21,0.35,0.14
0.81,0.52,0.43,0.57,0.06,0.99,0.0,0.74,0.02,0.86,0.01,0.98,0.02,0.99,0.0,0.72,0.2,0.85,0.14,0.57,0.2,0.36,0.14
0.81,0.53,0.44,0.59,0.06,0.97,0.01,0.74,0.02,0.85,0.01,0.98,0.02,0.97,0.01,0.73,0.19,0.85,0.14,0.59,0.19,0.35,0.14
0.82,0.52,0.44,0.63,0.05,0.91,0.04,0.83,0.01,0.87,0.03,0.99,0.01,0.93,0.04,0.72,0.2,0.85,0.14,0.56,0.2,0.34,0.14
0.82,0.52,0.44,0.58,0.06,0.95,0.02,0.71,0.02,0.83,0.02,0.98,0.02,0.96,0.02,0.76,0.17,0.85,0.14,0.6,0.17,0.35,0.14
0.82,0.54,0.45,0.61,0.06,0.96,0.02,0.79,0.01,0.88,0.01,0.98,0.01,0.96,0.02,0.72,0.2,0.85,0.14,0.57,0.2,0.34,0.14
0.82,0.53,0.45,0.61,0.06,0.93,0.03,0.81,0.01,0.87,0.02,0.99,0.01,0.95,0.03,0.73,0.2,0.85,0.14,0.56,0.2,0.34,0.14
0.82,0.54,0.45,0.58,0.07,0.95,0.02,0.7,0.02,0.82,0.02,0.98,0.02,0.96,0.02,0.76,0.18,0.85,0.14,0.61,0.18,0.34,0.14
0.82,0.55,0.46,0.56,0.07,0.96,0.02,0.64,0.03,0.8,0.03,0.97,0.03,0.96,0.02,0.78,0.16,0.86,0.13,0.64,0.16,0.34,0.13
0.82,0.56,0.46,0.59,0.07,0.94,0.03,0.69,0.02,0.81,0.03,0.97,0.02,0.94,0.03,0.76,0.17,0.86,0.13,0.62,0.17,0.33,0.13
0.82,0.55,0.46,0.58,0.07,0.95,0.03,0.7,0.02,0.82,0.03,0.98,0.02,0.95,0.03,0.76,0.17,0.86,0.13,0.61,0.17,0.34,0.13
0.82,0.53,0.45,0.63,0.05,0.85,0.08,0.77,0.01,0.81,0.04,0.99,0.01,0.87,0.08,0.78,0.16,0.84,0.15,0.61,0.16,0.31,0.15
0.82,0.57,0.47,0.61,0.07,0.89,0.06,0.7,0.03,0.79,0.04,0.97,0.03,0.89,0.06,0.78,0.16,0.86,0.13,0.64,0.16,0.31,0.13
0.82,0.57,0.47,0.61,0.06,0.88,0.06,0.71,0.02,0.79,0.04,0.98,0.02,0.88,0.06,0.78,0.16,0.86,0.14,0.63,0.16,0.31,0.14
0.82,0.56,0.47,0.63,0.06,0.85,0.08,0.79,0.01,0.82,0.04,0.99,0.01,0.86,0.08,0.77,0.17,0.85,0.14,0.6,0.17,0.31,0.14
0.82,0.56,0.47,0.66,0.05,0.83,0.09,0.83,0.01,0.83,0.05,0.99,0.01,0.83,0.09,0.76,0.18,0.85,0.14,0.59,0.18,0.3,0.14
0.83,0.56,0.48,0.59,0.06,0.86,0.07,0.67,0.02,0.77,0.05,0.98,0.02,0.87,0.07,0.82,0.13,0.85,0.14,0.65,0.13,0.31,0.14
0.83,0.55,0.47,0.58,0.06,0.88,0.06,0.68,0.02,0.78,0.04,0.98,0.02,0.9,0.06,0.82,0.14,0.85,0.14,0.63,0.14,0.32,0.14
0.83,0.56,0.48,0.6,0.06,0.84,0.08,0.69,0.02,0.76,0.05,0.98,0.02,0.85,0.08,0.82,0.13,0.85,0.14,0.65,0.13,0.3,0.14
0.83,0.55,0.47,0.61,0.06,0.82,0.09,0.68,0.02,0.75,0.06,0.98,0.02,0.83,0.09,0.83,0.13,0.84,0.15,0.66,0.13,0.3,0.15
0.83,0.58,0.49,0.6,0.07,0.86,0.08,0.66,0.03,0.76,0.06,0.97,0.03,0.85,0.08,0.82,0.13,0.86,0.14,0.67,0.13,0.3,0.14
0.83,0.57,0.48,0.66,0.05,0.79,0.12,0.76,0.02,0.78,0.07,0.98,0.02,0.77,0.12,0.8,0.15,0.85,0.14,0.64,0.15,0.28,0.14
0.83,0.55,0.47,0.66,0.05,0.77,0.13,0.81,0.01,0.79,0.07,0.99,0.01,0.79,0.13,0.81,0.15,0.84,0.15,0.62,0.15,0.29,0.15
0.83,0.57,0.49,0.6,0.06,0.85,0.08,0.67,0.02,0.76,0.05,0.98,0.02,0.84,0.08,0.82,0.13,0.85,0.14,0.66,0.13,0.3,0.14
