ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.03,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.05,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.78,0.17,0.21,0.01,0.04,0.02,0.11,0.0,1.0,0.01,0.56,0.0,1.0,0.89,0.11,0.0,1.0,0.82,0.16,0.0,1.0,0.42,0.16
0.8,0.41,0.36,0.05,0.12,0.08,0.31,0.06,0.05,0.07,0.18,0.95,0.05,0.69,0.31,0.73,0.2,0.87,0.12,0.59,0.2,0.49,0.12
0.8,0.51,0.4,0.12,0.17,0.14,0.42,0.15,0.1,0.15,0.26,0.9,0.1,0.54,0.42,0.56,0.29,0.9,0.09,0.55,0.29,0.57,0.09
0.8,0.54,0.42,0.2,0.18,0.25,0.43,0.2,0.13,0.23,0.28,0.87,0.13,0.5,0.43,0.61,0.23,0.92,0.07,0.63,0.23,0.59,0.07
0.8,0.56,0.43,0.24,0.18,0.31,0.42,0.24,0.13,0.28,0.28,0.86,0.13,0.48,0.42,0.63,0.22,0.92,0.07,0.64,0.22,0.6,0.07
0.8,0.56,0.43,0.24,0.18,0.35,0.39,0.22,0.13,0.28,0.26,0.86,0.13,0.5,0.39,0.71,0.17,0.92,0.07,0.7,0.17,0.58,0.07
0.8,0.56,0.44,0.19,0.18,0.33,0.39,0.16,0.13,0.24,0.26,0.87,0.13,0.52,0.39,0.83,0.1,0.91,0.08,0.79,0.1,0.56,0.08
0.81,0.55,0.44,0.12,0.18,0.25,0.42,0.08,0.13,0.17,0.28,0.87,0.13,0.51,0.42,1.0,0.0,0.91,0.08,0.99,0.0,0.57,0.08
0.81,0.54,0.44,0.08,0.18,0.19,0.43,0.03,0.12,0.11,0.28,0.88,0.12,0.52,0.43,0.84,0.13,0.91,0.08,0.63,0.13,0.58,0.08
0.82,0.53,0.44,0.07,0.17,0.17,0.42,0.02,0.1,0.1,0.26,0.9,0.1,0.54,0.42,0.82,0.15,0.91,0.08,0.55,0.15,0.57,0.08
0.82,0.52,0.44,0.06,0.16,0.17,0.4,0.01,0.09,0.09,0.24,0.91,0.09,0.56,0.4,0.78,0.19,0.9,0.09,0.37,0.19,0.55,0.09
0.82,0.52,0.44,0.06,0.16,0.19,0.38,0.01,0.09,0.1,0.23,0.91,0.09,0.58,0.38,0.74,0.24,0.9,0.09,0.19,0.24,0.54,0.09
0.82,0.52,0.44,0.07,0.16,0.2,0.38,0.01,0.09,0.11,0.23,0.91,0.09,0.58,0.38,0.75,0.23,0.9,0.09,0.25,0.23,0.54,0.09
0.82,0.53,0.45,0.08,0.16,0.23,0.38,0.01,0.09,0.12,0.23,0.9,0.09,0.57,0.38,0.75,0.23,0.9,0.09,0.26,0.23,0.54,0.09
0.82,0.56,0.46,0.11,0.17,0.3,0.37,0.02,0.1,0.16,0.23,0.9,0.1,0.56,0.37,0.76,0.22,0.91,0.09,0.32,0.22,0.54,0.09
0.82,0.58,0.48,0.12,0.17,0.33,0.38,0.04,0.11,0.18,0.24,0.89,0.11,0.54,0.38,0.8,0.17,0.91,0.08,0.48,0.17,0.56,0.08
0.83,0.59,0.49,0.14,0.18,0.36,0.37,0.05,0.12,0.2,0.24,0.88,0.12,0.53,0.37,0.81,0.16,0.92,0.08,0.52,0.16,0.56,0.08
0.83,0.6,0.5,0.17,0.18,0.43,0.34,0.06,0.12,0.24,0.23,0.88,0.12,0.55,0.34,0.81,0.15,0.92,0.08,0.54,0.15,0.54,0.08
0.83,0.6,0.5,0.18,0.18,0.45,0.33,0.07,0.12,0.26,0.23,0.88,0.12,0.55,0.33,0.83,0.14,0.92,0.08,0.59,0.14,0.54,0.08
0.83,0.6,0.5,0.18,0.17,0.46,0.32,0.07,0.12,0.27,0.22,0.88,0.12,0.56,0.32,0.83,0.14,0.91,0.08,0.58,0.14,0.53,0.08
0.83,0.6,0.5,0.17,0.17,0.44,0.33,0.06,0.12,0.25,0.23,0.88,0.12,0.56,0.33,0.82,0.15,0.91,0.08,0.55,0.15,0.54,0.08
0.83,0.6,0.5,0.17,0.17,0.44,0.32,0.06,0.11,0.25,0.21,0.89,0.11,0.56,0.32,0.82,0.15,0.91,0.08,0.54,0.15,0.53,0.08
0.83,0.59,0.49,0.17,0.17,0.43,0.32,0.06,0.11,0.24,0.21,0.89,0.11,0.57,0.32,0.81,0.16,0.91,0.08,0.52,0.16,0.53,0.08
0.83,0.59,0.49,0.17,0.16,0.43,0.32,0.06,0.1,0.24,0.21,0.9,0.1,0.58,0.32,0.83,0.15,0.91,0.08,0.54,0.15,0.52,0.08
0.83,0.58,0.49,0.18,0.16,0.45,0.3,0.07,0.1,0.26,0.2,0.9,0.1,0.61,0.3,0.84,0.13,0.9,0.09,0.57,0.13,0.51,0.09
0.83,0.58,0.49,0.19,0.15,0.49,0.27,0.07,0.09,0.28,0.18,0.91,0.09,0.63,0.27,0.83,0.14,0.9,0.09,0.54,0.14,0.49,0.09
0.83,0.58,0.49,0.2,0.15,0.5,0.27,0.08,0.09,0.29,0.18,0.91,0.09,0.64,0.27,0.85,0.13,0.9,0.09,0.57,0.13,0.49,0.09
0.83,0.58,0.49,0.2,0.15,0.51,0.26,0.08,0.09,0.29,0.17,0.91,0.09,0.65,0.26,0.86,0.12,0.9,0.09,0.61,0.12,0.49,0.09
0.83,0.58,0.49,0.21,0.15,0.51,0.26,0.09,0.09,0.3,0.17,0.91,0.09,0.64,0.26,0.87,0.11,0.9,0.09,0.63,0.11,0.49,0.09
0.83,0.59,0.49,0.21,0.15,0.52,0.26,0.09,0.09,0.3,0.17,0.91,0.09,0.63,0.26,0.86,0.11,0.9,0.09,0.64,0.11,0.49,0.09
0.83,0.59,0.5,0.21,0.16,0.52,0.27,0.08,0.1,0.3,0.18,0.9,0.1,0.62,0.27,0.85,0.12,0.9,0.09,0.62,0.12,0.5,0.09
0.83,0.6,0.51,0.21,0.16,0.52,0.28,0.08,0.1,0.3,0.19,0.9,0.1,0.61,0.28,0.85,0.12,0.91,0.09,0.61,0.12,0.5,0.09
0.83,0.61,0.51,0.21,0.16,0.51,0.28,0.09,0.1,0.3,0.19,0.89,0.1,0.59,0.28,0.86,0.11,0.91,0.08,0.64,0.11,0.51,0.08
0.83,0.62,0.52,0.22,0.16,0.52,0.29,0.1,0.11,0.31,0.2,0.89,0.11,0.58,0.29,0.88,0.1,0.91,0.08,0.69,0.1,0.52,0.08
0.83,0.61,0.52,0.22,0.16,0.53,0.28,0.1,0.1,0.32,0.19,0.89,0.1,0.59,0.28,0.87,0.1,0.91,0.08,0.68,0.1,0.51,0.08
0.84,0.62,0.52,0.22,0.16,0.54,0.28,0.1,0.1,0.32,0.19,0.9,0.1,0.59,0.28,0.88,0.1,0.91,0.08,0.68,0.1,0.51,0.08
0.83,0.61,0.51,0.23,0.16,0.55,0.26,0.1,0.1,0.33,0.18,0.9,0.1,0.61,0.26,0.88,0.1,0.91,0.08,0.69,0.1,0.5,0.08
0.83,0.61,0.51,0.23,0.16,0.56,0.25,0.11,0.1,0.34,0.17,0.9,0.1,0.63,0.25,0.88,0.09,0.91,0.09,0.7,0.09,0.49,0.09
0.83,0.61,0.51,0.23,0.15,0.57,0.25,0.11,0.1,0.34,0.17,0.9,0.1,0.63,0.25,0.88,0.09,0.9,0.09,0.69,0.09,0.49,0.09
0.83,0.6,0.51,0.24,0.15,0.58,0.24,0.12,0.09,0.35,0.16,0.91,0.09,0.65,0.24,0.9,0.08,0.9,0.09,0.73,0.08,0.48,0.09
0.83,0.6,0.51,0.24,0.15,0.58,0.23,0.11,0.09,0.34,0.16,0.91,0.09,0.66,0.23,0.89,0.09,0.9,0.09,0.71,0.09,0.48,0.09
0.83,0.6,0.51,0.24,0.15,0.59,0.23,0.12,0.09,0.35,0.16,0.91,0.09,0.66,0.23,0.89,0.09,0.9,0.09,0.71,0.09,0.47,0.09
0.83,0.6,0.51,0.24,0.15,0.59,0.23,0.11,0.09,0.35,0.16,0.91,0.09,0.66,0.23,0.88,0.09,0.9,0.09,0.68,0.09,0.47,0.09
0.83,0.59,0.5,0.23,0.14,0.58,0.23,0.11,0.09,0.34,0.16,0.91,0.09,0.67,0.23,0.88,0.1,0.9,0.09,0.67,0.1,0.47,0.09
0.83,0.59,0.5,0.23,0.14,0.57,0.23,0.11,0.09,0.34,0.16,0.91,0.09,0.66,0.23,0.88,0.09,0.9,0.09,0.68,0.09,0.48,0.09
0.83,0.59,0.5,0.22,0.14,0.54,0.25,0.1,0.08,0.32,0.17,0.92,0.08,0.65,0.25,0.88,0.1,0.9,0.09,0.65,0.1,0.48,0.09
0.83,0.59,0.5,0.22,0.14,0.54,0.24,0.1,0.08,0.32,0.16,0.92,0.08,0.65,0.24,0.88,0.1,0.9,0.09,0.65,0.1,0.48,0.09
