ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.06,0.11,0.85,0.0,0.92,0.0,0.38,0.0,0.65,0.0,1.0,0.0,1.0,0.0,0.39,0.5,0.79,0.19,0.26,0.5,0.36,0.19
0.8,0.44,0.35,0.28,0.1,0.2,0.31,0.48,0.04,0.34,0.17,0.96,0.04,0.67,0.31,0.29,0.48,0.87,0.12,0.4,0.48,0.47,0.12
0.78,0.54,0.4,0.39,0.15,0.31,0.44,0.47,0.11,0.39,0.28,0.88,0.11,0.45,0.44,0.35,0.37,0.93,0.07,0.54,0.37,0.59,0.07
0.74,0.57,0.42,0.44,0.18,0.38,0.51,0.45,0.18,0.42,0.34,0.79,0.18,0.27,0.51,0.39,0.31,0.98,0.02,0.61,0.31,0.85,0.02
0.7,0.57,0.42,0.52,0.17,0.48,0.47,0.49,0.22,0.48,0.34,0.72,0.22,0.16,0.47,0.42,0.27,0.98,0.02,0.66,0.27,0.79,0.02
0.69,0.57,0.42,0.56,0.16,0.56,0.41,0.53,0.21,0.55,0.31,0.73,0.21,0.16,0.41,0.44,0.26,0.98,0.01,0.67,0.26,0.79,0.01
0.73,0.58,0.44,0.49,0.18,0.53,0.41,0.45,0.21,0.49,0.31,0.74,0.21,0.22,0.41,0.5,0.25,1.0,0.0,0.67,0.25,0.95,0.0
