ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.12,0.14,0.02,0.04,0.03,0.08,0.02,0.02,0.03,0.05,0.98,0.02,0.92,0.08,0.83,0.1,0.8,0.17,0.79,0.1,0.4,0.17
0.79,0.33,0.31,0.01,0.1,0.01,0.26,0.02,0.04,0.01,0.15,0.96,0.04,0.74,0.26,0.47,0.38,0.85,0.14,0.43,0.38,0.46,0.14
0.81,0.45,0.38,0.04,0.14,0.05,0.38,0.05,0.07,0.05,0.23,0.93,0.07,0.62,0.38,0.56,0.3,0.88,0.11,0.5,0.3,0.51,0.11
0.81,0.49,0.42,0.05,0.15,0.07,0.42,0.07,0.08,0.07,0.25,0.92,0.08,0.57,0.42,0.61,0.27,0.9,0.09,0.52,0.27,0.55,0.09
0.81,0.49,0.42,0.04,0.15,0.04,0.42,0.05,0.07,0.04,0.24,0.93,0.07,0.57,0.42,0.52,0.34,0.9,0.09,0.46,0.34,0.55,0.09
0.82,0.53,0.44,0.04,0.17,0.06,0.48,0.05,0.09,0.06,0.28,0.91,0.09,0.51,0.48,0.66,0.24,0.91,0.08,0.56,0.24,0.59,0.08
0.82,0.54,0.46,0.04,0.17,0.06,0.49,0.04,0.09,0.05,0.29,0.91,0.09,0.49,0.49,0.68,0.23,0.92,0.07,0.57,0.23,0.6,0.07
0.82,0.55,0.46,0.03,0.19,0.05,0.52,0.03,0.1,0.04,0.31,0.9,0.1,0.47,0.52,0.8,0.14,0.92,0.07,0.69,0.14,0.62,0.07
0.82,0.55,0.46,0.03,0.18,0.05,0.51,0.03,0.1,0.04,0.3,0.9,0.1,0.48,0.51,0.79,0.14,0.92,0.07,0.68,0.14,0.62,0.07
0.83,0.56,0.47,0.03,0.18,0.05,0.51,0.02,0.1,0.04,0.3,0.9,0.1,0.47,0.51,0.98,0.01,0.92,0.07,0.95,0.01,0.63,0.07
