ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.02,0.96,0.0,0.18,0.0,0.0,1.0,0.09,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.19,0.0,1.0,0.37,0.19
0.8,0.51,0.4,0.26,0.13,0.3,0.33,0.36,0.07,0.33,0.2,0.93,0.07,0.62,0.33,0.49,0.34,0.89,0.1,0.5,0.34,0.5,0.1
0.8,0.48,0.39,0.32,0.1,0.39,0.25,0.47,0.04,0.43,0.14,0.96,0.04,0.7,0.25,0.5,0.34,0.87,0.12,0.47,0.34,0.46,0.12
0.76,0.05,0.12,0.67,0.0,0.84,0.0,0.31,0.0,0.57,0.0,1.0,0.0,1.0,0.0,0.66,0.31,0.79,0.19,0.16,0.32,0.37,0.19
0.8,0.43,0.37,0.04,0.13,0.09,0.32,0.02,0.06,0.06,0.19,0.94,0.06,0.67,0.32,0.97,0.02,0.86,0.12,0.92,0.02,0.47,0.12
0.79,0.59,0.45,0.06,0.26,0.11,0.63,0.04,0.23,0.07,0.43,0.77,0.23,0.31,0.63,0.9,0.06,0.96,0.04,0.88,0.06,0.75,0.04
0.81,0.55,0.45,0.04,0.19,0.09,0.5,0.03,0.12,0.06,0.31,0.88,0.12,0.48,0.5,0.97,0.02,0.91,0.08,0.95,0.02,0.59,0.08
0.82,0.55,0.45,0.11,0.17,0.22,0.41,0.09,0.1,0.15,0.26,0.9,0.1,0.54,0.41,0.9,0.07,0.9,0.09,0.83,0.07,0.54,0.09
0.77,0.11,0.2,0.26,0.02,0.65,0.02,0.3,0.0,0.47,0.01,1.0,0.0,0.98,0.02,0.96,0.04,0.8,0.18,0.67,0.04,0.37,0.18
0.82,0.55,0.45,0.04,0.19,0.09,0.49,0.02,0.11,0.06,0.3,0.89,0.11,0.49,0.49,0.86,0.11,0.91,0.08,0.66,0.11,0.58,0.08
0.81,0.59,0.47,0.04,0.23,0.1,0.58,0.01,0.17,0.06,0.38,0.83,0.17,0.38,0.58,0.76,0.19,0.94,0.05,0.48,0.19,0.67,0.05
0.82,0.59,0.48,0.05,0.21,0.14,0.53,0.01,0.15,0.08,0.34,0.85,0.15,0.42,0.53,0.73,0.24,0.93,0.06,0.33,0.24,0.64,0.06
0.78,0.2,0.27,0.21,0.03,0.57,0.05,0.08,0.0,0.32,0.03,1.0,0.0,0.95,0.05,0.96,0.04,0.81,0.17,0.49,0.04,0.38,0.17
