ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.02,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.03,0.11,0.05,0.01,0.16,0.02,0.0,1.0,0.08,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.79,0.19,0.0,1.0,0.35,0.19
0.37,0.42,0.21,0.96,0.02,1.0,0.0,0.86,0.12,0.93,0.06,0.46,0.12,0.64,0.0,0.32,0.24,1.0,0.0,0.73,0.24,0.92,0.0
0.7,0.56,0.41,0.07,0.38,0.08,0.88,0.04,0.53,0.06,0.71,0.46,0.53,0.04,0.88,0.72,0.12,0.94,0.06,0.83,0.12,0.38,0.06
0.82,0.53,0.43,0.05,0.17,0.07,0.47,0.06,0.1,0.07,0.28,0.9,0.1,0.51,0.47,0.53,0.32,0.9,0.09,0.51,0.32,0.53,0.09
0.81,0.46,0.41,0.08,0.13,0.12,0.35,0.13,0.05,0.12,0.2,0.95,0.05,0.64,0.35,0.54,0.34,0.87,0.12,0.44,0.34,0.46,0.12
0.75,0.6,0.46,0.23,0.26,0.22,0.69,0.2,0.3,0.21,0.49,0.68,0.3,0.14,0.69,0.45,0.28,0.98,0.02,0.64,0.28,0.8,0.02
0.59,0.52,0.36,0.76,0.1,0.73,0.26,0.75,0.14,0.74,0.2,0.75,0.14,0.12,0.26,0.38,0.26,0.98,0.02,0.69,0.26,0.58,0.02
0.72,0.58,0.44,0.05,0.37,0.1,0.86,0.02,0.5,0.06,0.68,0.49,0.5,0.05,0.86,0.95,0.02,0.94,0.06,0.96,0.02,0.41,0.06
0.8,0.59,0.46,0.3,0.18,0.32,0.48,0.34,0.13,0.33,0.3,0.86,0.13,0.39,0.48,0.45,0.33,0.94,0.05,0.55,0.33,0.63,0.05
0.69,0.56,0.42,0.07,0.38,0.11,0.86,0.03,0.55,0.07,0.71,0.44,0.55,0.04,0.86,0.97,0.01,0.93,0.06,0.98,0.01,0.33,0.06
0.8,0.31,0.34,0.11,0.06,0.2,0.17,0.22,0.01,0.21,0.09,0.99,0.01,0.82,0.17,0.68,0.27,0.83,0.16,0.35,0.27,0.39,0.16
0.78,0.61,0.47,0.27,0.23,0.31,0.56,0.24,0.22,0.28,0.39,0.76,0.22,0.25,0.56,0.54,0.25,0.98,0.02,0.65,0.25,0.83,0.02
0.75,0.6,0.46,0.02,0.36,0.05,0.88,0.01,0.43,0.03,0.66,0.57,0.43,0.08,0.88,0.85,0.08,0.95,0.05,0.84,0.08,0.53,0.05
0.81,0.54,0.44,0.29,0.13,0.39,0.32,0.38,0.07,0.39,0.2,0.93,0.07,0.6,0.32,0.54,0.31,0.89,0.1,0.51,0.31,0.46,0.1
0.75,0.59,0.45,0.66,0.1,0.69,0.25,0.78,0.06,0.73,0.15,0.92,0.06,0.45,0.25,0.41,0.33,0.95,0.05,0.58,0.33,0.58,0.05
0.78,0.62,0.48,0.02,0.32,0.05,0.82,0.01,0.32,0.03,0.57,0.67,0.32,0.15,0.82,0.9,0.06,0.98,0.02,0.88,0.06,0.84,0.02
0.81,0.62,0.5,0.1,0.25,0.19,0.61,0.07,0.21,0.13,0.41,0.79,0.21,0.29,0.61,0.86,0.08,0.97,0.03,0.83,0.08,0.75,0.03
0.82,0.6,0.49,0.05,0.23,0.1,0.6,0.03,0.16,0.07,0.38,0.84,0.16,0.36,0.6,0.91,0.06,0.95,0.05,0.86,0.06,0.66,0.05
0.82,0.6,0.49,0.02,0.24,0.06,0.63,0.01,0.17,0.03,0.4,0.83,0.17,0.34,0.63,0.85,0.11,0.95,0.05,0.7,0.11,0.68,0.05
0.69,0.57,0.43,0.75,0.09,0.84,0.15,0.79,0.09,0.81,0.12,0.87,0.09,0.37,0.15,0.44,0.27,0.98,0.02,0.65,0.27,0.64,0.02
0.76,0.61,0.47,0.07,0.33,0.15,0.78,0.04,0.4,0.1,0.59,0.59,0.4,0.1,0.78,0.95,0.03,0.96,0.03,0.95,0.03,0.63,0.03
0.74,0.6,0.47,0.09,0.34,0.18,0.77,0.05,0.42,0.11,0.59,0.57,0.42,0.08,0.77,1.0,0.0,0.96,0.04,1.0,0.0,0.56,0.04
0.61,0.53,0.39,0.98,0.01,0.99,0.01,0.86,0.08,0.93,0.04,0.86,0.08,0.8,0.01,0.36,0.3,0.97,0.03,0.64,0.3,0.26,0.03
0.63,0.54,0.41,0.59,0.17,0.77,0.22,0.46,0.31,0.61,0.27,0.57,0.31,0.1,0.22,0.58,0.17,0.99,0.01,0.77,0.17,0.63,0.01
0.75,0.62,0.49,0.37,0.22,0.56,0.4,0.29,0.27,0.43,0.34,0.7,0.27,0.19,0.4,0.68,0.16,1.0,0.0,0.76,0.16,0.97,0.0
