ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.08,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.8,0.33,0.32,0.02,0.09,0.01,0.25,0.05,0.04,0.03,0.14,0.96,0.04,0.75,0.25,0.2,0.58,0.84,0.14,0.32,0.58,0.43,0.14
0.81,0.44,0.38,0.08,0.12,0.12,0.32,0.11,0.06,0.11,0.19,0.94,0.06,0.66,0.32,0.59,0.29,0.87,0.12,0.51,0.29,0.46,0.12
0.81,0.45,0.39,0.08,0.13,0.12,0.34,0.11,0.06,0.11,0.2,0.94,0.06,0.64,0.34,0.61,0.27,0.87,0.11,0.52,0.27,0.47,0.11
0.82,0.51,0.42,0.09,0.15,0.12,0.41,0.11,0.08,0.11,0.24,0.92,0.08,0.56,0.41,0.6,0.28,0.89,0.09,0.53,0.28,0.52,0.09
0.82,0.53,0.44,0.09,0.16,0.13,0.44,0.11,0.09,0.12,0.27,0.91,0.09,0.53,0.44,0.6,0.27,0.9,0.09,0.55,0.27,0.54,0.09
0.82,0.53,0.44,0.06,0.17,0.11,0.46,0.06,0.1,0.08,0.28,0.9,0.1,0.52,0.46,0.76,0.16,0.91,0.09,0.67,0.16,0.54,0.09
0.82,0.53,0.44,0.06,0.17,0.11,0.45,0.05,0.09,0.08,0.27,0.91,0.09,0.53,0.45,0.8,0.14,0.9,0.09,0.7,0.14,0.54,0.09
0.82,0.54,0.45,0.05,0.18,0.1,0.47,0.05,0.1,0.08,0.28,0.9,0.1,0.5,0.47,0.81,0.13,0.91,0.08,0.72,0.13,0.56,0.08
0.82,0.54,0.45,0.04,0.17,0.1,0.46,0.03,0.1,0.07,0.28,0.9,0.1,0.51,0.46,0.96,0.03,0.91,0.08,0.91,0.03,0.55,0.08
0.82,0.55,0.46,0.03,0.18,0.07,0.49,0.03,0.1,0.05,0.29,0.9,0.1,0.49,0.49,0.91,0.06,0.91,0.08,0.84,0.06,0.57,0.08
