ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.01,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.78,0.24,0.26,0.01,0.06,0.04,0.16,0.0,1.0,0.02,0.58,0.0,1.0,0.84,0.16,0.0,1.0,0.8,0.18,0.0,1.0,0.35,0.18
0.8,0.43,0.37,0.07,0.12,0.1,0.32,0.1,0.06,0.1,0.19,0.94,0.06,0.67,0.32,0.53,0.33,0.85,0.14,0.47,0.33,0.4,0.14
0.81,0.49,0.41,0.11,0.14,0.14,0.37,0.15,0.07,0.15,0.22,0.93,0.07,0.6,0.37,0.5,0.35,0.87,0.12,0.46,0.35,0.43,0.12
0.81,0.48,0.41,0.12,0.13,0.16,0.35,0.18,0.06,0.17,0.2,0.94,0.06,0.62,0.35,0.47,0.37,0.86,0.13,0.44,0.37,0.42,0.13
0.81,0.5,0.41,0.12,0.14,0.15,0.38,0.18,0.07,0.16,0.23,0.93,0.07,0.6,0.38,0.46,0.38,0.87,0.12,0.45,0.38,0.43,0.12
0.81,0.51,0.43,0.1,0.15,0.14,0.4,0.13,0.08,0.14,0.24,0.92,0.08,0.57,0.4,0.53,0.33,0.87,0.11,0.49,0.33,0.44,0.11
0.82,0.54,0.45,0.1,0.17,0.15,0.44,0.11,0.1,0.13,0.27,0.9,0.1,0.52,0.44,0.59,0.28,0.89,0.1,0.54,0.28,0.47,0.1
0.82,0.52,0.43,0.08,0.16,0.13,0.41,0.1,0.08,0.12,0.24,0.92,0.08,0.56,0.41,0.61,0.27,0.88,0.11,0.53,0.27,0.45,0.11
0.82,0.53,0.44,0.07,0.17,0.13,0.43,0.07,0.09,0.1,0.26,0.91,0.09,0.54,0.43,0.69,0.21,0.88,0.11,0.6,0.21,0.46,0.11
0.82,0.55,0.45,0.07,0.18,0.14,0.44,0.06,0.1,0.1,0.27,0.9,0.1,0.52,0.44,0.79,0.14,0.89,0.1,0.69,0.14,0.47,0.1
0.82,0.55,0.45,0.06,0.18,0.12,0.46,0.05,0.1,0.08,0.28,0.9,0.1,0.51,0.46,0.82,0.12,0.89,0.1,0.73,0.12,0.47,0.1
0.82,0.55,0.46,0.05,0.18,0.12,0.47,0.04,0.11,0.08,0.29,0.89,0.11,0.5,0.47,0.88,0.08,0.89,0.1,0.81,0.08,0.48,0.1
0.82,0.54,0.45,0.05,0.17,0.13,0.43,0.04,0.09,0.09,0.26,0.91,0.09,0.54,0.43,0.94,0.04,0.88,0.11,0.88,0.04,0.46,0.11
0.82,0.54,0.45,0.04,0.17,0.11,0.44,0.03,0.09,0.07,0.27,0.91,0.09,0.53,0.44,1.0,0.0,0.88,0.11,1.0,0.0,0.46,0.11
0.82,0.54,0.46,0.03,0.17,0.1,0.44,0.01,0.09,0.06,0.27,0.91,0.09,0.54,0.44,0.85,0.12,0.88,0.11,0.57,0.12,0.46,0.11
0.82,0.56,0.47,0.04,0.18,0.13,0.46,0.01,0.1,0.07,0.28,0.9,0.1,0.5,0.46,0.76,0.22,0.89,0.1,0.3,0.22,0.48,0.1
0.83,0.57,0.47,0.04,0.18,0.14,0.46,0.01,0.11,0.08,0.29,0.89,0.11,0.5,0.46,0.75,0.23,0.89,0.1,0.26,0.23,0.48,0.1
0.83,0.57,0.48,0.04,0.18,0.14,0.45,0.01,0.1,0.08,0.28,0.9,0.1,0.51,0.45,0.77,0.22,0.89,0.1,0.27,0.22,0.48,0.1
0.83,0.59,0.49,0.04,0.2,0.15,0.49,0.01,0.12,0.08,0.3,0.88,0.12,0.46,0.49,0.74,0.24,0.91,0.09,0.23,0.24,0.51,0.09
0.83,0.57,0.48,0.05,0.17,0.18,0.43,0.01,0.09,0.1,0.26,0.91,0.09,0.53,0.43,0.8,0.18,0.89,0.1,0.34,0.18,0.47,0.1
0.83,0.59,0.5,0.06,0.19,0.21,0.45,0.02,0.11,0.11,0.28,0.89,0.11,0.49,0.45,0.8,0.18,0.9,0.09,0.41,0.18,0.48,0.09
0.83,0.61,0.51,0.08,0.19,0.25,0.44,0.02,0.11,0.14,0.28,0.89,0.11,0.48,0.44,0.82,0.15,0.91,0.09,0.49,0.15,0.49,0.09
0.83,0.58,0.5,0.09,0.17,0.28,0.39,0.03,0.09,0.16,0.24,0.91,0.09,0.54,0.39,0.87,0.11,0.89,0.1,0.6,0.11,0.45,0.1
0.84,0.6,0.51,0.11,0.17,0.35,0.37,0.04,0.1,0.19,0.23,0.9,0.1,0.54,0.37,0.86,0.12,0.89,0.1,0.59,0.12,0.45,0.1
0.84,0.6,0.51,0.12,0.17,0.35,0.37,0.04,0.1,0.19,0.23,0.9,0.1,0.54,0.37,0.87,0.11,0.9,0.1,0.62,0.11,0.45,0.1
0.84,0.6,0.52,0.13,0.17,0.37,0.36,0.06,0.09,0.21,0.22,0.91,0.09,0.55,0.36,0.9,0.08,0.89,0.1,0.72,0.08,0.44,0.1
0.84,0.59,0.51,0.14,0.16,0.41,0.32,0.07,0.08,0.24,0.2,0.92,0.08,0.59,0.32,0.91,0.07,0.89,0.11,0.75,0.07,0.42,0.11
0.84,0.61,0.52,0.15,0.17,0.43,0.33,0.08,0.1,0.26,0.22,0.9,0.1,0.56,0.33,0.92,0.06,0.89,0.1,0.78,0.06,0.43,0.1
0.84,0.59,0.51,0.17,0.15,0.48,0.27,0.1,0.07,0.29,0.17,0.93,0.07,0.64,0.27,0.96,0.03,0.88,0.11,0.88,0.03,0.4,0.11
0.84,0.62,0.53,0.18,0.16,0.51,0.28,0.1,0.09,0.3,0.18,0.91,0.09,0.6,0.28,0.95,0.04,0.89,0.1,0.87,0.04,0.41,0.1
0.84,0.6,0.51,0.18,0.15,0.51,0.26,0.11,0.08,0.31,0.17,0.92,0.08,0.64,0.26,0.97,0.02,0.88,0.11,0.93,0.02,0.39,0.11
0.84,0.59,0.51,0.19,0.15,0.52,0.26,0.11,0.07,0.32,0.17,0.93,0.07,0.65,0.26,0.97,0.02,0.88,0.11,0.92,0.02,0.39,0.11
0.84,0.59,0.52,0.21,0.14,0.57,0.22,0.13,0.07,0.35,0.15,0.93,0.07,0.68,0.22,0.98,0.02,0.87,0.12,0.94,0.02,0.37,0.12
0.84,0.62,0.53,0.21,0.15,0.6,0.23,0.12,0.08,0.36,0.15,0.91,0.08,0.65,0.23,0.96,0.03,0.88,0.11,0.88,0.03,0.38,0.11
0.84,0.62,0.53,0.21,0.15,0.59,0.23,0.12,0.08,0.35,0.15,0.91,0.08,0.65,0.23,0.96,0.03,0.88,0.11,0.89,0.03,0.38,0.11
0.84,0.63,0.53,0.21,0.16,0.6,0.23,0.12,0.09,0.36,0.16,0.91,0.09,0.64,0.23,0.95,0.04,0.89,0.1,0.86,0.04,0.38,0.1
0.84,0.61,0.52,0.2,0.15,0.57,0.23,0.12,0.08,0.34,0.15,0.92,0.08,0.66,0.23,0.96,0.03,0.88,0.11,0.9,0.03,0.38,0.11
0.84,0.58,0.51,0.22,0.13,0.61,0.2,0.15,0.06,0.38,0.13,0.94,0.06,0.72,0.2,1.0,0.0,0.87,0.12,1.0,0.0,0.36,0.12
0.84,0.58,0.51,0.22,0.13,0.62,0.19,0.14,0.06,0.38,0.12,0.94,0.06,0.72,0.19,0.99,0.01,0.87,0.12,0.97,0.01,0.36,0.12
0.84,0.58,0.51,0.23,0.13,0.62,0.19,0.15,0.06,0.39,0.12,0.94,0.06,0.73,0.19,0.99,0.0,0.87,0.12,0.98,0.0,0.36,0.12
0.84,0.61,0.53,0.23,0.14,0.64,0.2,0.14,0.07,0.39,0.14,0.92,0.07,0.7,0.2,0.98,0.02,0.88,0.11,0.94,0.02,0.36,0.11
0.84,0.62,0.53,0.25,0.14,0.67,0.19,0.16,0.08,0.42,0.14,0.92,0.08,0.7,0.19,0.99,0.0,0.88,0.11,0.99,0.0,0.36,0.11
0.84,0.63,0.54,0.26,0.15,0.69,0.18,0.17,0.08,0.43,0.13,0.92,0.08,0.7,0.18,0.99,0.01,0.88,0.11,0.97,0.01,0.36,0.11
0.84,0.63,0.54,0.26,0.15,0.68,0.19,0.17,0.08,0.43,0.14,0.92,0.08,0.69,0.19,0.98,0.01,0.88,0.11,0.96,0.01,0.36,0.11
0.84,0.63,0.54,0.27,0.14,0.71,0.17,0.18,0.08,0.44,0.12,0.92,0.08,0.72,0.17,0.99,0.01,0.88,0.11,0.96,0.01,0.35,0.11
0.84,0.62,0.54,0.27,0.14,0.73,0.16,0.19,0.08,0.46,0.12,0.92,0.08,0.74,0.16,0.98,0.01,0.88,0.11,0.95,0.01,0.34,0.11
0.84,0.62,0.54,0.28,0.13,0.75,0.14,0.2,0.07,0.47,0.11,0.93,0.07,0.76,0.14,0.98,0.02,0.88,0.12,0.94,0.02,0.34,0.12
0.84,0.61,0.53,0.29,0.13,0.77,0.12,0.21,0.06,0.49,0.09,0.94,0.06,0.79,0.12,0.97,0.03,0.87,0.12,0.91,0.03,0.33,0.12
0.84,0.6,0.52,0.31,0.12,0.82,0.1,0.23,0.06,0.53,0.08,0.94,0.06,0.83,0.1,0.96,0.03,0.86,0.13,0.89,0.03,0.31,0.13
