ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.03,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.03,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.77,0.21,0.21,0.33,0.04,0.37,0.09,0.58,0.01,0.47,0.05,0.99,0.01,0.91,0.09,0.46,0.38,0.82,0.16,0.43,0.38,0.41,0.16
0.77,0.07,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.79,0.54,0.4,0.01,0.24,0.03,0.6,0.01,0.2,0.02,0.4,0.8,0.2,0.39,0.6,0.96,0.02,0.94,0.06,0.95,0.02,0.67,0.06
0.79,0.28,0.28,0.09,0.07,0.16,0.17,0.12,0.03,0.14,0.1,0.97,0.03,0.82,0.17,0.73,0.2,0.83,0.15,0.57,0.2,0.44,0.15
0.79,0.3,0.3,0.01,0.08,0.02,0.21,0.01,0.03,0.01,0.12,0.97,0.03,0.78,0.21,0.88,0.09,0.84,0.14,0.74,0.09,0.45,0.14
0.78,0.21,0.25,0.02,0.05,0.04,0.14,0.02,0.01,0.03,0.08,0.99,0.01,0.86,0.14,0.83,0.14,0.82,0.16,0.58,0.14,0.43,0.16
0.81,0.51,0.42,0.02,0.19,0.04,0.48,0.01,0.11,0.03,0.29,0.88,0.11,0.51,0.48,0.9,0.07,0.91,0.08,0.79,0.07,0.59,0.08
0.78,0.15,0.22,0.03,0.03,0.05,0.09,0.05,0.01,0.05,0.05,0.99,0.01,0.91,0.09,0.78,0.18,0.81,0.16,0.45,0.18,0.42,0.16
