ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.02,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.37,0.19
0.76,0.05,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.78,0.21,0.24,0.01,0.06,0.02,0.14,0.0,1.0,0.01,0.57,0.0,1.0,0.86,0.14,0.0,1.0,0.82,0.16,0.0,1.0,0.41,0.16
0.8,0.44,0.36,0.06,0.13,0.08,0.34,0.07,0.07,0.08,0.21,0.93,0.07,0.65,0.34,0.62,0.26,0.87,0.12,0.55,0.26,0.48,0.12
0.8,0.52,0.4,0.14,0.17,0.16,0.43,0.16,0.11,0.16,0.27,0.89,0.11,0.53,0.43,0.53,0.3,0.9,0.09,0.56,0.3,0.54,0.09
0.79,0.55,0.42,0.24,0.18,0.26,0.45,0.27,0.13,0.27,0.29,0.87,0.13,0.47,0.45,0.49,0.31,0.92,0.07,0.56,0.31,0.58,0.07
0.78,0.56,0.42,0.33,0.17,0.36,0.41,0.36,0.13,0.36,0.27,0.86,0.13,0.47,0.41,0.5,0.29,0.92,0.07,0.59,0.29,0.58,0.07
0.78,0.56,0.42,0.39,0.15,0.42,0.37,0.45,0.1,0.43,0.23,0.89,0.1,0.5,0.37,0.48,0.31,0.92,0.07,0.57,0.31,0.56,0.07
0.79,0.56,0.42,0.38,0.14,0.45,0.33,0.44,0.09,0.45,0.21,0.9,0.09,0.55,0.33,0.52,0.3,0.91,0.08,0.57,0.3,0.52,0.08
0.8,0.55,0.43,0.3,0.15,0.42,0.32,0.33,0.09,0.38,0.21,0.9,0.09,0.58,0.32,0.62,0.25,0.9,0.09,0.6,0.25,0.5,0.09
0.81,0.54,0.44,0.2,0.15,0.33,0.34,0.21,0.09,0.27,0.22,0.91,0.09,0.59,0.34,0.72,0.19,0.89,0.1,0.64,0.19,0.5,0.1
0.81,0.52,0.43,0.11,0.15,0.2,0.37,0.11,0.08,0.15,0.23,0.92,0.08,0.59,0.37,0.8,0.14,0.89,0.1,0.68,0.14,0.51,0.1
0.81,0.49,0.42,0.07,0.15,0.14,0.37,0.05,0.07,0.1,0.22,0.93,0.07,0.6,0.37,0.91,0.06,0.88,0.1,0.82,0.06,0.51,0.1
0.81,0.49,0.42,0.04,0.15,0.1,0.39,0.03,0.07,0.07,0.23,0.93,0.07,0.59,0.39,0.95,0.04,0.89,0.1,0.88,0.04,0.51,0.1
0.81,0.5,0.43,0.04,0.15,0.09,0.4,0.02,0.08,0.06,0.24,0.92,0.08,0.58,0.4,0.95,0.04,0.89,0.1,0.87,0.04,0.52,0.1
0.81,0.52,0.43,0.03,0.17,0.08,0.44,0.02,0.09,0.05,0.27,0.91,0.09,0.54,0.44,0.91,0.07,0.9,0.09,0.77,0.07,0.54,0.09
0.81,0.53,0.43,0.03,0.18,0.07,0.47,0.01,0.1,0.04,0.28,0.9,0.1,0.51,0.47,0.88,0.09,0.9,0.09,0.72,0.09,0.56,0.09
0.81,0.54,0.44,0.03,0.19,0.07,0.5,0.01,0.12,0.04,0.31,0.88,0.12,0.48,0.5,0.86,0.11,0.91,0.08,0.69,0.11,0.59,0.08
0.81,0.56,0.45,0.03,0.21,0.07,0.53,0.01,0.13,0.04,0.33,0.87,0.13,0.45,0.53,0.82,0.14,0.92,0.07,0.6,0.14,0.61,0.07
0.81,0.57,0.45,0.03,0.21,0.07,0.55,0.01,0.14,0.04,0.35,0.86,0.14,0.43,0.55,0.85,0.11,0.93,0.06,0.69,0.11,0.63,0.06
0.81,0.57,0.45,0.03,0.22,0.07,0.56,0.01,0.15,0.04,0.36,0.85,0.15,0.42,0.56,0.85,0.12,0.93,0.06,0.68,0.12,0.63,0.06
0.81,0.57,0.46,0.03,0.22,0.07,0.56,0.01,0.15,0.04,0.36,0.85,0.15,0.42,0.56,0.84,0.13,0.93,0.06,0.65,0.13,0.64,0.06
